Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:52:31 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09289   -0.17972   -57.31493   0.56248   0.09289   -0.17972   -0.39201   0.90234   97.24731
2   0.09280   -0.17924   -57.24172   0.56179   0.09280   -0.17924   -0.39360   0.90170   97.20764
3   0.09263   -0.17936   -57.24405   0.56168   0.09263   -0.17936   -0.39378   0.90164   97.29919
4   0.09271   -0.17872   -57.16377   0.56106   0.09271   -0.17872   -0.39531   0.90112   97.21375
5   0.09263   -0.17786   -57.13054   0.56159   0.09263   -0.17786   -0.39463   0.90158   97.24121
6   0.09247   -0.17685   -57.08959   0.56218   0.09247   -0.17685   -0.39390   0.90207   97.29614
7   0.09252   -0.17957   -57.25776   0.56164   0.09252   -0.17957   -0.39375   0.90161   97.33582
8   0.09253   -0.18043   -57.30582   0.56139   0.09253   -0.18043   -0.39387   0.90143   97.25647
9   0.09237   -0.17902   -57.28011   0.56279   0.09237   -0.17902   -0.39174   0.90265   97.33276
10   0.09236   -0.17930   -57.34163   0.56353   0.09236   -0.17930   -0.39012   0.90323   97.37244
11   0.09261   -0.18097   -57.45094   0.56329   0.09261   -0.18097   -0.38984   0.90304   97.22900
12   0.09264   -0.18143   -57.48718   0.56334   0.09264   -0.18143   -0.38954   0.90310   97.14355
13   0.09267   -0.18146   -57.52089   0.56390   0.09267   -0.18146   -0.38841   0.90359   97.17407
14   0.09275   -0.18055   -57.53112   0.56527   0.09275   -0.18055   -0.38609   0.90472   97.27478
15   0.09287   -0.18183   -57.56556   0.56418   0.09287   -0.18183   -0.38762   0.90371   97.14966
16   0.09284   -0.18177   -57.57576   0.56446   0.09284   -0.18177   -0.38713   0.90405   97.11914
17   0.09273   -0.18192   -57.60067   0.56468   0.09273   -0.18192   -0.38658   0.90417   97.22290
18   0.09280   -0.18238   -57.63629   0.56473   0.09280   -0.18238   -0.38630   0.90426   97.21680
19   0.09283   -0.18174   -57.58521   0.56469   0.09283   -0.18174   -0.38673   0.90432   97.19849
20   0.09280   -0.18128   -57.52189   0.56415   0.09280   -0.18128   -0.38798   0.90381   97.24731
21   0.09282   -0.18226   -57.56889   0.56369   0.09282   -0.18226   -0.38841   0.90332   97.19849
22   0.09286   -0.18076   -57.42690   0.56313   0.09286   -0.18076   -0.39024   0.90286   97.18933
23   0.09280   -0.18082   -57.42632   0.56305   0.09280   -0.18082   -0.39039   0.90283   97.20764
24   0.09269   -0.18180   -57.48784   0.56286   0.09269   -0.18180   -0.39030   0.90268   97.25342
25   0.09263   -0.17933   -57.36222   0.56385   0.09263   -0.17933   -0.38945   0.90347   97.23206
26   0.09248   -0.17942   -57.34393   0.56343   0.09248   -0.17942   -0.39030   0.90320   97.23511
27   0.09254   -0.17927   -57.33383   0.56344   0.09254   -0.17927   -0.39033   0.90316   97.31750
28   0.09261   -0.17884   -57.30962   0.56356   0.09261   -0.17884   -0.39027   0.90326   97.25037
29   0.09262   -0.17899   -57.31548   0.56346   0.09262   -0.17899   -0.39039   0.90313   97.21069
30   0.09245   -0.17963   -57.38074   0.56378   0.09245   -0.17963   -0.38945   0.90341   97.27478
31   0.09247   -0.18036   -57.47239   0.56448   0.09247   -0.18036   -0.38777   0.90411   97.36328
32   0.09254   -0.18168   -57.53728   0.56390   0.09254   -0.18168   -0.38829   0.90356   97.27783
33   0.09262   -0.18088   -57.49438   0.56419   0.09262   -0.18088   -0.38810   0.90384   97.17102
34   0.09266   -0.18207   -57.58035   0.56415   0.09266   -0.18207   -0.38762   0.90378   97.18323
35   0.09278   -0.18274   -57.63404   0.56421   0.09278   -0.18274   -0.38716   0.90381   97.23511
36   0.09280   -0.18357   -57.72156   0.56468   0.09280   -0.18357   -0.38585   0.90426   97.18628
37   0.09283   -0.18448   -57.75141   0.56400   0.09283   -0.18448   -0.38673   0.90356   97.14661
38   0.09273   -0.18491   -57.80363   0.56437   0.09273   -0.18491   -0.38581   0.90396   97.18323
39   0.09289   -0.18445   -57.76540   0.56430   0.09289   -0.18445   -0.38618   0.90390   97.18933
40   0.09286   -0.18329   -57.67950   0.56430   0.09286   -0.18329   -0.38673   0.90390   97.14966
41   0.09279   -0.18433   -57.78006   0.56470   0.09279   -0.18433   -0.38542   0.90423   97.23511
42   0.09288   -0.18390   -57.68578   0.56361   0.09288   -0.18390   -0.38780   0.90329   97.18933
43   0.09288   -0.18491   -57.72897   0.56308   0.09288   -0.18491   -0.38841   0.90286   97.15881
44   0.09284   -0.18503   -57.74943   0.56329   0.09284   -0.18503   -0.38795   0.90307   97.20764
45   0.09267   -0.18476   -57.72153   0.56313   0.09267   -0.18476   -0.38835   0.90286   97.19238
46   0.09270   -0.18528   -57.76674   0.56326   0.09270   -0.18528   -0.38786   0.90298   97.20459
47   0.09259   -0.18519   -57.73499   0.56284   0.09259   -0.18519   -0.38878   0.90268   97.23816
48   0.09253   -0.18482   -57.69644   0.56262   0.09253   -0.18482   -0.38936   0.90246   97.34802
49   0.09268   -0.18473   -57.69268   0.56269   0.09268   -0.18473   -0.38929   0.90255   97.23206
50   0.09265   -0.18525   -57.70729   0.56225   0.09265   -0.18525   -0.38987   0.90210   97.18323
51   0.09252   -0.18604   -57.73393   0.56171   0.09252   -0.18604   -0.39061   0.90167   97.29614
52   0.09248   -0.18671   -57.76534   0.56139   0.09248   -0.18671   -0.39091   0.90139   97.37549
53   0.09262   -0.18534   -57.69194   0.56187   0.09262   -0.18534   -0.39061   0.90179   97.25952
54   0.09261   -0.18552   -57.67175   0.56127   0.09261   -0.18552   -0.39171   0.90124   97.26868
55   0.09262   -0.18558   -57.67194   0.56121   0.09262   -0.18558   -0.39183   0.90124   97.23206
56   0.09268   -0.18516   -57.67924   0.56189   0.09268   -0.18516   -0.39067   0.90185   97.25342
57   0.09269   -0.18610   -57.72109   0.56141   0.09269   -0.18610   -0.39119   0.90143   97.22290
58   0.09282   -0.18564   -57.67904   0.56123   0.09282   -0.18564   -0.39171   0.90118   97.19849
59   0.09285   -0.18522   -57.72199   0.56256   0.09285   -0.18522   -0.38929   0.90240   97.21680
60   0.09290   -0.18522   -57.69244   0.56206   0.09290   -0.18522   -0.39033   0.90207   97.21069
61   0.09280   -0.18479   -57.64175   0.56171   0.09280   -0.18479   -0.39122   0.90173   97.20764
62   0.09281   -0.18482   -57.68080   0.56236   0.09281   -0.18482   -0.38990   0.90228   97.21680
63   0.09294   -0.18516   -57.70528   0.56235   0.09294   -0.18516   -0.38975   0.90222   97.20154
64   0.09294   -0.18555   -57.73080   0.56229   0.09294   -0.18555   -0.38969   0.90222   97.20154
65   0.09273   -0.18561   -57.73882   0.56236   0.09273   -0.18561   -0.38954   0.90231   97.32361
66   0.09276   -0.18500   -57.71266   0.56266   0.09276   -0.18500   -0.38917   0.90246   97.18628
67   0.09257   -0.18549   -57.78924   0.56338   0.09257   -0.18549   -0.38752   0.90313   97.15881
68   0.09246   -0.18561   -57.79834   0.56340   0.09246   -0.18561   -0.38746   0.90320   97.30530
69   0.09253   -0.18491   -57.72547   0.56300   0.09253   -0.18491   -0.38853   0.90274   97.20764
70   0.09265   -0.18485   -57.78407   0.56412   0.09265   -0.18485   -0.38636   0.90378   97.19238
71   0.09263   -0.18430   -57.73246   0.56393   0.09263   -0.18430   -0.38701   0.90359   97.12219
72   0.09246   -0.18360   -57.67348   0.56379   0.09246   -0.18360   -0.38759   0.90344   97.17712
73   0.09257   -0.18274   -57.62794   0.56411   0.09257   -0.18274   -0.38737   0.90374   97.23816
