Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09288   -0.23072   73.17859   0.64500   0.09288   -0.23072   0.15354   0.96088   96.90247
2   0.09294   -0.22987   73.10587   0.64529   0.09294   -0.22987   0.15381   0.96106   96.77734
3   0.09286   -0.23164   73.23351   0.64461   0.09286   -0.23164   0.15351   0.96069   96.78345
4   0.09274   -0.23020   73.12782   0.64516   0.09274   -0.23020   0.15378   0.96100   96.85974
5   0.09285   -0.23084   73.18295   0.64495   0.09285   -0.23084   0.15357   0.96094   96.73462
6   0.09288   -0.23078   73.20310   0.64505   0.09288   -0.23078   0.15329   0.96097   96.76514
7   0.09296   -0.23041   73.14008   0.64508   0.09296   -0.23041   0.15378   0.96103   96.77734
8   0.09310   -0.23106   73.22668   0.64495   0.09310   -0.23106   0.15320   0.96088   96.75293
9   0.09312   -0.23008   73.12605   0.64523   0.09312   -0.23008   0.15372   0.96103   96.71326
10   0.09313   -0.23142   73.26598   0.64487   0.09313   -0.23142   0.15299   0.96091   96.80481
11   0.09319   -0.23188   73.29201   0.64466   0.09319   -0.23188   0.15299   0.96075   96.78650
12   0.09324   -0.23099   73.29693   0.64522   0.09324   -0.23099   0.15235   0.96103   96.80786
13   0.09316   -0.23048   73.28052   0.64549   0.09316   -0.23048   0.15220   0.96118   96.81396
14   0.09313   -0.23090   73.42932   0.64572   0.09313   -0.23090   0.15076   0.96130   96.83228
15   0.09312   -0.23069   73.38003   0.64570   0.09312   -0.23069   0.15119   0.96139   96.83228
16   0.09327   -0.23118   73.50868   0.64581   0.09327   -0.23118   0.15003   0.96139   96.71021
17   0.09316   -0.23151   73.60492   0.64591   0.09316   -0.23151   0.14914   0.96146   96.78345
18   0.09302   -0.23084   73.52698   0.64607   0.09302   -0.23084   0.14960   0.96152   96.83838
19   0.09299   -0.23142   73.53845   0.64576   0.09299   -0.23142   0.14985   0.96136   96.76819
20   0.09298   -0.23173   73.51315   0.64548   0.09298   -0.23173   0.15033   0.96121   96.70105
21   0.09284   -0.23215   73.53723   0.64530   0.09284   -0.23215   0.15033   0.96109   96.82312
22   0.09283   -0.23167   73.46990   0.64539   0.09283   -0.23167   0.15079   0.96118   96.79260
23   0.09293   -0.23133   73.47478   0.64560   0.09293   -0.23133   0.15052   0.96127   96.68884
24   0.09289   -0.23054   73.33160   0.64564   0.09289   -0.23054   0.15165   0.96136   96.71631
25   0.09288   -0.23191   73.37269   0.64491   0.09288   -0.23191   0.15207   0.96088   96.76514
26   0.09295   -0.22968   73.22183   0.64580   0.09295   -0.22968   0.15235   0.96142   96.73767
27   0.09281   -0.23035   73.33174   0.64575   0.09281   -0.23035   0.15152   0.96139   96.70410
28   0.09275   -0.22993   73.20152   0.64558   0.09275   -0.22993   0.15275   0.96127   96.78040
29   0.09301   -0.22996   73.17955   0.64548   0.09301   -0.22996   0.15302   0.96118   96.77124
30   0.09314   -0.23060   73.20314   0.64516   0.09314   -0.23060   0.15317   0.96103   96.71631
31   0.09310   -0.22965   73.19630   0.64574   0.09310   -0.22965   0.15262   0.96136   96.77124
32   0.09310   -0.22898   73.15232   0.64600   0.09310   -0.22898   0.15268   0.96146   96.78345
33   0.09332   -0.22849   73.05015   0.64598   0.09332   -0.22849   0.15354   0.96155   96.74072
34   0.09327   -0.22770   73.13106   0.64673   0.09327   -0.22770   0.15207   0.96188   96.74072
35   0.09316   -0.22681   73.06886   0.64708   0.09316   -0.22681   0.15220   0.96210   96.81396
36   0.09332   -0.22599   73.07121   0.64761   0.09332   -0.22599   0.15162   0.96237   96.69189
37   0.09326   -0.22819   73.19656   0.64665   0.09326   -0.22819   0.15165   0.96188   96.70105
