Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09444   -0.02383   0.89306   -0.44939   0.09444   -0.02383   0.89306   -0.44939   100.38757
2   0.09465   -0.02625   0.89395   -0.44749   0.09465   -0.02625   0.89395   -0.44749   100.25940
3   0.09462   -0.02866   0.89419   -0.44713   0.09462   -0.02866   0.89419   -0.44713   100.24109
4   0.09454   -0.02823   0.89444   -0.44667   0.09454   -0.02823   0.89444   -0.44667   100.36621
5   0.09463   -0.02857   0.89486   -0.44569   0.09463   -0.02857   0.89486   -0.44569   100.27771
6   0.09470   -0.02954   0.89483   -0.44572   0.09470   -0.02954   0.89483   -0.44572   100.23193
7   0.09470   -0.03092   0.89434   -0.44646   0.09470   -0.03092   0.89434   -0.44646   100.32654
8   0.09463   -0.02985   0.89523   -0.44496   0.09463   -0.02985   0.89523   -0.44496   100.29907
9   0.09477   -0.02744   0.89483   -0.44584   0.09477   -0.02744   0.89483   -0.44584   100.21973
10   0.09478   -0.02850   0.89346   -0.44841   0.09478   -0.02850   0.89346   -0.44841   100.17090
11   0.09458   -0.02716   0.89270   -0.44996   0.09458   -0.02716   0.89270   -0.44996   100.30823
12   0.09443   -0.02652   0.89352   -0.44865   0.09443   -0.02652   0.89352   -0.44865   100.33875
13   0.09453   -0.02506   0.89306   -0.44932   0.09453   -0.02506   0.89306   -0.44932   100.23193
14   0.09433   -0.02530   0.89282   -0.44990   0.09433   -0.02530   0.89282   -0.44990   100.35706
15   0.09438   -0.02380   0.89239   -0.45094   0.09438   -0.02380   0.89239   -0.45094   100.28076
16   0.09437   -0.02332   0.89239   -0.45088   0.09437   -0.02332   0.89239   -0.45088   100.23193
17   0.09433   -0.02289   0.89245   -0.45082   0.09433   -0.02289   0.89245   -0.45082   100.32959
18   0.09423   -0.02335   0.89230   -0.45112   0.09423   -0.02335   0.89230   -0.45112   100.36621
19   0.09426   -0.02368   0.89236   -0.45079   0.09426   -0.02368   0.89236   -0.45079   100.32043
20   0.09434   -0.02298   0.89257   -0.45036   0.09434   -0.02298   0.89257   -0.45036   100.23193
21   0.09428   -0.02472   0.89212   -0.45119   0.09428   -0.02472   0.89212   -0.45119   100.34790
22   0.09440   -0.02460   0.89248   -0.45061   0.09440   -0.02460   0.89248   -0.45061   100.36621
23   0.09460   -0.02548   0.89261   -0.45045   0.09460   -0.02548   0.89261   -0.45045   100.24109
