Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 18:6:10 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09418   -0.06876   0.82739   0.55757   0.09418   -0.06876   0.82739   0.55757   98.15979
2   0.09408   -0.07065   0.82775   0.55684   0.09408   -0.07065   0.82775   0.55684   98.19946
3   0.09401   -0.07053   0.82846   0.55580   0.09401   -0.07053   0.82846   0.55580   98.30322
4   0.09415   -0.07077   0.82977   0.55379   0.09415   -0.07077   0.82977   0.55379   98.09265
5   0.09408   -0.07160   0.82989   0.55354   0.09408   -0.07160   0.82989   0.55354   98.15979
6   0.09403   -0.07294   0.82995   0.55321   0.09403   -0.07294   0.82995   0.55321   98.22693
7   0.09411   -0.07443   0.83004   0.55290   0.09411   -0.07443   0.83004   0.55290   98.09265
8   0.09389   -0.07584   0.83126   0.55092   0.09389   -0.07584   0.83126   0.55092   98.18420
9   0.09373   -0.07718   0.83071   0.55144   0.09373   -0.07718   0.83071   0.55144   98.17200
10   0.09384   -0.07727   0.83047   0.55184   0.09384   -0.07727   0.83047   0.55184   98.13538
11   0.09381   -0.07559   0.83181   0.55007   0.09381   -0.07559   0.83181   0.55007   98.14453
12   0.09374   -0.07593   0.83102   0.55123   0.09374   -0.07593   0.83102   0.55123   98.14148
13   0.09366   -0.07669   0.83129   0.55071   0.09366   -0.07669   0.83129   0.55071   98.21777
14   0.09375   -0.07620   0.83233   0.54927   0.09375   -0.07620   0.83233   0.54927   98.11401
15   0.09386   -0.07355   0.83032   0.55272   0.09386   -0.07355   0.83032   0.55272   98.07739
16   0.09374   -0.07450   0.83010   0.55287   0.09374   -0.07450   0.83010   0.55287   98.22083
17   0.09361   -0.07215   0.82946   0.55403   0.09361   -0.07215   0.82946   0.55403   98.23914
18   0.09392   -0.07117   0.82958   0.55403   0.09392   -0.07117   0.82958   0.55403   98.09875
19   0.09398   -0.07025   0.82925   0.55467   0.09398   -0.07025   0.82925   0.55467   98.12927
20   0.09387   -0.06931   0.82882   0.55544   0.09387   -0.06931   0.82882   0.55544   98.23303
21   0.09402   -0.06821   0.82946   0.55467   0.09402   -0.06821   0.82946   0.55467   98.17810
22   0.09412   -0.06781   0.82904   0.55516   0.09412   -0.06781   0.82904   0.55516   98.08350
23   0.09408   -0.06665   0.82849   0.55629   0.09408   -0.06665   0.82849   0.55629   98.17810
24   0.09404   -0.06729   0.82852   0.55608   0.09404   -0.06729   0.82852   0.55608   98.24524
25   0.09416   -0.06864   0.82873   0.55568   0.09416   -0.06864   0.82873   0.55568   98.16895
26   0.09416   -0.06693   0.82992   0.55409   0.09416   -0.06693   0.82992   0.55409   98.23914
27   0.09409   -0.06690   0.82955   0.55467   0.09409   -0.06690   0.82955   0.55467   98.18726
28   0.09408   -0.06696   0.83056   0.55312   0.09408   -0.06696   0.83056   0.55312   98.24829
29   0.09403   -0.06867   0.82913   0.55504   0.09403   -0.06867   0.82913   0.55504   98.09875
30   0.09389   -0.07129   0.82962   0.55397   0.09389   -0.07129   0.82962   0.55397   98.13538
31   0.09380   -0.07041   0.82986   0.55385   0.09380   -0.07041   0.82986   0.55385   98.17200
32   0.09385   -0.07035   0.82919   0.55467   0.09385   -0.07035   0.82919   0.55467   98.15369
33   0.09385   -0.07178   0.82815   0.55608   0.09385   -0.07178   0.82815   0.55608   98.21167
34   0.09369   -0.07270   0.82894   0.55473   0.09369   -0.07270   0.82894   0.55473   98.24829
35   0.09368   -0.07120   0.83077   0.55220   0.09368   -0.07120   0.83077   0.55220   98.12317
36   0.09377   -0.07178   0.82992   0.55351   0.09377   -0.07178   0.82992   0.55351   98.13232
37   0.09376   -0.07108   0.82977   0.55373   0.09376   -0.07108   0.82977   0.55373   98.19336
