Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 18:6:44 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09068   0.89944   -0.22803   0.37309   0.09068   0.89944   -0.22803   0.37309   99.20044
2   0.09073   0.89956   -0.22639   0.37373   0.09073   0.89956   -0.22639   0.37373   99.25232
3   0.09093   0.89966   -0.22666   0.37342   0.09093   0.89966   -0.22666   0.37342   99.15161
4   0.09097   0.89880   -0.22837   0.37458   0.09097   0.89880   -0.22837   0.37458   99.19434
5   0.09088   0.89798   -0.23182   0.37446   0.09088   0.89798   -0.23182   0.37446   99.27368
6   0.09094   0.89663   -0.23536   0.37535   0.09094   0.89663   -0.23536   0.37535   99.24316
7   0.09105   0.89612   -0.23725   0.37532   0.09105   0.89612   -0.23725   0.37532   99.14246
8   0.09099   0.89404   -0.24299   0.37672   0.09099   0.89404   -0.24299   0.37672   99.21265
9   0.09094   0.89331   -0.24622   0.37648   0.09094   0.89331   -0.24622   0.37648   99.26453
10   0.09099   0.89200   -0.24998   0.37696   0.09099   0.89200   -0.24998   0.37696   99.17297
11   0.09104   0.89181   -0.25019   0.37730   0.09104   0.89181   -0.25019   0.37730   99.14246
12   0.09094   0.89142   -0.25101   0.37782   0.09094   0.89142   -0.25101   0.37782   99.18213
13   0.09073   0.89111   -0.25065   0.37849   0.09073   0.89111   -0.25065   0.37849   99.24011
14   0.09076   0.89071   -0.25163   0.37895   0.09076   0.89071   -0.25163   0.37895   99.16992
15   0.09073   0.89044   -0.25193   0.37931   0.09073   0.89044   -0.25193   0.37931   99.13940
16   0.09067   0.89041   -0.25312   0.37873   0.09067   0.89041   -0.25312   0.37873   99.22180
17   0.09076   0.89053   -0.25156   0.37922   0.09076   0.89053   -0.25156   0.37922   99.18213
18   0.09073   0.89093   -0.24830   0.38084   0.09073   0.89093   -0.24830   0.38084   99.16992
19   0.09073   0.89105   -0.24949   0.37959   0.09073   0.89105   -0.24949   0.37959   99.13940
20   0.09071   0.89142   -0.24738   0.37992   0.09071   0.89142   -0.24738   0.37992   99.22180
21   0.09063   0.89221   -0.24439   0.38005   0.09063   0.89221   -0.24439   0.38005   99.19128
22   0.09068   0.89239   -0.24360   0.38041   0.09068   0.89239   -0.24360   0.38041   99.18213
23   0.09083   0.89264   -0.24247   0.38026   0.09083   0.89264   -0.24247   0.38026   99.20349
24   0.09094   0.89312   -0.24113   0.37999   0.09094   0.89312   -0.24113   0.37999   99.21265
25   0.09092   0.89422   -0.23936   0.37852   0.09092   0.89422   -0.23936   0.37852   99.17297
26   0.09084   0.89456   -0.23820   0.37867   0.09084   0.89456   -0.23820   0.37867   99.22180
27   0.09081   0.89517   -0.23798   0.37721   0.09081   0.89517   -0.23798   0.37721   99.23096
28   0.09105   0.89535   -0.23664   0.37754   0.09105   0.89535   -0.23664   0.37754   99.16382
29   0.09100   0.89575   -0.23685   0.37666   0.09100   0.89575   -0.23685   0.37666   99.13330
30   0.09099   0.89544   -0.23838   0.37642   0.09099   0.89544   -0.23838   0.37642   99.22485
31   0.09097   0.89492   -0.23954   0.37703   0.09097   0.89492   -0.23954   0.37703   99.24316
32   0.09106   0.89422   -0.24162   0.37739   0.09106   0.89422   -0.24162   0.37739   99.12415
33   0.09095   0.89349   -0.24305   0.37812   0.09095   0.89349   -0.24305   0.37812   99.14246
34   0.09077   0.89334   -0.24372   0.37797   0.09077   0.89334   -0.24372   0.37797   99.24316
35   0.09067   0.89242   -0.24610   0.37858   0.09067   0.89242   -0.24610   0.37858   99.20959
36   0.09074   0.89203   -0.24583   0.37944   0.09074   0.89203   -0.24583   0.37944   99.13025
37   0.09066   0.89209   -0.24613   0.37950   0.09066   0.89209   -0.24613   0.37950   99.20044
38   0.09061   0.89193   -0.24574   0.37996   0.09061   0.89193   -0.24574   0.37996   99.27063
39   0.09068   0.89264   -0.24442   0.37907   0.09068   0.89264   -0.24442   0.37907   99.18213
40   0.09065   0.89200   -0.24506   0.38029   0.09065   0.89200   -0.24506   0.38029   99.13940
41   0.09060   0.89312   -0.24177   0.37962   0.09060   0.89312   -0.24177   0.37962   99.22180
42   0.09054   0.89377   -0.24003   0.37907   0.09054   0.89377   -0.24003   0.37907   99.24011
43   0.09062   0.89389   -0.23905   0.37938   0.09062   0.89389   -0.23905   0.37938   99.20044
44   0.09073   0.89410   -0.23759   0.37986   0.09073   0.89410   -0.23759   0.37986   99.18213
45   0.09087   0.89474   -0.23527   0.37980   0.09087   0.89474   -0.23527   0.37980   99.24316
46   0.09088   0.89486   -0.23496   0.37989   0.09088   0.89486   -0.23496   0.37989   99.20349
47   0.09094   0.89499   -0.23530   0.37922   0.09094   0.89499   -0.23530   0.37922   99.17297
48   0.09085   0.89523   -0.23560   0.37852   0.09085   0.89523   -0.23560   0.37852   99.22180
49   0.09093   0.89526   -0.23399   0.37959   0.09093   0.89526   -0.23399   0.37959   99.22180
50   0.09094   0.89438   -0.23685   0.37971   0.09094   0.89438   -0.23685   0.37971   99.14246
51   0.09097   0.89489   -0.23572   0.37928   0.09097   0.89489   -0.23572   0.37928   99.16382
52   0.09097   0.89425   -0.23905   0.37889   0.09097   0.89425   -0.23905   0.37889   99.18213
53   0.09106   0.89395   -0.23902   0.37938   0.09106   0.89395   -0.23902   0.37938   99.19434
54   0.09098   0.89334   -0.24003   0.38017   0.09098   0.89334   -0.24003   0.38017   99.14246
55   0.09094   0.89236   -0.24180   0.38139   0.09094   0.89236   -0.24180   0.38139   99.23401
56   0.09073   0.89248   -0.24137   0.38139   0.09073   0.89248   -0.24137   0.38139   99.21265
57   0.09072   0.89181   -0.24253   0.38234   0.09072   0.89181   -0.24253   0.38234   99.16077
58   0.09078   0.89257   -0.24128   0.38142   0.09078   0.89257   -0.24128   0.38142   99.15161
59   0.09070   0.89181   -0.24253   0.38224   0.09070   0.89181   -0.24253   0.38224   99.23096
60   0.09065   0.89181   -0.24116   0.38316   0.09065   0.89181   -0.24116   0.38316   99.23096
61   0.09081   0.89230   -0.24042   0.38234   0.09081   0.89230   -0.24042   0.38234   99.15161
62   0.09073   0.89169   -0.24192   0.38289   0.09073   0.89169   -0.24192   0.38289   99.18213
63   0.09063   0.89264   -0.23908   0.38240   0.09063   0.89264   -0.23908   0.38240   99.23096
64   0.09075   0.89294   -0.23753   0.38279   0.09075   0.89294   -0.23753   0.38279   99.18213
65   0.09090   0.89279   -0.23762   0.38301   0.09090   0.89279   -0.23762   0.38301   99.11194
66   0.09089   0.89361   -0.23719   0.38139   0.09089   0.89361   -0.23719   0.38139   99.20349
67   0.09083   0.89279   -0.23688   0.38343   0.09083   0.89279   -0.23688   0.38343   99.24316
68   0.09105   0.89254   -0.23554   0.38475   0.09105   0.89254   -0.23554   0.38475   99.15466
69   0.09119   0.89276   -0.23569   0.38432   0.09119   0.89276   -0.23569   0.38432   99.14551
70   0.09124   0.89273   -0.23698   0.38347   0.09124   0.89273   -0.23698   0.38347   99.20654
71   0.09125   0.89215   -0.23710   0.38496   0.09125   0.89215   -0.23710   0.38496   99.17603
72   0.09119   0.89142   -0.23759   0.38624   0.09119   0.89142   -0.23759   0.38624   99.15466
73   0.09117   0.89114   -0.23841   0.38630   0.09117   0.89114   -0.23841   0.38630   99.12415
74   0.09105   0.89074   -0.23875   0.38697   0.09105   0.89074   -0.23875   0.38697   99.17297
75   0.09105   0.89013   -0.24015   0.38746   0.09105   0.89013   -0.24015   0.38746   99.18518
76   0.09095   0.88980   -0.23798   0.38954   0.09095   0.88980   -0.23798   0.38954   99.17297
77   0.09079   0.88995   -0.24061   0.38783   0.09079   0.88995   -0.24061   0.38783   99.18213
78   0.09070   0.89013   -0.24018   0.38777   0.09070   0.89013   -0.24018   0.38777   99.15161
79   0.09068   0.88989   -0.23969   0.38865   0.09068   0.88989   -0.23969   0.38865   99.12109
80   0.09064   0.89029   -0.23807   0.38844   0.09064   0.89029   -0.23807   0.38844   99.14856
81   0.09053   0.89035   -0.23841   0.38804   0.09053   0.89035   -0.23841   0.38804   99.21875
82   0.09065   0.89062   -0.23685   0.38841   0.09065   0.89062   -0.23685   0.38841   99.13025
83   0.09061   0.89041   -0.23762   0.38850   0.09061   0.89041   -0.23762   0.38850   99.14856
84   0.09057   0.89132   -0.23634   0.38743   0.09057   0.89132   -0.23634   0.38743   99.17908
