Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:54:52 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09343   0.11631   0.00452   0.99329   0.09343   0.11631   0.00452   0.99329   95.66650
2   0.09355   0.11710   0.00543   0.99322   0.09355   0.11710   0.00543   0.99322   95.61462
3   0.09357   0.11798   0.00482   0.99307   0.09357   0.11798   0.00482   0.99307   95.54749
4   0.09357   0.11722   0.00510   0.99326   0.09357   0.11722   0.00510   0.99326   95.57495
5   0.09355   0.11744   0.00616   0.99322   0.09355   0.11744   0.00616   0.99322   95.71228
6   0.09354   0.11716   0.00497   0.99326   0.09354   0.11716   0.00497   0.99326   95.64209
7   0.09354   0.11765   0.00412   0.99316   0.09354   0.11765   0.00412   0.99316   95.56580
8   0.09351   0.11847   0.00455   0.99313   0.09351   0.11847   0.00455   0.99313   95.60242
9   0.09352   0.11759   0.00546   0.99322   0.09352   0.11759   0.00546   0.99322   95.60242
10   0.09339   0.11646   0.00586   0.99335   0.09339   0.11646   0.00586   0.99335   95.67566
11   0.09331   0.11795   0.00534   0.99304   0.09331   0.11795   0.00534   0.99304   95.58411
12   0.09330   0.11756   0.00601   0.99316   0.09330   0.11756   0.00601   0.99316   95.66040
13   0.09331   0.11689   0.00540   0.99329   0.09331   0.11689   0.00540   0.99329   95.61157
14   0.09321   0.11646   0.00626   0.99332   0.09321   0.11646   0.00626   0.99332   95.60852
15   0.09307   0.11768   0.00537   0.99313   0.09307   0.11768   0.00537   0.99313   95.63904
16   0.09312   0.11646   0.00589   0.99329   0.09312   0.11646   0.00589   0.99329   95.66345
17   0.09316   0.11679   0.00546   0.99332   0.09316   0.11679   0.00546   0.99332   95.63599
18   0.09312   0.11643   0.00537   0.99332   0.09312   0.11643   0.00537   0.99332   95.61462
19   0.09320   0.11615   0.00583   0.99332   0.09320   0.11615   0.00583   0.99332   95.66650
20   0.09336   0.11640   0.00702   0.99326   0.09336   0.11640   0.00702   0.99326   95.60547
21   0.09345   0.11698   0.00656   0.99316   0.09345   0.11698   0.00656   0.99316   95.59021
22   0.09338   0.11631   0.00571   0.99329   0.09338   0.11631   0.00571   0.99329   95.62683
23   0.09354   0.11658   0.00620   0.99332   0.09354   0.11658   0.00620   0.99332   95.69092
24   0.09359   0.11597   0.00732   0.99335   0.09359   0.11597   0.00732   0.99335   95.52917
25   0.09357   0.11588   0.00699   0.99338   0.09357   0.11588   0.00699   0.99338   95.57495
26   0.09347   0.11542   0.00760   0.99344   0.09347   0.11542   0.00760   0.99344   95.66956
27   0.09357   0.11689   0.00784   0.99322   0.09357   0.11689   0.00784   0.99322   95.66345
28   0.09361   0.11567   0.00787   0.99344   0.09361   0.11567   0.00787   0.99344   95.60547
29   0.09355   0.11521   0.00699   0.99341   0.09355   0.11521   0.00699   0.99341   95.55664
30   0.09354   0.11533   0.00806   0.99341   0.09354   0.11533   0.00806   0.99341   95.73059
31   0.09339   0.11618   0.00745   0.99335   0.09339   0.11618   0.00745   0.99335   95.63599
32   0.09329   0.11600   0.00833   0.99332   0.09329   0.11600   0.00833   0.99332   95.58105
33   0.09318   0.11548   0.00717   0.99344   0.09318   0.11548   0.00717   0.99344   95.62683
34   0.09315   0.11487   0.00705   0.99350   0.09315   0.11487   0.00705   0.99350   95.66345
