Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:44:20 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09227   0.06894   -0.78539   -0.61513   0.09227   0.06894   -0.78539   -0.61513   100.72327
2   0.09227   0.06919   -0.78539   -0.61531   0.09227   0.06919   -0.78539   -0.61531   100.82092
3   0.09224   0.06952   -0.78488   -0.61583   0.09224   0.06952   -0.78488   -0.61583   100.91248
4   0.09223   0.06796   -0.78518   -0.61559   0.09223   0.06796   -0.78518   -0.61559   100.81177
5   0.09233   0.06870   -0.78481   -0.61602   0.09233   0.06870   -0.78481   -0.61602   100.78125
6   0.09222   0.06812   -0.78552   -0.61519   0.09222   0.06812   -0.78552   -0.61519   100.90332
7   0.09218   0.06909   -0.78466   -0.61614   0.09218   0.06909   -0.78466   -0.61614   100.91248
8   0.09229   0.06955   -0.78515   -0.61544   0.09229   0.06955   -0.78515   -0.61544   100.76294
9   0.09229   0.06842   -0.78472   -0.61614   0.09229   0.06842   -0.78472   -0.61614   100.74158
10   0.09235   0.06839   -0.78497   -0.61577   0.09235   0.06839   -0.78497   -0.61577   100.90942
11   0.09239   0.06861   -0.78521   -0.61550   0.09239   0.06861   -0.78521   -0.61550   100.91858
12   0.09246   0.06781   -0.78500   -0.61577   0.09246   0.06781   -0.78500   -0.61577   100.75073
13   0.09249   0.06836   -0.78515   -0.61562   0.09249   0.06836   -0.78515   -0.61562   100.80872
14   0.09230   0.06830   -0.78542   -0.61513   0.09230   0.06830   -0.78542   -0.61513   100.90027
15   0.09234   0.06516   -0.78539   -0.61553   0.09234   0.06516   -0.78539   -0.61553   100.81177
16   0.09247   0.06854   -0.78497   -0.61568   0.09247   0.06854   -0.78497   -0.61568   100.81177
17   0.09236   0.06745   -0.78503   -0.61580   0.09236   0.06745   -0.78503   -0.61580   100.85144
18   0.09228   0.06748   -0.78533   -0.61541   0.09228   0.06748   -0.78533   -0.61541   100.89111
19   0.09237   0.06748   -0.78454   -0.61641   0.09237   0.06748   -0.78454   -0.61641   100.80261
20   0.09227   0.06845   -0.78454   -0.61641   0.09227   0.06845   -0.78454   -0.61641   100.86060
21   0.09221   0.06711   -0.78481   -0.61623   0.09221   0.06711   -0.78481   -0.61623   100.86365
22   0.09219   0.06717   -0.78542   -0.61538   0.09219   0.06717   -0.78542   -0.61538   100.75378
23   0.09214   0.06626   -0.78497   -0.61608   0.09214   0.06626   -0.78497   -0.61608   100.78430
24   0.09213   0.06699   -0.78426   -0.61678   0.09213   0.06699   -0.78426   -0.61678   100.90332
25   0.09210   0.06610   -0.78448   -0.61669   0.09210   0.06610   -0.78448   -0.61669   100.87280
26   0.09210   0.06748   -0.78484   -0.61614   0.09210   0.06748   -0.78484   -0.61614   100.73547
27   0.09204   0.06708   -0.78472   -0.61623   0.09204   0.06708   -0.78472   -0.61623   100.78430
28   0.09196   0.06772   -0.78396   -0.61711   0.09196   0.06772   -0.78396   -0.61711   100.89417
29   0.09212   0.06684   -0.78491   -0.61605   0.09212   0.06684   -0.78491   -0.61605   100.80261
30   0.09234   0.06787   -0.78433   -0.61669   0.09234   0.06787   -0.78433   -0.61669   100.73242
31   0.09224   0.06763   -0.78408   -0.61711   0.09224   0.06763   -0.78408   -0.61711   100.87280
32   0.09230   0.06735   -0.78439   -0.61653   0.09230   0.06735   -0.78439   -0.61653   100.90027
33   0.09243   0.06757   -0.78494   -0.61586   0.09243   0.06757   -0.78494   -0.61586   100.79041
34   0.09240   0.06735   -0.78460   -0.61632   0.09240   0.06735   -0.78460   -0.61632   100.78125
35   0.09229   0.06665   -0.78393   -0.61736   0.09229   0.06665   -0.78393   -0.61736   100.86060
36   0.09231   0.06812   -0.78439   -0.61657   0.09231   0.06812   -0.78439   -0.61657   100.79346
37   0.09243   0.06803   -0.78439   -0.61663   0.09243   0.06803   -0.78439   -0.61663   100.79956
38   0.09247   0.06729   -0.78439   -0.61666   0.09247   0.06729   -0.78439   -0.61666   100.82092
39   0.09236   0.06668   -0.78420   -0.61696   0.09236   0.06668   -0.78420   -0.61696   100.84229
40   0.09239   0.06748   -0.78466   -0.61626   0.09239   0.06748   -0.78466   -0.61626   100.78125
41   0.09234   0.06693   -0.78445   -0.61675   0.09234   0.06693   -0.78445   -0.61675   100.82092
42   0.09222   0.06769   -0.78414   -0.61705   0.09222   0.06769   -0.78414   -0.61705   100.87280
43   0.09226   0.06766   -0.78408   -0.61705   0.09226   0.06766   -0.78408   -0.61705   100.80261
44   0.09225   0.06787   -0.78414   -0.61678   0.09225   0.06787   -0.78414   -0.61678   100.75378
45   0.09224   0.06650   -0.78381   -0.61745   0.09224   0.06650   -0.78381   -0.61745   100.89111
46   0.09211   0.06775   -0.78375   -0.61751   0.09211   0.06775   -0.78375   -0.61751   100.88196
47   0.09228   0.06766   -0.78463   -0.61626   0.09228   0.06766   -0.78463   -0.61626   100.74158
48   0.09216   0.06659   -0.78372   -0.61757   0.09216   0.06659   -0.78372   -0.61757   100.78430
49   0.09205   0.06665   -0.78393   -0.61730   0.09205   0.06665   -0.78393   -0.61730   100.91248
50   0.09213   0.06674   -0.78414   -0.61696   0.09213   0.06674   -0.78414   -0.61696   100.89417
51   0.09235   0.06775   -0.78396   -0.61711   0.09235   0.06775   -0.78396   -0.61711   100.74158
52   0.09238   0.06681   -0.78439   -0.61675   0.09238   0.06681   -0.78439   -0.61675   100.81177
53   0.09245   0.06595   -0.78405   -0.61727   0.09245   0.06595   -0.78405   -0.61727   100.91858
54   0.09238   0.06641   -0.78439   -0.61672   0.09238   0.06641   -0.78439   -0.61672   100.80261
55   0.09246   0.06681   -0.78402   -0.61715   0.09246   0.06681   -0.78402   -0.61715   100.75073
56   0.09251   0.06616   -0.78365   -0.61779   0.09251   0.06616   -0.78365   -0.61779   100.86060
57   0.09247   0.06745   -0.78362   -0.61751   0.09247   0.06745   -0.78362   -0.61751   100.86060
58   0.09240   0.06610   -0.78396   -0.61739   0.09240   0.06610   -0.78396   -0.61739   100.77209
59   0.09237   0.06681   -0.78326   -0.61815   0.09237   0.06681   -0.78326   -0.61815   100.81177
60   0.09239   0.06790   -0.78359   -0.61757   0.09239   0.06790   -0.78359   -0.61757   100.88196
61   0.09246   0.06659   -0.78375   -0.61763   0.09246   0.06659   -0.78375   -0.61763   100.82092
62   0.09240   0.06708   -0.78353   -0.61779   0.09240   0.06708   -0.78353   -0.61779   100.85144
63   0.09214   0.06632   -0.78356   -0.61779   0.09214   0.06632   -0.78356   -0.61779   100.89417
64   0.09207   0.06546   -0.78408   -0.61724   0.09207   0.06546   -0.78408   -0.61724   100.88501
65   0.09221   0.06568   -0.78445   -0.61681   0.09221   0.06568   -0.78445   -0.61681   100.74463
