Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09325   -0.15284   0.44737   0.88134   0.09325   -0.15284   0.44737   0.88134   97.36633
2   0.09313   -0.15186   0.44685   0.88180   0.09313   -0.15186   0.44685   0.88180   97.39380
3   0.09316   -0.15137   0.44774   0.88144   0.09316   -0.15137   0.44774   0.88144   97.25647
4   0.09307   -0.15094   0.44755   0.88162   0.09307   -0.15094   0.44755   0.88162   97.31140
5   0.09303   -0.15180   0.44746   0.88141   0.09303   -0.15180   0.44746   0.88141   97.33276
6   0.09312   -0.15101   0.44765   0.88144   0.09312   -0.15101   0.44765   0.88144   97.29614
7   0.09305   -0.15107   0.44758   0.88162   0.09305   -0.15107   0.44758   0.88162   97.25342
8   0.09296   -0.15223   0.44765   0.88131   0.09296   -0.15223   0.44765   0.88131   97.38770
9   0.09314   -0.15223   0.44588   0.88220   0.09314   -0.15223   0.44588   0.88220   97.31445
10   0.09311   -0.15012   0.44713   0.88198   0.09311   -0.15012   0.44713   0.88198   97.23511
11   0.09292   -0.15162   0.44789   0.88122   0.09292   -0.15162   0.44789   0.88122   97.36633
12   0.09300   -0.15226   0.44691   0.88165   0.09300   -0.15226   0.44691   0.88165   97.39075
13   0.09325   -0.15241   0.44658   0.88174   0.09325   -0.15241   0.44658   0.88174   97.23816
14   0.09329   -0.15076   0.44749   0.88159   0.09329   -0.15076   0.44749   0.88159   97.35718
15   0.09330   -0.15030   0.44737   0.88186   0.09330   -0.15030   0.44737   0.88186   97.28088
16   0.09323   -0.15082   0.44661   0.88205   0.09323   -0.15082   0.44661   0.88205   97.37549
17   0.09331   -0.15061   0.44700   0.88186   0.09331   -0.15061   0.44700   0.88186   97.33887
18   0.09324   -0.15076   0.44575   0.88253   0.09324   -0.15076   0.44575   0.88253   97.41516
19   0.09323   -0.15055   0.44511   0.88290   0.09323   -0.15055   0.44511   0.88290   97.36633
20   0.09339   -0.15079   0.44777   0.88153   0.09339   -0.15079   0.44777   0.88153   97.24426
21   0.09330   -0.15040   0.44545   0.88272   0.09330   -0.15040   0.44545   0.88272   97.27173
22   0.09320   -0.15018   0.44581   0.88256   0.09320   -0.15018   0.44581   0.88256   97.45483
23   0.09312   -0.14872   0.44679   0.88229   0.09312   -0.14872   0.44679   0.88229   97.40295
24   0.09311   -0.14960   0.44670   0.88217   0.09311   -0.14960   0.44670   0.88217   97.32361
25   0.09298   -0.14930   0.44682   0.88223   0.09298   -0.14930   0.44682   0.88223   97.33887
26   0.09294   -0.14893   0.44646   0.88244   0.09294   -0.14893   0.44646   0.88244   97.32971
27   0.09297   -0.14951   0.44627   0.88247   0.09297   -0.14951   0.44627   0.88247   97.37854
28   0.09290   -0.14982   0.44606   0.88256   0.09290   -0.14982   0.44606   0.88256   97.37549
29   0.09285   -0.14838   0.44578   0.88287   0.09285   -0.14838   0.44578   0.88287   97.42432
30   0.09288   -0.14917   0.44737   0.88195   0.09288   -0.14917   0.44737   0.88195   97.25647
31   0.09294   -0.14853   0.44594   0.88284   0.09294   -0.14853   0.44594   0.88284   97.29004
32   0.09287   -0.14881   0.44597   0.88278   0.09287   -0.14881   0.44597   0.88278   97.35718
33   0.09289   -0.14866   0.44670   0.88244   0.09289   -0.14866   0.44670   0.88244   97.30835
34   0.09298   -0.14914   0.44584   0.88281   0.09298   -0.14914   0.44584   0.88281   97.31140
35   0.09312   -0.14863   0.44533   0.88311   0.09312   -0.14863   0.44533   0.88311   97.21680
36   0.09321   -0.14859   0.44545   0.88302   0.09321   -0.14859   0.44545   0.88302   97.37549
37   0.09328   -0.14856   0.44572   0.88287   0.09328   -0.14856   0.44572   0.88287   97.29004
38   0.09329   -0.14890   0.44459   0.88339   0.09329   -0.14890   0.44459   0.88339   97.24121
39   0.09325   -0.14847   0.44542   0.88308   0.09325   -0.14847   0.44542   0.88308   97.34802
40   0.09322   -0.14817   0.44542   0.88318   0.09322   -0.14817   0.44542   0.88318   97.34802
41   0.09329   -0.14838   0.44481   0.88336   0.09329   -0.14838   0.44481   0.88336   97.29004
42   0.09337   -0.14774   0.44499   0.88333   0.09337   -0.14774   0.44499   0.88333   97.30225
43   0.09323   -0.14823   0.44520   0.88318   0.09323   -0.14823   0.44520   0.88318   97.40601
44   0.09316   -0.14670   0.44545   0.88327   0.09316   -0.14670   0.44545   0.88327   97.37549
45   0.09325   -0.14692   0.44490   0.88354   0.09325   -0.14692   0.44490   0.88354   97.27783
46   0.09300   -0.14716   0.44496   0.88348   0.09300   -0.14716   0.44496   0.88348   97.36938
47   0.09308   -0.14725   0.44462   0.88366   0.09308   -0.14725   0.44462   0.88366   97.33276
48   0.09303   -0.14695   0.44417   0.88400   0.09303   -0.14695   0.44417   0.88400   97.31140
49   0.09300   -0.14640   0.44407   0.88412   0.09300   -0.14640   0.44407   0.88412   97.28088
50   0.09287   -0.14606   0.44484   0.88372   0.09287   -0.14606   0.44484   0.88372   97.31750
51   0.09290   -0.14631   0.44496   0.88366   0.09290   -0.14631   0.44496   0.88366   97.29919
52   0.09291   -0.14713   0.44444   0.88372   0.09291   -0.14713   0.44444   0.88372   97.25952
53   0.09293   -0.14747   0.44514   0.88336   0.09293   -0.14747   0.44514   0.88336   97.30835
54   0.09297   -0.14689   0.44551   0.88333   0.09297   -0.14689   0.44551   0.88333   97.27173
55   0.09299   -0.14618   0.44554   0.88345   0.09299   -0.14618   0.44554   0.88345   97.22290
56   0.09303   -0.14579   0.44472   0.88394   0.09303   -0.14579   0.44472   0.88394   97.40906
57   0.09309   -0.14621   0.44462   0.88385   0.09309   -0.14621   0.44462   0.88385   97.32361
58   0.09321   -0.14560   0.44530   0.88363   0.09321   -0.14560   0.44530   0.88363   97.33582
59   0.09327   -0.14618   0.44533   0.88348   0.09327   -0.14618   0.44533   0.88348   97.26868
60   0.09324   -0.14679   0.44548   0.88330   0.09324   -0.14679   0.44548   0.88330   97.35718
61   0.09324   -0.14713   0.44432   0.88385   0.09324   -0.14713   0.44432   0.88385   97.32666
62   0.09342   -0.14582   0.44383   0.88433   0.09342   -0.14582   0.44383   0.88433   97.14661
63   0.09335   -0.14740   0.44423   0.88385   0.09335   -0.14740   0.44423   0.88385   97.26257
