Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09278   -0.15088   0.36952   0.91705   0.09278   -0.15088   0.36952   0.91705   97.13745
2   0.09280   -0.15098   0.36949   0.91699   0.09280   -0.15098   0.36949   0.91699   97.26563
3   0.09273   -0.15125   0.36982   0.91678   0.09273   -0.15125   0.36982   0.91678   97.22290
4   0.09270   -0.15122   0.36973   0.91690   0.09270   -0.15122   0.36973   0.91690   97.23206
5   0.09277   -0.15070   0.36955   0.91702   0.09277   -0.15070   0.36955   0.91702   97.20459
6   0.09267   -0.15250   0.37062   0.91638   0.09267   -0.15250   0.37062   0.91638   97.25037
7   0.09275   -0.15174   0.37028   0.91659   0.09275   -0.15174   0.37028   0.91659   97.18628
8   0.09278   -0.15076   0.36958   0.91708   0.09278   -0.15076   0.36958   0.91708   97.23511
9   0.09275   -0.15213   0.36985   0.91656   0.09275   -0.15213   0.36985   0.91656   97.23511
10   0.09289   -0.15125   0.37053   0.91650   0.09289   -0.15125   0.37053   0.91650   97.21069
11   0.09301   -0.15217   0.37016   0.91650   0.09301   -0.15217   0.37016   0.91650   97.20154
12   0.09300   -0.15226   0.37031   0.91647   0.09300   -0.15226   0.37031   0.91647   97.22290
13   0.09312   -0.15116   0.37004   0.91684   0.09312   -0.15116   0.37004   0.91684   97.04895
14   0.09314   -0.15030   0.36903   0.91729   0.09314   -0.15030   0.36903   0.91729   97.05811
15   0.09304   -0.15189   0.37074   0.91635   0.09304   -0.15189   0.37074   0.91635   97.18323
16   0.09296   -0.15183   0.36985   0.91681   0.09296   -0.15183   0.36985   0.91681   97.19238
17   0.09320   -0.15107   0.37037   0.91659   0.09320   -0.15107   0.37037   0.91659   97.00317
18   0.09321   -0.15152   0.36930   0.91699   0.09321   -0.15152   0.36930   0.91699   97.01233
19   0.09312   -0.15207   0.37080   0.91635   0.09312   -0.15207   0.37080   0.91635   97.12830
20   0.09313   -0.15168   0.36973   0.91678   0.09313   -0.15168   0.36973   0.91678   97.11914
21   0.09302   -0.15125   0.36937   0.91699   0.09302   -0.15125   0.36937   0.91699   97.16492
22   0.09284   -0.15174   0.36973   0.91687   0.09284   -0.15174   0.36973   0.91687   97.17712
23   0.09279   -0.15177   0.37077   0.91632   0.09279   -0.15177   0.37077   0.91632   97.23511
24   0.09290   -0.15217   0.37056   0.91641   0.09290   -0.15217   0.37056   0.91641   97.18933
25   0.09281   -0.15159   0.37001   0.91671   0.09281   -0.15159   0.37001   0.91671   97.23511
26   0.09286   -0.15229   0.37010   0.91653   0.09286   -0.15229   0.37010   0.91653   97.07947
27   0.09283   -0.15256   0.37004   0.91653   0.09283   -0.15256   0.37004   0.91653   97.19849
28   0.09281   -0.15223   0.37080   0.91623   0.09281   -0.15223   0.37080   0.91623   97.11914
29   0.09285   -0.15143   0.37065   0.91647   0.09285   -0.15143   0.37065   0.91647   97.18933
30   0.09287   -0.15213   0.37025   0.91647   0.09287   -0.15213   0.37025   0.91647   97.24731
31   0.09286   -0.15189   0.36937   0.91696   0.09286   -0.15189   0.36937   0.91696   97.24731
32   0.09303   -0.15198   0.37034   0.91650   0.09303   -0.15198   0.37034   0.91650   97.19238
33   0.09306   -0.15235   0.36991   0.91662   0.09306   -0.15235   0.36991   0.91662   97.16492
34   0.09322   -0.15177   0.36976   0.91684   0.09322   -0.15177   0.36976   0.91684   97.07031
35   0.09311   -0.15180   0.37031   0.91653   0.09311   -0.15180   0.37031   0.91653   97.10693
36   0.09298   -0.15195   0.37034   0.91650   0.09298   -0.15195   0.37034   0.91650   97.20154
37   0.09319   -0.15195   0.37007   0.91659   0.09319   -0.15195   0.37007   0.91659   97.14050
38   0.09320   -0.15244   0.37037   0.91644   0.09320   -0.15244   0.37037   0.91644   97.11914
39   0.09321   -0.15210   0.37016   0.91662   0.09321   -0.15210   0.37016   0.91662   97.01233
40   0.09312   -0.15305   0.37056   0.91632   0.09312   -0.15305   0.37056   0.91632   97.19543
41   0.09310   -0.15268   0.37107   0.91607   0.09310   -0.15268   0.37107   0.91607   97.18628
42   0.09306   -0.15241   0.37013   0.91653   0.09306   -0.15241   0.37013   0.91653   97.07642
43   0.09283   -0.15296   0.37077   0.91617   0.09283   -0.15296   0.37077   0.91617   97.25647
44   0.09281   -0.15326   0.37104   0.91607   0.09281   -0.15326   0.37104   0.91607   97.34497
45   0.09282   -0.15345   0.37074   0.91620   0.09282   -0.15345   0.37074   0.91620   97.09778
46   0.09282   -0.15311   0.36982   0.91650   0.09282   -0.15311   0.36982   0.91650   97.22595
47   0.09285   -0.15305   0.37098   0.91607   0.09285   -0.15305   0.37098   0.91607   97.22900
48   0.09282   -0.15232   0.37074   0.91635   0.09282   -0.15232   0.37074   0.91635   97.26563
49   0.09275   -0.15381   0.37107   0.91592   0.09275   -0.15381   0.37107   0.91592   97.16492
50   0.09272   -0.15299   0.37083   0.91604   0.09272   -0.15299   0.37083   0.91604   97.25342
51   0.09280   -0.15226   0.37080   0.91629   0.09280   -0.15226   0.37080   0.91629   97.29614
52   0.09289   -0.15329   0.37132   0.91595   0.09289   -0.15329   0.37132   0.91595   97.14966
53   0.09294   -0.15299   0.37037   0.91629   0.09294   -0.15299   0.37037   0.91629   97.26868
54   0.09294   -0.15314   0.37043   0.91632   0.09294   -0.15314   0.37043   0.91632   97.25037
55   0.09302   -0.15336   0.37062   0.91607   0.09302   -0.15336   0.37062   0.91607   97.20459
56   0.09313   -0.15305   0.37083   0.91617   0.09313   -0.15305   0.37083   0.91617   97.08862
57   0.09302   -0.15281   0.36998   0.91647   0.09302   -0.15281   0.36998   0.91647   97.19238
58   0.09319   -0.15369   0.37016   0.91632   0.09319   -0.15369   0.37016   0.91632   97.14966
59   0.09324   -0.15213   0.37092   0.91632   0.09324   -0.15213   0.37092   0.91632   97.05200
60   0.09321   -0.15332   0.37022   0.91635   0.09321   -0.15332   0.37022   0.91635   97.09167
61   0.09311   -0.15244   0.37025   0.91647   0.09311   -0.15244   0.37025   0.91647   97.18628
62   0.09316   -0.15238   0.37028   0.91644   0.09316   -0.15238   0.37028   0.91644   97.13745
63   0.09304   -0.15387   0.37019   0.91632   0.09304   -0.15387   0.37019   0.91632   97.14355
