Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 18:2:4 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09340   -0.02701   0.91714   -0.39787   0.09340   -0.02701   0.91714   -0.39787   100.38147
2   0.09346   -0.02722   0.91748   -0.39729   0.09346   -0.02722   0.91748   -0.39729   100.18311
3   0.09340   -0.02707   0.91726   -0.39763   0.09340   -0.02707   0.91726   -0.39763   100.29297
4   0.09324   -0.02698   0.91711   -0.39787   0.09324   -0.02698   0.91711   -0.39787   100.38147
5   0.09342   -0.02661   0.91742   -0.39738   0.09342   -0.02661   0.91742   -0.39738   100.26245
6   0.09349   -0.02676   0.91723   -0.39766   0.09349   -0.02676   0.91723   -0.39766   100.23499
7   0.09357   -0.02676   0.91733   -0.39750   0.09357   -0.02676   0.91733   -0.39750   100.34180
8   0.09362   -0.02710   0.91714   -0.39799   0.09362   -0.02710   0.91714   -0.39799   100.32959
9   0.09365   -0.02753   0.91714   -0.39772   0.09365   -0.02753   0.91714   -0.39772   100.26245
10   0.09370   -0.02750   0.91702   -0.39821   0.09370   -0.02750   0.91702   -0.39821   100.31128
11   0.09364   -0.02591   0.91714   -0.39796   0.09364   -0.02591   0.91714   -0.39796   100.32043
12   0.09372   -0.02606   0.91729   -0.39753   0.09372   -0.02606   0.91729   -0.39753   100.21362
13   0.09366   -0.02655   0.91693   -0.39827   0.09366   -0.02655   0.91693   -0.39827   100.31128
14   0.09360   -0.02707   0.91702   -0.39818   0.09360   -0.02707   0.91702   -0.39818   100.34180
15   0.09366   -0.02680   0.91690   -0.39830   0.09366   -0.02680   0.91690   -0.39830   100.31128
16   0.09372   -0.02625   0.91714   -0.39796   0.09372   -0.02625   0.91714   -0.39796   100.13428
17   0.09347   -0.02707   0.91678   -0.39857   0.09347   -0.02707   0.91678   -0.39857   100.35095
18   0.09331   -0.02750   0.91708   -0.39793   0.09331   -0.02750   0.91708   -0.39793   100.43945
19   0.09331   -0.02606   0.91754   -0.39708   0.09331   -0.02606   0.91754   -0.39708   100.34180
20   0.09342   -0.02618   0.91723   -0.39772   0.09342   -0.02618   0.91723   -0.39772   100.23499
21   0.09329   -0.02597   0.91711   -0.39805   0.09329   -0.02597   0.91711   -0.39805   100.37231
22   0.09324   -0.02625   0.91729   -0.39772   0.09324   -0.02625   0.91729   -0.39772   100.34180
23   0.09333   -0.02594   0.91729   -0.39772   0.09333   -0.02594   0.91729   -0.39772   100.25330
24   0.09337   -0.02637   0.91699   -0.39836   0.09337   -0.02637   0.91699   -0.39836   100.28381
25   0.09320   -0.02506   0.91708   -0.39830   0.09320   -0.02506   0.91708   -0.39830   100.39063
26   0.09336   -0.02609   0.91702   -0.39808   0.09336   -0.02609   0.91702   -0.39808   100.31128
27   0.09342   -0.02680   0.91687   -0.39854   0.09342   -0.02680   0.91687   -0.39854   100.27161
28   0.09343   -0.02588   0.91662   -0.39909   0.09343   -0.02588   0.91662   -0.39909   100.34180
29   0.09352   -0.02609   0.91690   -0.39839   0.09352   -0.02609   0.91690   -0.39839   100.34180
30   0.09361   -0.02634   0.91711   -0.39787   0.09361   -0.02634   0.91711   -0.39787   100.26245
31   0.09350   -0.02536   0.91702   -0.39833   0.09350   -0.02536   0.91702   -0.39833   100.33264
32   0.09354   -0.02661   0.91723   -0.39787   0.09354   -0.02661   0.91723   -0.39787   100.36926
33   0.09376   -0.02637   0.91717   -0.39784   0.09376   -0.02637   0.91717   -0.39784   100.28076
34   0.09383   -0.02539   0.91723   -0.39769   0.09383   -0.02539   0.91723   -0.39769   100.30212
35   0.09360   -0.02603   0.91665   -0.39897   0.09360   -0.02603   0.91665   -0.39897   100.36011
36   0.09374   -0.02585   0.91711   -0.39808   0.09374   -0.02585   0.91711   -0.39808   100.30212
37   0.09365   -0.02609   0.91717   -0.39781   0.09365   -0.02609   0.91717   -0.39781   100.27161
38   0.09349   -0.02704   0.91665   -0.39882   0.09349   -0.02704   0.91665   -0.39882   100.33264
39   0.09341   -0.02615   0.91696   -0.39848   0.09341   -0.02615   0.91696   -0.39848   100.38147
40   0.09342   -0.02704   0.91723   -0.39763   0.09342   -0.02704   0.91723   -0.39763   100.32043
41   0.09343   -0.02673   0.91638   -0.39955   0.09343   -0.02673   0.91638   -0.39955   100.28381
42   0.09330   -0.02591   0.91659   -0.39918   0.09330   -0.02591   0.91659   -0.39918   100.37231
43   0.09335   -0.02603   0.91687   -0.39860   0.09335   -0.02603   0.91687   -0.39860   100.35095
44   0.09334   -0.02698   0.91684   -0.39848   0.09334   -0.02698   0.91684   -0.39848   100.29297
45   0.09334   -0.02643   0.91641   -0.39958   0.09334   -0.02643   0.91641   -0.39958   100.27161
46   0.09332   -0.02615   0.91668   -0.39879   0.09332   -0.02615   0.91668   -0.39879   100.41199
47   0.09333   -0.02603   0.91696   -0.39857   0.09333   -0.02603   0.91696   -0.39857   100.28381
48   0.09340   -0.02661   0.91641   -0.39964   0.09340   -0.02661   0.91641   -0.39964   100.28381
49   0.09349   -0.02545   0.91662   -0.39924   0.09349   -0.02545   0.91662   -0.39924   100.35095
50   0.09362   -0.02579   0.91675   -0.39900   0.09362   -0.02579   0.91675   -0.39900   100.32959
51   0.09363   -0.02530   0.91678   -0.39875   0.09363   -0.02530   0.91678   -0.39875   100.31128
52   0.09354   -0.02658   0.91662   -0.39912   0.09354   -0.02658   0.91662   -0.39912   100.30212
53   0.09354   -0.02603   0.91641   -0.39949   0.09354   -0.02603   0.91641   -0.39949   100.33264
54   0.09364   -0.02628   0.91675   -0.39888   0.09364   -0.02628   0.91675   -0.39888   100.21362
55   0.09363   -0.02588   0.91671   -0.39918   0.09363   -0.02588   0.91671   -0.39918   100.27161
56   0.09362   -0.02557   0.91656   -0.39933   0.09362   -0.02557   0.91656   -0.39933   100.36011
57   0.09366   -0.02588   0.91678   -0.39872   0.09366   -0.02588   0.91678   -0.39872   100.28076
58   0.09373   -0.02664   0.91638   -0.39982   0.09373   -0.02664   0.91638   -0.39982   100.22278
59   0.09362   -0.02628   0.91638   -0.39961   0.09362   -0.02628   0.91638   -0.39961   100.25330
60   0.09342   -0.02615   0.91659   -0.39937   0.09342   -0.02615   0.91659   -0.39937   100.33264
61   0.09343   -0.02634   0.91681   -0.39879   0.09343   -0.02634   0.91681   -0.39879   100.28381
62   0.09354   -0.02612   0.91586   -0.40083   0.09354   -0.02612   0.91586   -0.40083   100.20447
63   0.09330   -0.02579   0.91653   -0.39952   0.09330   -0.02579   0.91653   -0.39952   100.42114
64   0.09329   -0.02554   0.91641   -0.39955   0.09329   -0.02554   0.91641   -0.39955   100.33264
65   0.09329   -0.02609   0.91665   -0.39912   0.09329   -0.02609   0.91665   -0.39912   100.28381
66   0.09327   -0.02603   0.91617   -0.40016   0.09327   -0.02603   0.91617   -0.40016   100.31128
67   0.09327   -0.02609   0.91647   -0.39943   0.09327   -0.02609   0.91647   -0.39943   100.39063
68   0.09340   -0.02561   0.91635   -0.39967   0.09340   -0.02561   0.91635   -0.39967   100.26245
69   0.09333   -0.02554   0.91650   -0.39955   0.09333   -0.02554   0.91650   -0.39955   100.31128
70   0.09335   -0.02628   0.91620   -0.40031   0.09335   -0.02628   0.91620   -0.40031   100.28381
71   0.09347   -0.02496   0.91659   -0.39918   0.09347   -0.02496   0.91659   -0.39918   100.25330
72   0.09348   -0.02521   0.91647   -0.39952   0.09348   -0.02521   0.91647   -0.39952   100.29297
73   0.09353   -0.02518   0.91659   -0.39940   0.09353   -0.02518   0.91659   -0.39940   100.33264
74   0.09353   -0.02506   0.91614   -0.40025   0.09353   -0.02506   0.91614   -0.40025   100.23193
75   0.09361   -0.02609   0.91647   -0.39943   0.09361   -0.02609   0.91647   -0.39943   100.26245
76   0.09358   -0.02493   0.91632   -0.40004   0.09358   -0.02493   0.91632   -0.40004   100.31128
77   0.09349   -0.02487   0.91629   -0.39985   0.09349   -0.02487   0.91629   -0.39985   100.34180
78   0.09367   -0.02615   0.91623   -0.40001   0.09367   -0.02615   0.91623   -0.40001   100.20447
79   0.09371   -0.02475   0.91650   -0.39940   0.09371   -0.02475   0.91650   -0.39940   100.31128
80   0.09354   -0.02585   0.91650   -0.39952   0.09354   -0.02585   0.91650   -0.39952   100.36926
81   0.09349   -0.02518   0.91632   -0.39991   0.09349   -0.02518   0.91632   -0.39991   100.31128
82   0.09356   -0.02673   0.91604   -0.40046   0.09356   -0.02673   0.91604   -0.40046   100.24414
83   0.09354   -0.02423   0.91623   -0.40034   0.09354   -0.02423   0.91623   -0.40034   100.22278
84   0.09342   -0.02512   0.91629   -0.39988   0.09342   -0.02512   0.91629   -0.39988   100.35095
85   0.09343   -0.02603   0.91607   -0.40031   0.09343   -0.02603   0.91607   -0.40031   100.27161
86   0.09338   -0.02585   0.91635   -0.39964   0.09338   -0.02585   0.91635   -0.39964   100.29297
87   0.09329   -0.02487   0.91623   -0.40016   0.09329   -0.02487   0.91623   -0.40016   100.36011
88   0.09346   -0.02570   0.91665   -0.39906   0.09346   -0.02570   0.91665   -0.39906   100.36011
89   0.09348   -0.02509   0.91656   -0.39946   0.09348   -0.02509   0.91656   -0.39946   100.27161
90   0.09342   -0.02561   0.91620   -0.40019   0.09342   -0.02561   0.91620   -0.40019   100.25330
91   0.09339   -0.02585   0.91626   -0.40013   0.09339   -0.02585   0.91626   -0.40013   100.36011
92   0.09356   -0.02603   0.91626   -0.39995   0.09356   -0.02603   0.91626   -0.39995   100.20447
93   0.09360   -0.02539   0.91614   -0.40043   0.09360   -0.02539   0.91614   -0.40043   100.32959
94   0.09357   -0.02594   0.91620   -0.40004   0.09357   -0.02594   0.91620   -0.40004   100.43945
95   0.09368   -0.02582   0.91656   -0.39930   0.09368   -0.02582   0.91656   -0.39930   100.30212
96   0.09381   -0.02490   0.91665   -0.39924   0.09381   -0.02490   0.91665   -0.39924   100.25330
97   0.09377   -0.02527   0.91629   -0.40010   0.09377   -0.02527   0.91629   -0.40010   100.32043
98   0.09366   -0.02469   0.91629   -0.40004   0.09366   -0.02469   0.91629   -0.40004   100.36011
99   0.09370   -0.02554   0.91626   -0.40013   0.09370   -0.02554   0.91626   -0.40013   100.27161
100   0.09373   -0.02579   0.91629   -0.40007   0.09373   -0.02579   0.91629   -0.40007   100.15564
101   0.09361   -0.02509   0.91589   -0.40095   0.09361   -0.02509   0.91589   -0.40095   100.31128
102   0.09354   -0.02564   0.91607   -0.40025   0.09354   -0.02564   0.91607   -0.40025   100.28381
103   0.09341   -0.02496   0.91635   -0.39982   0.09341   -0.02496   0.91635   -0.39982   100.30212
104   0.09337   -0.02527   0.91626   -0.40007   0.09337   -0.02527   0.91626   -0.40007   100.30212
105   0.09323   -0.02628   0.91610   -0.40043   0.09323   -0.02628   0.91610   -0.40043   100.38147
106   0.09328   -0.02493   0.91604   -0.40059   0.09328   -0.02493   0.91604   -0.40059   100.32349
107   0.09325   -0.02490   0.91644   -0.39955   0.09325   -0.02490   0.91644   -0.39955   100.32349
108   0.09326   -0.02533   0.91629   -0.40007   0.09326   -0.02533   0.91629   -0.40007   100.37231
109   0.09328   -0.02496   0.91656   -0.39940   0.09328   -0.02496   0.91656   -0.39940   100.37231
110   0.09322   -0.02481   0.91604   -0.40049   0.09322   -0.02481   0.91604   -0.40049   100.30212
111   0.09325   -0.02524   0.91638   -0.39982   0.09325   -0.02524   0.91638   -0.39982   100.41199
112   0.09331   -0.02487   0.91589   -0.40086   0.09331   -0.02487   0.91589   -0.40086   100.37231
113   0.09340   -0.02515   0.91623   -0.40022   0.09340   -0.02515   0.91623   -0.40022   100.17395
114   0.09361   -0.02554   0.91632   -0.39985   0.09361   -0.02554   0.91632   -0.39985   100.27161
