Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:11:28 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09283   -0.16959   0.18525   0.96805   0.09283   -0.16959   0.18525   0.96805   96.84143
2   0.09285   -0.16938   0.18479   0.96826   0.09285   -0.16938   0.18479   0.96826   96.65527
3   0.09281   -0.16984   0.18574   0.96789   0.09281   -0.16984   0.18574   0.96789   96.74377
4   0.09282   -0.16974   0.18455   0.96823   0.09282   -0.16974   0.18455   0.96823   96.84143
5   0.09311   -0.17136   0.18577   0.96771   0.09311   -0.17136   0.18577   0.96771   96.82312
6   0.09312   -0.16974   0.18589   0.96789   0.09312   -0.16974   0.18589   0.96789   96.72546
7   0.09297   -0.17005   0.18796   0.96750   0.09297   -0.17005   0.18796   0.96750   96.73767
8   0.09306   -0.16816   0.18720   0.96789   0.09306   -0.16816   0.18720   0.96789   96.81091
9   0.09318   -0.16929   0.18796   0.96765   0.09318   -0.16929   0.18796   0.96765   96.69800
10   0.09313   -0.16868   0.18787   0.96780   0.09313   -0.16868   0.18787   0.96780   96.79260
11   0.09305   -0.16742   0.18796   0.96793   0.09305   -0.16742   0.18796   0.96793   96.76208
12   0.09324   -0.16642   0.18690   0.96826   0.09324   -0.16642   0.18690   0.96826   96.77734
13   0.09311   -0.16785   0.18741   0.96799   0.09311   -0.16785   0.18741   0.96799   96.76208
14   0.09306   -0.16672   0.18726   0.96814   0.09306   -0.16672   0.18726   0.96814   96.76208
15   0.09297   -0.16791   0.18574   0.96817   0.09297   -0.16791   0.18574   0.96817   96.76819
16   0.09285   -0.16681   0.18790   0.96808   0.09285   -0.16681   0.18790   0.96808   96.81396
17   0.09289   -0.16730   0.18696   0.96811   0.09289   -0.16730   0.18696   0.96811   96.79565
18   0.09288   -0.16849   0.18760   0.96774   0.09288   -0.16849   0.18760   0.96774   96.80481
19   0.09285   -0.16770   0.18806   0.96786   0.09285   -0.16770   0.18806   0.96786   96.78345
20   0.09276   -0.16916   0.18748   0.96771   0.09276   -0.16916   0.18748   0.96771   96.77124
21   0.09273   -0.16782   0.18705   0.96805   0.09273   -0.16782   0.18705   0.96805   96.83838
22   0.09279   -0.16782   0.18656   0.96817   0.09279   -0.16782   0.18656   0.96817   96.79260
23   0.09284   -0.16834   0.18613   0.96805   0.09284   -0.16834   0.18613   0.96805   96.76514
24   0.09282   -0.16938   0.18534   0.96802   0.09282   -0.16938   0.18534   0.96802   96.73462
25   0.09281   -0.16788   0.18647   0.96817   0.09281   -0.16788   0.18647   0.96817   96.78345
26   0.09300   -0.16746   0.18665   0.96823   0.09300   -0.16746   0.18665   0.96823   96.74988
27   0.09311   -0.16712   0.18683   0.96817   0.09311   -0.16712   0.18683   0.96817   96.74377
