Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09275   -0.16337   0.09622   0.98193   0.09275   -0.16337   0.09622   0.98193   96.66138
2   0.09264   -0.16318   0.09549   0.98212   0.09264   -0.16318   0.09549   0.98212   96.71631
3   0.09277   -0.16391   0.09510   0.98199   0.09277   -0.16391   0.09510   0.98199   96.72241
4   0.09275   -0.16315   0.09662   0.98202   0.09275   -0.16315   0.09662   0.98202   96.71021
5   0.09272   -0.16230   0.09500   0.98227   0.09272   -0.16230   0.09500   0.98227   96.70105
6   0.09275   -0.16355   0.09565   0.98202   0.09275   -0.16355   0.09565   0.98202   96.68274
7   0.09310   -0.16337   0.09543   0.98206   0.09310   -0.16337   0.09543   0.98206   96.54541
8   0.09303   -0.16379   0.09592   0.98196   0.09303   -0.16379   0.09592   0.98196   96.53320
9   0.09299   -0.16178   0.09583   0.98233   0.09299   -0.16178   0.09583   0.98233   96.54236
10   0.09304   -0.16391   0.09549   0.98196   0.09304   -0.16391   0.09549   0.98196   96.65222
11   0.09301   -0.16300   0.09619   0.98206   0.09301   -0.16300   0.09619   0.98206   96.68274
12   0.09292   -0.16468   0.09613   0.98169   0.09292   -0.16468   0.09613   0.98169   96.70715
13   0.09297   -0.16349   0.09470   0.98218   0.09297   -0.16349   0.09470   0.98218   96.69800
14   0.09321   -0.16321   0.09516   0.98209   0.09321   -0.16321   0.09516   0.98209   96.61865
15   0.09313   -0.16306   0.09537   0.98212   0.09313   -0.16306   0.09537   0.98212   96.62781
16   0.09294   -0.16294   0.09510   0.98212   0.09294   -0.16294   0.09510   0.98212   96.71936
17   0.09280   -0.16193   0.09537   0.98233   0.09280   -0.16193   0.09537   0.98233   96.76208
18   0.09284   -0.16337   0.09513   0.98212   0.09284   -0.16337   0.09513   0.98212   96.60645
19   0.09285   -0.16282   0.09622   0.98206   0.09285   -0.16282   0.09622   0.98206   96.64612
20   0.09281   -0.16254   0.09680   0.98206   0.09281   -0.16254   0.09680   0.98206   96.70410
21   0.09280   -0.16349   0.09665   0.98190   0.09280   -0.16349   0.09665   0.98190   96.71326
22   0.09273   -0.16190   0.09610   0.98230   0.09273   -0.16190   0.09610   0.98230   96.66138
23   0.09272   -0.16156   0.09668   0.98221   0.09272   -0.16156   0.09668   0.98221   96.64001
24   0.09265   -0.16251   0.09806   0.98193   0.09265   -0.16251   0.09806   0.98193   96.60034
25   0.09271   -0.16425   0.09726   0.98172   0.09271   -0.16425   0.09726   0.98172   96.75903
26   0.09275   -0.16413   0.09613   0.98190   0.09275   -0.16413   0.09613   0.98190   96.66138
27   0.09274   -0.16282   0.09626   0.98206   0.09274   -0.16282   0.09626   0.98206   96.70105
28   0.09298   -0.16315   0.09632   0.98202   0.09298   -0.16315   0.09632   0.98202   96.71021
29   0.09305   -0.16343   0.09607   0.98199   0.09305   -0.16343   0.09607   0.98199   96.64307
30   0.09298   -0.16318   0.09610   0.98202   0.09298   -0.16318   0.09610   0.98202   96.67053
31   0.09300   -0.16233   0.09671   0.98206   0.09300   -0.16233   0.09671   0.98206   96.70105
32   0.09305   -0.16260   0.09680   0.98202   0.09305   -0.16260   0.09680   0.98202   96.71326
33   0.09305   -0.16276   0.09610   0.98206   0.09305   -0.16276   0.09610   0.98206   96.69189
34   0.09298   -0.16288   0.09680   0.98190   0.09298   -0.16288   0.09680   0.98190   96.75903
35   0.09313   -0.16327   0.09592   0.98202   0.09313   -0.16327   0.09592   0.98202   96.62781
36   0.09307   -0.16309   0.09629   0.98199   0.09307   -0.16309   0.09629   0.98199   96.58508
37   0.09301   -0.16294   0.09696   0.98190   0.09301   -0.16294   0.09696   0.98190   96.68274
38   0.09296   -0.16257   0.09693   0.98206   0.09296   -0.16257   0.09693   0.98206   96.69800
39   0.09288   -0.16334   0.09732   0.98193   0.09288   -0.16334   0.09732   0.98193   96.71631
40   0.09280   -0.16327   0.09592   0.98196   0.09280   -0.16327   0.09592   0.98196   96.58508
41   0.09271   -0.16202   0.09644   0.98224   0.09271   -0.16202   0.09644   0.98224   96.71021
42   0.09283   -0.16309   0.09665   0.98206   0.09283   -0.16309   0.09665   0.98206   96.71326
43   0.09279   -0.16395   0.09537   0.98196   0.09279   -0.16395   0.09537   0.98196   96.63391
44   0.09282   -0.16358   0.09610   0.98196   0.09282   -0.16358   0.09610   0.98196   96.69495
45   0.09283   -0.16257   0.09552   0.98224   0.09283   -0.16257   0.09552   0.98224   96.68579
46   0.09275   -0.16254   0.09577   0.98224   0.09275   -0.16254   0.09577   0.98224   96.69189
47   0.09274   -0.16202   0.09729   0.98206   0.09274   -0.16202   0.09729   0.98206   96.59119
48   0.09273   -0.16309   0.09543   0.98206   0.09273   -0.16309   0.09543   0.98206   96.67969
49   0.09289   -0.16199   0.09662   0.98218   0.09289   -0.16199   0.09662   0.98218   96.66748
50   0.09300   -0.16153   0.09516   0.98239   0.09300   -0.16153   0.09516   0.98239   96.63086
51   0.09297   -0.16135   0.09583   0.98236   0.09297   -0.16135   0.09583   0.98236   96.67053
52   0.09300   -0.16382   0.09461   0.98206   0.09300   -0.16382   0.09461   0.98206   96.71021
53   0.09312   -0.16214   0.09561   0.98221   0.09312   -0.16214   0.09561   0.98221   96.65527
54   0.09300   -0.16218   0.09540   0.98227   0.09300   -0.16218   0.09540   0.98227   96.69189
55   0.09294   -0.16065   0.09537   0.98248   0.09294   -0.16065   0.09537   0.98248   96.77734
56   0.09313   -0.16135   0.09531   0.98239   0.09313   -0.16135   0.09531   0.98239   96.63696
57   0.09308   -0.16260   0.09528   0.98218   0.09308   -0.16260   0.09528   0.98218   96.67358
58   0.09293   -0.16227   0.09549   0.98227   0.09293   -0.16227   0.09549   0.98227   96.74683
59   0.09292   -0.16160   0.09497   0.98245   0.09292   -0.16160   0.09497   0.98245   96.65833
60   0.09281   -0.16056   0.09549   0.98248   0.09281   -0.16056   0.09549   0.98248   96.68274
61   0.09283   -0.16144   0.09485   0.98242   0.09283   -0.16144   0.09485   0.98242   96.72546
62   0.09272   -0.16166   0.09400   0.98248   0.09272   -0.16166   0.09400   0.98248   96.74988
63   0.09273   -0.16196   0.09452   0.98239   0.09273   -0.16196   0.09452   0.98239   96.59119
64   0.09275   -0.16089   0.09268   0.98267   0.09275   -0.16089   0.09268   0.98267   96.64307
65   0.09280   -0.15998   0.09467   0.98267   0.09280   -0.15998   0.09467   0.98267   96.63391
66   0.09270   -0.16099   0.09360   0.98254   0.09270   -0.16099   0.09360   0.98254   96.67053
67   0.09275   -0.16001   0.09293   0.98279   0.09275   -0.16001   0.09293   0.98279   96.63086
68   0.09263   -0.16028   0.09256   0.98282   0.09263   -0.16028   0.09256   0.98282   96.72546
69   0.09275   -0.16065   0.09238   0.98282   0.09275   -0.16065   0.09238   0.98282   96.66138
70   0.09295   -0.16065   0.09186   0.98282   0.09295   -0.16065   0.09186   0.98282   96.59119
71   0.09301   -0.16034   0.09265   0.98282   0.09301   -0.16034   0.09265   0.98282   96.65222
72   0.09289   -0.16047   0.09220   0.98285   0.09289   -0.16047   0.09220   0.98285   96.68579
73   0.09301   -0.16028   0.09342   0.98279   0.09301   -0.16028   0.09342   0.98279   96.71021
74   0.09306   -0.16135   0.09272   0.98267   0.09306   -0.16135   0.09272   0.98267   96.65222
75   0.09301   -0.16010   0.09293   0.98282   0.09301   -0.16010   0.09293   0.98282   96.65222
76   0.09300   -0.15955   0.09256   0.98297   0.09300   -0.15955   0.09256   0.98297   96.75903
