Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:55:18 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09359   -0.16044   -0.05408   0.98572   0.09359   -0.16044   -0.05408   0.98572   95.44983
2   0.09357   -0.15964   -0.05396   0.98584   0.09357   -0.15964   -0.05396   0.98584   95.42847
3   0.09356   -0.16041   -0.05350   0.98578   0.09356   -0.16041   -0.05350   0.98578   95.51697
4   0.09362   -0.16077   -0.05484   0.98553   0.09362   -0.16077   -0.05484   0.98553   95.46204
5   0.09360   -0.16111   -0.05365   0.98563   0.09360   -0.16111   -0.05365   0.98563   95.45898
6   0.09354   -0.16086   -0.05402   0.98556   0.09354   -0.16086   -0.05402   0.98556   95.45593
7   0.09355   -0.16102   -0.05325   0.98563   0.09355   -0.16102   -0.05325   0.98563   95.51697
8   0.09360   -0.16120   -0.05365   0.98560   0.09360   -0.16120   -0.05365   0.98560   95.49866
9   0.09361   -0.16129   -0.05319   0.98556   0.09361   -0.16129   -0.05319   0.98556   95.50781
10   0.09349   -0.16105   -0.05295   0.98560   0.09349   -0.16105   -0.05295   0.98560   95.51392
11   0.09343   -0.16068   -0.05338   0.98569   0.09343   -0.16068   -0.05338   0.98569   95.44983
12   0.09333   -0.16065   -0.05423   0.98563   0.09333   -0.16065   -0.05423   0.98563   95.45593
13   0.09331   -0.16059   -0.05292   0.98572   0.09331   -0.16059   -0.05292   0.98572   95.53223
14   0.09328   -0.16019   -0.05243   0.98578   0.09328   -0.16019   -0.05243   0.98578   95.55359
15   0.09329   -0.16041   -0.05292   0.98575   0.09329   -0.16041   -0.05292   0.98575   95.47424
16   0.09328   -0.16074   -0.05219   0.98575   0.09328   -0.16074   -0.05219   0.98575   95.49255
17   0.09321   -0.16019   -0.05188   0.98590   0.09321   -0.16019   -0.05188   0.98590   95.48950
18   0.09315   -0.16068   -0.05240   0.98575   0.09315   -0.16068   -0.05240   0.98575   95.48645
19   0.09329   -0.16028   -0.05222   0.98581   0.09329   -0.16028   -0.05222   0.98581   95.47424
20   0.09332   -0.15955   -0.05292   0.98590   0.09332   -0.15955   -0.05292   0.98590   95.51392
21   0.09331   -0.16013   -0.05365   0.98578   0.09331   -0.16013   -0.05365   0.98578   95.53223
22   0.09352   -0.16041   -0.05206   0.98578   0.09352   -0.16041   -0.05206   0.98578   95.54443
23   0.09358   -0.15973   -0.05283   0.98584   0.09358   -0.15973   -0.05283   0.98584   95.49866
24   0.09356   -0.15964   -0.05188   0.98593   0.09356   -0.15964   -0.05188   0.98593   95.48645
25   0.09366   -0.15970   -0.05228   0.98587   0.09366   -0.15970   -0.05228   0.98587   95.41321
26   0.09361   -0.15979   -0.05316   0.98587   0.09361   -0.15979   -0.05316   0.98587   95.44983
27   0.09365   -0.16019   -0.05359   0.98569   0.09365   -0.16019   -0.05359   0.98569   95.48035
28   0.09365   -0.16053   -0.05383   0.98575   0.09365   -0.16053   -0.05383   0.98575   95.44373
29   0.09369   -0.16007   -0.05252   0.98587   0.09369   -0.16007   -0.05252   0.98587   95.50171
30   0.09362   -0.16108   -0.05417   0.98556   0.09362   -0.16108   -0.05417   0.98556   95.42236
31   0.09353   -0.15964   -0.05292   0.98593   0.09353   -0.15964   -0.05292   0.98593   95.43762
32   0.09350   -0.15976   -0.05148   0.98593   0.09350   -0.15976   -0.05148   0.98593   95.41626
33   0.09333   -0.16077   -0.05252   0.98563   0.09333   -0.16077   -0.05252   0.98563   95.41626
34   0.09331   -0.16059   -0.05274   0.98563   0.09331   -0.16059   -0.05274   0.98563   95.48340
35   0.09328   -0.16059   -0.05423   0.98572   0.09328   -0.16059   -0.05423   0.98572   95.46509
36   0.09332   -0.16105   -0.05219   0.98563   0.09332   -0.16105   -0.05219   0.98563   95.44678
37   0.09336   -0.16007   -0.05274   0.98575   0.09336   -0.16007   -0.05274   0.98575   95.47729
38   0.09321   -0.16022   -0.05194   0.98584   0.09321   -0.16022   -0.05194   0.98584   95.52002
39   0.09319   -0.16016   -0.05145   0.98590   0.09319   -0.16016   -0.05145   0.98590   95.59631
40   0.09330   -0.16065   -0.05206   0.98578   0.09330   -0.16065   -0.05206   0.98578   95.44373
41   0.09321   -0.16013   -0.05310   0.98581   0.09321   -0.16013   -0.05310   0.98581   95.49866
42   0.09319   -0.16044   -0.05417   0.98566   0.09319   -0.16044   -0.05417   0.98566   95.51697
43   0.09342   -0.15934   -0.05267   0.98590   0.09342   -0.15934   -0.05267   0.98590   95.55969
44   0.09358   -0.15943   -0.05457   0.98578   0.09358   -0.15943   -0.05457   0.98578   95.42847
45   0.09352   -0.15973   -0.05332   0.98581   0.09352   -0.15973   -0.05332   0.98581   95.44678
46   0.09355   -0.15925   -0.05393   0.98584   0.09355   -0.15925   -0.05393   0.98584   95.50781
47   0.09363   -0.15897   -0.05408   0.98590   0.09363   -0.15897   -0.05408   0.98590   95.49866
48   0.09368   -0.15876   -0.05438   0.98596   0.09368   -0.15876   -0.05438   0.98596   95.43457
49   0.09357   -0.15809   -0.05463   0.98599   0.09357   -0.15809   -0.05463   0.98599   95.48645
50   0.09355   -0.15864   -0.05487   0.98596   0.09355   -0.15864   -0.05487   0.98596   95.52612
51   0.09360   -0.15906   -0.05411   0.98587   0.09360   -0.15906   -0.05411   0.98587   95.44067
52   0.09353   -0.15824   -0.05460   0.98596   0.09353   -0.15824   -0.05460   0.98596   95.46509
53   0.09351   -0.15772   -0.05356   0.98614   0.09351   -0.15772   -0.05356   0.98614   95.52307
54   0.09343   -0.15888   -0.05432   0.98590   0.09343   -0.15888   -0.05432   0.98590   95.48035
55   0.09337   -0.15818   -0.05393   0.98611   0.09337   -0.15818   -0.05393   0.98611   95.44983
