Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09297   0.89483   0.24253   0.37504   0.09297   0.89483   0.24253   0.37504   99.39880
2   0.09289   0.89520   0.24162   0.37492   0.09289   0.89520   0.24162   0.37492   99.44763
3   0.09286   0.89468   0.24204   0.37577   0.09286   0.89468   0.24204   0.37577   99.40796
4   0.09294   0.89480   0.24326   0.37483   0.09294   0.89480   0.24326   0.37483   99.37744
5   0.09290   0.89413   0.24494   0.37535   0.09290   0.89413   0.24494   0.37535   99.42627
6   0.09289   0.89459   0.24354   0.37513   0.09289   0.89459   0.24354   0.37513   99.48730
7   0.09302   0.89444   0.24448   0.37468   0.09302   0.89444   0.24448   0.37468   99.35913
8   0.09285   0.89434   0.24424   0.37510   0.09285   0.89434   0.24424   0.37510   99.37744
9   0.09275   0.89450   0.24430   0.37495   0.09275   0.89450   0.24430   0.37495   99.45679
10   0.09263   0.89416   0.24406   0.37571   0.09263   0.89416   0.24406   0.37571   99.44458
11   0.09264   0.89447   0.24326   0.37553   0.09264   0.89447   0.24326   0.37553   99.38660
12   0.09269   0.89401   0.24372   0.37614   0.09269   0.89401   0.24372   0.37614   99.40491
13   0.09251   0.89459   0.24381   0.37471   0.09251   0.89459   0.24381   0.37471   99.47510
14   0.09268   0.89477   0.24305   0.37495   0.09268   0.89477   0.24305   0.37495   99.38660
15   0.09259   0.89483   0.24311   0.37474   0.09259   0.89483   0.24311   0.37474   99.35608
16   0.09251   0.89492   0.24329   0.37437   0.09251   0.89492   0.24329   0.37437   99.43542
17   0.09254   0.89520   0.24216   0.37437   0.09254   0.89520   0.24216   0.37437   99.47510
18   0.09263   0.89471   0.24271   0.37513   0.09263   0.89471   0.24271   0.37513   99.37439
19   0.09264   0.89489   0.24284   0.37495   0.09264   0.89489   0.24284   0.37495   99.37439
20   0.09263   0.89526   0.24293   0.37376   0.09263   0.89526   0.24293   0.37376   99.49341
21   0.09288   0.89489   0.24268   0.37480   0.09288   0.89489   0.24268   0.37480   99.40796
22   0.09288   0.89480   0.24320   0.37458   0.09288   0.89480   0.24320   0.37458   99.40796
23   0.09288   0.89544   0.24238   0.37373   0.09288   0.89544   0.24238   0.37373   99.38660
24   0.09291   0.89538   0.24250   0.37379   0.09291   0.89538   0.24250   0.37379   99.44763
25   0.09298   0.89492   0.24320   0.37452   0.09298   0.89492   0.24320   0.37452   99.39880
26   0.09296   0.89496   0.24268   0.37468   0.09296   0.89496   0.24268   0.37468   99.39880
27   0.09292   0.89554   0.24226   0.37370   0.09292   0.89554   0.24226   0.37370   99.43542
28   0.09289   0.89541   0.24204   0.37407   0.09289   0.89541   0.24204   0.37407   99.43542
29   0.09292   0.89566   0.24165   0.37352   0.09292   0.89566   0.24165   0.37352   99.39880
30   0.09291   0.89532   0.24296   0.37367   0.09291   0.89532   0.24296   0.37367   99.41711
31   0.09276   0.89541   0.24168   0.37419   0.09276   0.89541   0.24168   0.37419   99.44458
32   0.09269   0.89505   0.24323   0.37407   0.09269   0.89505   0.24323   0.37407   99.44458
33   0.09265   0.89569   0.24189   0.37352   0.09265   0.89569   0.24189   0.37352   99.39575
34   0.09263   0.89578   0.24195   0.37330   0.09263   0.89578   0.24195   0.37330   99.42627
35   0.09252   0.89517   0.24290   0.37394   0.09252   0.89517   0.24290   0.37394   99.44458
36   0.09257   0.89557   0.24232   0.37355   0.09257   0.89557   0.24232   0.37355   99.40491
37   0.09259   0.89529   0.24335   0.37370   0.09259   0.89529   0.24335   0.37370   99.45374
38   0.09248   0.89541   0.24287   0.37373   0.09248   0.89541   0.24287   0.37373   99.49341
39   0.09265   0.89563   0.24207   0.37367   0.09265   0.89563   0.24207   0.37367   99.40491
40   0.09258   0.89538   0.24323   0.37312   0.09258   0.89538   0.24323   0.37312   99.42627
41   0.09257   0.89557   0.24171   0.37385   0.09257   0.89557   0.24171   0.37385   99.47510
42   0.09283   0.89572   0.24198   0.37327   0.09283   0.89572   0.24198   0.37327   99.44763
43   0.09293   0.89541   0.24131   0.37425   0.09293   0.89541   0.24131   0.37425   99.37744
44   0.09288   0.89554   0.24259   0.37352   0.09288   0.89554   0.24259   0.37352   99.41711
45   0.09287   0.89599   0.24256   0.37251   0.09287   0.89599   0.24256   0.37251   99.44763
46   0.09292   0.89550   0.24140   0.37428   0.09292   0.89550   0.24140   0.37428   99.41711
47   0.09302   0.89593   0.24158   0.37333   0.09302   0.89593   0.24158   0.37333   99.30115
48   0.09294   0.89554   0.24168   0.37388   0.09294   0.89554   0.24168   0.37388   99.41711
49   0.09287   0.89605   0.24110   0.37324   0.09287   0.89605   0.24110   0.37324   99.43542
50   0.09297   0.89572   0.24174   0.37349   0.09297   0.89572   0.24174   0.37349   99.41711
51   0.09292   0.89581   0.24137   0.37342   0.09292   0.89581   0.24137   0.37342   99.42627
52   0.09282   0.89599   0.24104   0.37339   0.09282   0.89599   0.24104   0.37339   99.43542
53   0.09274   0.89572   0.24192   0.37339   0.09274   0.89572   0.24192   0.37339   99.45679
54   0.09267   0.89572   0.24061   0.37425   0.09267   0.89572   0.24061   0.37425   99.39575
55   0.09266   0.89621   0.23988   0.37352   0.09266   0.89621   0.23988   0.37352   99.39575
56   0.09272   0.89612   0.24110   0.37300   0.09272   0.89612   0.24110   0.37300   99.42627
57   0.09263   0.89612   0.24073   0.37324   0.09263   0.89612   0.24073   0.37324   99.39575
58   0.09261   0.89590   0.24143   0.37312   0.09261   0.89590   0.24143   0.37312   99.38660
59   0.09252   0.89636   0.24009   0.37309   0.09252   0.89636   0.24009   0.37309   99.45374
60   0.09257   0.89636   0.24201   0.37178   0.09257   0.89636   0.24201   0.37178   99.40491
61   0.09257   0.89572   0.24235   0.37306   0.09257   0.89572   0.24235   0.37306   99.42627
62   0.09264   0.89639   0.24125   0.37211   0.09264   0.89639   0.24125   0.37211   99.43542
63   0.09269   0.89575   0.24198   0.37333   0.09269   0.89575   0.24198   0.37333   99.47510
64   0.09289   0.89590   0.24113   0.37349   0.09289   0.89590   0.24113   0.37349   99.37744
65   0.09283   0.89492   0.24400   0.37388   0.09283   0.89492   0.24400   0.37388   99.40796
