Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 17:45:5 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09267   0.08676   -0.36186   -0.92822   0.09267   0.08676   -0.36186   -0.92822   100.42419
2   0.09260   0.08661   -0.36174   -0.92822   0.09260   0.08661   -0.36174   -0.92822   100.50354
3   0.09275   0.08747   -0.36171   -0.92825   0.09275   0.08747   -0.36171   -0.92825   100.38452
4   0.09285   0.08710   -0.36293   -0.92779   0.09285   0.08710   -0.36293   -0.92779   100.31433
5   0.09276   0.08716   -0.36174   -0.92825   0.09276   0.08716   -0.36174   -0.92825   100.46387
6   0.09271   0.08750   -0.36244   -0.92798   0.09271   0.08750   -0.36244   -0.92798   100.49133
7   0.09277   0.08679   -0.36235   -0.92807   0.09277   0.08679   -0.36235   -0.92807   100.29602
8   0.09266   0.08802   -0.36207   -0.92804   0.09266   0.08802   -0.36207   -0.92804   100.34485
9   0.09254   0.08786   -0.36265   -0.92782   0.09254   0.08786   -0.36265   -0.92782   100.50354
10   0.09253   0.08716   -0.36283   -0.92779   0.09253   0.08716   -0.36283   -0.92779   100.40283
11   0.09256   0.08734   -0.36256   -0.92792   0.09256   0.08734   -0.36256   -0.92792   100.35400
12   0.09253   0.08786   -0.36293   -0.92767   0.09253   0.08786   -0.36293   -0.92767   100.43335
13   0.09234   0.08798   -0.36235   -0.92795   0.09234   0.08798   -0.36235   -0.92795   100.46387
14   0.09252   0.08802   -0.36329   -0.92755   0.09252   0.08802   -0.36329   -0.92755   100.34485
15   0.09244   0.08805   -0.36290   -0.92770   0.09244   0.08805   -0.36290   -0.92770   100.45471
16   0.09235   0.08844   -0.36265   -0.92776   0.09235   0.08844   -0.36265   -0.92776   100.47302
17   0.09236   0.08966   -0.36311   -0.92749   0.09236   0.08966   -0.36311   -0.92749   100.31433
