Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09333   -0.14072   0.60030   0.78747   0.09333   -0.14072   0.60030   0.78747   97.79053
2   0.09327   -0.14127   0.59954   0.78784   0.09327   -0.14127   0.59954   0.78784   97.89734
3   0.09322   -0.14136   0.59972   0.78784   0.09322   -0.14136   0.59972   0.78784   97.90649
4   0.09336   -0.14109   0.59969   0.78790   0.09336   -0.14109   0.59969   0.78790   97.79053
5   0.09329   -0.14090   0.60060   0.78713   0.09329   -0.14090   0.60060   0.78713   97.91870
6   0.09327   -0.14045   0.59926   0.78823   0.09327   -0.14045   0.59926   0.78823   97.84851
7   0.09326   -0.14020   0.59975   0.78796   0.09326   -0.14020   0.59975   0.78796   97.90649
8   0.09339   -0.14002   0.59905   0.78842   0.09339   -0.14002   0.59905   0.78842   97.80273
9   0.09325   -0.13965   0.59941   0.78838   0.09325   -0.13965   0.59941   0.78838   97.84851
10   0.09319   -0.14002   0.59938   0.78823   0.09319   -0.14002   0.59938   0.78823   97.91565
11   0.09314   -0.14042   0.59984   0.78787   0.09314   -0.14042   0.59984   0.78787   97.83630
12   0.09307   -0.13929   0.59972   0.78811   0.09307   -0.13929   0.59972   0.78811   97.89429
13   0.09307   -0.13950   0.60002   0.78780   0.09307   -0.13950   0.60002   0.78780   97.85461
14   0.09307   -0.13858   0.59969   0.78826   0.09307   -0.13858   0.59969   0.78826   97.82410
15   0.09303   -0.13974   0.59987   0.78808   0.09303   -0.13974   0.59987   0.78808   97.89124
16   0.09294   -0.13868   0.59899   0.78887   0.09294   -0.13868   0.59899   0.78887   97.94006
17   0.09309   -0.14042   0.59862   0.78869   0.09309   -0.14042   0.59862   0.78869   97.78442
18   0.09310   -0.13984   0.59850   0.78893   0.09310   -0.13984   0.59850   0.78893   97.75696
19   0.09311   -0.13886   0.59948   0.78835   0.09311   -0.13886   0.59948   0.78835   97.92480
20   0.09321   -0.13843   0.59932   0.78860   0.09321   -0.13843   0.59932   0.78860   97.87598
21   0.09337   -0.13959   0.59874   0.78890   0.09337   -0.13959   0.59874   0.78890   97.79358
22   0.09327   -0.13871   0.59877   0.78903   0.09327   -0.13871   0.59877   0.78903   97.86682
23   0.09337   -0.13910   0.59880   0.78893   0.09337   -0.13910   0.59880   0.78893   97.86072
24   0.09347   -0.13800   0.59856   0.78927   0.09347   -0.13800   0.59856   0.78927   97.82410
25   0.09347   -0.13898   0.59935   0.78845   0.09347   -0.13898   0.59935   0.78845   97.76611
26   0.09328   -0.13871   0.59944   0.78845   0.09328   -0.13871   0.59944   0.78845   97.97668
27   0.09352   -0.13758   0.60012   0.78817   0.09352   -0.13758   0.60012   0.78817   97.80579
28   0.09344   -0.13904   0.59972   0.78826   0.09344   -0.13904   0.59972   0.78826   97.74475
29   0.09340   -0.13822   0.59996   0.78820   0.09340   -0.13822   0.59996   0.78820   97.77222
30   0.09338   -0.13810   0.59969   0.78848   0.09338   -0.13810   0.59969   0.78848   97.98889
31   0.09340   -0.13816   0.59935   0.78860   0.09340   -0.13816   0.59935   0.78860   97.85156
32   0.09314   -0.13868   0.59966   0.78820   0.09314   -0.13868   0.59966   0.78820   97.86682
33   0.09308   -0.13639   0.59978   0.78857   0.09308   -0.13639   0.59978   0.78857   97.96143
34   0.09329   -0.13782   0.60021   0.78811   0.09329   -0.13782   0.60021   0.78811   97.83020
35   0.09306   -0.13800   0.60002   0.78820   0.09306   -0.13800   0.60002   0.78820   97.96143
36   0.09297   -0.13858   0.60051   0.78765   0.09297   -0.13858   0.60051   0.78765   97.90955
37   0.09301   -0.13865   0.60063   0.78750   0.09301   -0.13865   0.60063   0.78750   98.04077
38   0.09310   -0.13739   0.60002   0.78820   0.09310   -0.13739   0.60002   0.78820   97.81494
39   0.09302   -0.13755   0.60024   0.78799   0.09302   -0.13755   0.60024   0.78799   97.85156
40   0.09304   -0.13910   0.60039   0.78765   0.09304   -0.13910   0.60039   0.78765   97.95227
41   0.09325   -0.13788   0.60045   0.78793   0.09325   -0.13788   0.60045   0.78793   97.87903
42   0.09331   -0.13813   0.60067   0.78759   0.09331   -0.13813   0.60067   0.78759   97.86072
43   0.09327   -0.13767   0.60036   0.78796   0.09327   -0.13767   0.60036   0.78796   97.92786
