Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09276   -0.20493   -0.03690   0.97821   0.09276   -0.20493   -0.03690   0.97821   96.68274
2   0.09273   -0.20432   -0.03720   0.97830   0.09273   -0.20432   -0.03720   0.97830   96.67969
3   0.09263   -0.20478   -0.03864   0.97818   0.09263   -0.20478   -0.03864   0.97818   96.82617
4   0.09271   -0.20460   -0.03827   0.97821   0.09271   -0.20460   -0.03827   0.97821   96.71021
5   0.09272   -0.20432   -0.03925   0.97824   0.09272   -0.20432   -0.03925   0.97824   96.74072
6   0.09258   -0.20450   -0.03958   0.97818   0.09258   -0.20450   -0.03958   0.97818   96.88416
7   0.09268   -0.20396   -0.03916   0.97827   0.09268   -0.20396   -0.03916   0.97827   96.71936
8   0.09284   -0.20383   -0.03943   0.97830   0.09284   -0.20383   -0.03943   0.97830   96.74377
9   0.09293   -0.20423   -0.04047   0.97821   0.09293   -0.20423   -0.04047   0.97821   96.62781
10   0.09291   -0.20417   -0.04038   0.97818   0.09291   -0.20417   -0.04038   0.97818   96.74683
11   0.09303   -0.20292   -0.03937   0.97851   0.09303   -0.20292   -0.03937   0.97851   96.77124
12   0.09301   -0.20521   -0.04132   0.97800   0.09301   -0.20521   -0.04132   0.97800   96.69189
13   0.09298   -0.20688   -0.03961   0.97766   0.09298   -0.20688   -0.03961   0.97766   96.74988
14   0.09298   -0.20392   -0.03870   0.97824   0.09298   -0.20392   -0.03870   0.97824   96.74988
15   0.09294   -0.20542   -0.03836   0.97809   0.09294   -0.20542   -0.03836   0.97809   96.68884
16   0.09294   -0.20426   -0.03751   0.97833   0.09294   -0.20426   -0.03751   0.97833   96.76819
17   0.09295   -0.20411   -0.03775   0.97833   0.09295   -0.20411   -0.03775   0.97833   96.75903
18   0.09301   -0.20374   -0.03827   0.97833   0.09301   -0.20374   -0.03827   0.97833   96.70105
19   0.09293   -0.20319   -0.03797   0.97848   0.09293   -0.20319   -0.03797   0.97848   96.74683
20   0.09271   -0.20371   -0.03717   0.97845   0.09271   -0.20371   -0.03717   0.97845   96.79871
21   0.09273   -0.20396   -0.03732   0.97833   0.09273   -0.20396   -0.03732   0.97833   96.78955
