Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:2:40 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.09382   -0.09412   0.99515   -0.03116   0.09382   -0.09412   0.99515   -0.03116   99.75586
2   0.09386   -0.09503   0.99509   -0.03128   0.09386   -0.09503   0.99509   -0.03128   99.76501
3   0.09385   -0.09299   0.99530   -0.03150   0.09385   -0.09299   0.99530   -0.03150   99.73450
4   0.09373   -0.09372   0.99524   -0.03110   0.09373   -0.09372   0.99524   -0.03110   99.74365
5   0.09354   -0.09424   0.99518   -0.03137   0.09354   -0.09424   0.99518   -0.03137   99.74365
6   0.09364   -0.09406   0.99512   -0.03296   0.09364   -0.09406   0.99512   -0.03296   99.63684
7   0.09358   -0.09305   0.99527   -0.03150   0.09358   -0.09305   0.99527   -0.03150   99.74365
8   0.09354   -0.09278   0.99536   -0.03116   0.09354   -0.09278   0.99536   -0.03116   99.73450
9   0.09354   -0.09290   0.99530   -0.03092   0.09354   -0.09290   0.99530   -0.03092   99.76501
10   0.09361   -0.09223   0.99533   -0.03140   0.09361   -0.09223   0.99533   -0.03140   99.67651
11   0.09352   -0.09333   0.99518   -0.03305   0.09352   -0.09333   0.99518   -0.03305   99.79248
12   0.09355   -0.09110   0.99542   -0.03146   0.09355   -0.09110   0.99542   -0.03146   99.82300
13   0.09364   -0.09143   0.99548   -0.03186   0.09364   -0.09143   0.99548   -0.03186   99.77417
14   0.09365   -0.09293   0.99524   -0.03192   0.09365   -0.09293   0.99524   -0.03192   99.69482
15   0.09371   -0.08979   0.99551   -0.03204   0.09371   -0.08979   0.99551   -0.03204   99.78333
16   0.09386   -0.09131   0.99539   -0.03229   0.09386   -0.09131   0.99539   -0.03229   99.73450
17   0.09399   -0.09207   0.99539   -0.03088   0.09399   -0.09207   0.99539   -0.03088   99.76501
18   0.09390   -0.09153   0.99536   -0.03339   0.09390   -0.09153   0.99536   -0.03339   99.76501
19   0.09386   -0.09153   0.99542   -0.03281   0.09386   -0.09153   0.99542   -0.03281   99.85352
20   0.09395   -0.09101   0.99545   -0.03076   0.09395   -0.09101   0.99545   -0.03076   99.85352
21   0.09387   -0.09159   0.99539   -0.03192   0.09387   -0.09159   0.99539   -0.03192   99.78333
22   0.09392   -0.09119   0.99545   -0.03180   0.09392   -0.09119   0.99545   -0.03180   99.83215
23   0.09399   -0.09210   0.99527   -0.03284   0.09399   -0.09210   0.99527   -0.03284   99.78333
24   0.09388   -0.09110   0.99551   -0.03189   0.09388   -0.09110   0.99551   -0.03189   99.69482
25   0.09376   -0.09052   0.99542   -0.03290   0.09376   -0.09052   0.99542   -0.03290   99.70703
26   0.09366   -0.09064   0.99551   -0.03095   0.09366   -0.09064   0.99551   -0.03095   99.77417
27   0.09363   -0.09146   0.99548   -0.03092   0.09363   -0.09146   0.99548   -0.03092   99.70398
28   0.09354   -0.09339   0.99524   -0.03095   0.09354   -0.09339   0.99524   -0.03095   99.76501
29   0.09348   -0.09247   0.99533   -0.03168   0.09348   -0.09247   0.99533   -0.03168   99.77417
30   0.09360   -0.09293   0.99530   -0.03150   0.09360   -0.09293   0.99530   -0.03150   99.68567
31   0.09363   -0.09336   0.99527   -0.03253   0.09363   -0.09336   0.99527   -0.03253   99.61853
32   0.09345   -0.09265   0.99533   -0.03104   0.09345   -0.09265   0.99533   -0.03104   99.80164
33   0.09339   -0.09253   0.99533   -0.03211   0.09339   -0.09253   0.99533   -0.03211   99.74365
34   0.09357   -0.09244   0.99533   -0.03110   0.09357   -0.09244   0.99533   -0.03110   99.75281
35   0.09361   -0.09354   0.99524   -0.03165   0.09361   -0.09354   0.99524   -0.03165   99.68567
