Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:31:5 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.09372   -0.14740   0.49134   52.70259   0.09372   -0.14740   0.53496   0.83215   97.43042
2   0.09368   -0.14682   0.49291   52.70934   0.09368   -0.14682   0.53236   0.83383   97.48535
3   0.09381   -0.14386   0.49384   52.57186   0.09381   -0.14386   0.53157   0.83486   97.30530
4   0.09376   -0.14081   0.49439   52.42043   0.09376   -0.14081   0.53142   0.83544   97.37244
5   0.09371   -0.13797   0.49541   52.29010   0.09371   -0.13797   0.53044   0.83660   97.42737
6   0.09369   -0.13550   0.49578   52.16531   0.09369   -0.13550   0.53041   0.83697   97.42737
7   0.09369   -0.13211   0.49497   51.96480   0.09369   -0.13211   0.53267   0.83609   97.39990
8   0.09357   -0.13028   0.49537   51.87498   0.09357   -0.13028   0.53243   0.83651   97.46399
9   0.09346   -0.12772   0.49550   51.73949   0.09346   -0.12772   0.53285   0.83673   97.53113
10   0.09347   -0.12784   0.49421   51.71974   0.09347   -0.12784   0.53499   0.83523   97.56775
11   0.09344   -0.12763   0.49442   51.71223   0.09344   -0.12763   0.53471   0.83551   97.46094
12   0.09344   -0.12796   0.49462   51.73444   0.09344   -0.12796   0.53429   0.83572   97.50977
13   0.09339   -0.12888   0.49441   51.77935   0.09339   -0.12888   0.53441   0.83547   97.51892
14   0.09342   -0.13202   0.49409   51.94029   0.09342   -0.13202   0.53426   0.83520   97.47925
15   0.09345   -0.13480   0.49453   52.09993   0.09345   -0.13480   0.53273   0.83557   97.44263
16   0.09344   -0.13684   0.49431   52.20475   0.09344   -0.13684   0.53261   0.83535   97.46094
17   0.09344   -0.13981   0.49395   52.35553   0.09344   -0.13981   0.53249   0.83502   97.41211
18   0.09350   -0.14206   0.49349   52.46622   0.09350   -0.14206   0.53270   0.83453   97.42432
19   0.09358   -0.14338   0.49276   52.52014   0.09358   -0.14338   0.53359   0.83367   97.49451
20   0.09372   -0.14429   0.49278   52.56968   0.09372   -0.14429   0.53331   0.83370   97.40906
21   0.09374   -0.14588   0.49218   52.64114   0.09374   -0.14588   0.53389   0.83300   97.42126
22   0.09369   -0.14719   0.49268   52.72386   0.09369   -0.14719   0.53264   0.83352   97.42737
23   0.09370   -0.14798   0.49283   52.76985   0.09370   -0.14798   0.53218   0.83374   97.42737
24   0.09375   -0.14689   0.49370   52.73139   0.09375   -0.14689   0.53099   0.83471   97.45789
25   0.09376   -0.14719   0.49350   52.74287   0.09376   -0.14719   0.53127   0.83450   97.43958
26   0.09377   -0.14487   0.49383   52.62617   0.09377   -0.14487   0.53130   0.83480   97.37244
27   0.09369   -0.14502   0.49353   52.62672   0.09369   -0.14502   0.53182   0.83453   97.45789
28   0.09372   -0.14252   0.49273   52.47325   0.09372   -0.14252   0.53389   0.83367   97.39075
29   0.09359   -0.14133   0.49250   52.40429   0.09359   -0.14133   0.53459   0.83340   97.42432
30   0.09338   -0.14029   0.49284   52.35672   0.09338   -0.14029   0.53426   0.83377   97.39990
31   0.09336   -0.13929   0.49330   52.31257   0.09336   -0.13929   0.53377   0.83432   97.53723
32   0.09344   -0.13776   0.49347   52.23544   0.09344   -0.13776   0.53380   0.83441   97.37244
33   0.09337   -0.13709   0.49377   52.20639   0.09337   -0.13709   0.53343   0.83471   97.49756
34   0.09334   -0.13688   0.49344   52.18735   0.09334   -0.13688   0.53407   0.83438   97.48840
35   0.09346   -0.13651   0.49382   52.17521   0.09346   -0.13651   0.53359   0.83489   97.42126
36   0.09333   -0.13804   0.49391   52.25960   0.09333   -0.13804   0.53301   0.83496   97.58606
37   0.09332   -0.13752   0.49383   52.23029   0.09332   -0.13752   0.53325   0.83480   97.59521
38   0.09343   -0.13974   0.49421   52.35852   0.09343   -0.13974   0.53203   0.83526   97.50977
39   0.09352   -0.14054   0.49398   52.39522   0.09352   -0.14054   0.53227   0.83508   97.35413
40   0.09357   -0.14264   0.49374   52.50312   0.09357   -0.14264   0.53212   0.83480   97.43347
41   0.09369   -0.14359   0.49384   52.55683   0.09369   -0.14359   0.53166   0.83486   97.39075
42   0.09371   -0.14545   0.49404   52.66197   0.09371   -0.14545   0.53081   0.83511   97.43958
43   0.09376   -0.14814   0.49304   52.78300   0.09376   -0.14814   0.53179   0.83398   97.38159
