Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:38:30 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09315   0.10303   -4.14580   -0.73325   0.09315   0.10303   -0.01502   -0.99463   100.21362
2   0.09301   0.10364   -4.18780   -0.73292   0.09301   0.10364   -0.01526   -0.99451   100.22583
3   0.09302   0.10205   -4.00026   -0.73378   0.09302   0.10205   -0.01434   -0.99466   100.22583
4   0.09310   0.10181   -4.27042   -0.73383   0.09310   0.10181   -0.01529   -0.99469   100.22583
5   0.09303   0.10211   -4.23272   -0.73369   0.09303   0.10211   -0.01520   -0.99466   100.22583
6   0.09295   0.10157   -4.22160   -0.73397   0.09295   0.10157   -0.01508   -0.99481   100.20447
7   0.09296   0.10172   -4.50088   -0.73381   0.09296   0.10172   -0.01611   -0.99466   100.22583
8   0.09318   0.10071   -4.45198   -0.73434   0.09318   0.10071   -0.01578   -0.99481   100.21362
9   0.09328   0.10105   -4.20063   -0.73424   0.09328   0.10105   -0.01492   -0.99484   100.21362
10   0.09321   0.10227   -3.97525   -0.73368   0.09321   0.10227   -0.01428   -0.99472   100.21362
11   0.09342   0.10346   -3.55627   -0.73318   0.09342   0.10346   -0.01291   -0.99460   100.22278
12   0.09339   0.10257   -3.66213   -0.73360   0.09339   0.10257   -0.01318   -0.99469   100.21362
13   0.09339   0.10227   -3.77380   -0.73373   0.09339   0.10227   -0.01355   -0.99466   100.22278
14   0.09326   0.10230   -3.52043   -0.73377   0.09326   0.10230   -0.01263   -0.99472   100.21362
15   0.09344   0.10276   -3.73934   -0.73349   0.09344   0.10276   -0.01349   -0.99466   100.21362
16   0.09344   0.10401   -3.93434   -0.73281   0.09344   0.10401   -0.01437   -0.99451   100.22278
17   0.09343   0.10315   -3.80842   -0.73327   0.09343   0.10315   -0.01379   -0.99460   100.22278
18   0.09344   0.10285   -3.87803   -0.73341   0.09344   0.10285   -0.01401   -0.99460   100.22278
19   0.09328   0.10340   -3.65821   -0.73318   0.09328   0.10340   -0.01328   -0.99463   100.21362
20   0.09314   0.10431   -3.45311   -0.73277   0.09314   0.10431   -0.01263   -0.99451   100.22583
21   0.09314   0.10361   -3.78350   -0.73304   0.09314   0.10361   -0.01376   -0.99457   100.22583
22   0.09307   0.10379   -3.72723   -0.73297   0.09307   0.10379   -0.01358   -0.99463   100.21362
23   0.09306   0.10389   -3.61636   -0.73295   0.09306   0.10389   -0.01318   -0.99463   100.21362
24   0.09303   0.10361   -3.75033   -0.73305   0.09303   0.10361   -0.01364   -0.99460   100.21362
25   0.09302   0.10337   -3.61767   -0.73321   0.09302   0.10337   -0.01312   -0.99457   100.22583
26   0.09304   0.10443   -3.95951   -0.73258   0.09304   0.10443   -0.01453   -0.99445   100.22583
27   0.09296   0.10446   -3.99121   -0.73256   0.09296   0.10446   -0.01465   -0.99454   100.21667
28   0.09303   0.10486   -3.69788   -0.73243   0.09303   0.10486   -0.01361   -0.99445   100.22583
29   0.09312   0.10422   -3.71212   -0.73275   0.09312   0.10422   -0.01358   -0.99451   100.22583
30   0.09324   0.10498   -3.84913   -0.73233   0.09324   0.10498   -0.01419   -0.99442   100.22583
31   0.09317   0.10294   -3.94965   -0.73334   0.09317   0.10294   -0.01428   -0.99463   100.22583
32   0.09334   0.10331   -3.21096   -0.73333   0.09334   0.10331   -0.01163   -0.99460   100.22278
33   0.09341   0.10398   -3.98497   -0.73281   0.09341   0.10398   -0.01456   -0.99448   100.22278
34   0.09342   0.10285   -4.02815   -0.73337   0.09342   0.10285   -0.01456   -0.99466   100.21362
35   0.09338   0.10300   -3.50503   -0.73341   0.09338   0.10300   -0.01267   -0.99457   100.22278
36   0.09347   0.10224   -3.73289   -0.73375   0.09347   0.10224   -0.01340   -0.99469   100.22278
37   0.09345   0.10071   -3.64368   -0.73455   0.09345   0.10071   -0.01288   -0.99493   100.20447
38   0.09345   0.10266   -3.87650   -0.73350   0.09345   0.10266   -0.01398   -0.99460   100.22278
39   0.09338   0.10169   -4.28388   -0.73389   0.09338   0.10169   -0.01532   -0.99472   100.21362
40   0.09328   0.10114   -4.12917   -0.73421   0.09328   0.10114   -0.01468   -0.99484   100.21362
41   0.09305   0.10138   -4.28815   -0.73405   0.09305   0.10138   -0.01529   -0.99481   100.20447
42   0.09308   0.10047   -4.47112   -0.73446   0.09308   0.10047   -0.01581   -0.99487   100.20447
43   0.09315   0.10172   -4.25740   -0.73388   0.09315   0.10172   -0.01523   -0.99466   100.22583
44   0.09306   0.10111   -4.29963   -0.73418   0.09306   0.10111   -0.01529   -0.99475   100.21362
45   0.09300   0.10126   -4.44507   -0.73407   0.09300   0.10126   -0.01584   -0.99481   100.20447
46   0.09308   0.10150   -4.08917   -0.73404   0.09308   0.10150   -0.01459   -0.99475   100.21362
47   0.09303   0.10181   -3.63858   -0.73399   0.09303   0.10181   -0.01300   -0.99481   100.20447
48   0.09300   0.10071   -4.35025   -0.73437   0.09300   0.10071   -0.01541   -0.99487   100.20447
49   0.09297   0.10346   -4.40165   -0.73296   0.09297   0.10346   -0.01602   -0.99457   100.21362
50   0.09314   0.10294   -4.43178   -0.73322   0.09314   0.10294   -0.01605   -0.99463   100.21362
51   0.09328   0.10239   -4.47184   -0.73349   0.09328   0.10239   -0.01611   -0.99472   100.21362
52   0.09330   0.10346   -5.01845   -0.73277   0.09330   0.10346   -0.01831   -0.99454   100.22278
53   0.09335   0.10273   -4.99574   -0.73315   0.09335   0.10273   -0.01810   -0.99457   100.22278
54   0.09333   0.10309   -4.10185   -0.73323   0.09333   0.10309   -0.01486   -0.99460   100.22278
55   0.09339   0.10245   -4.54414   -0.73343   0.09339   0.10245   -0.01639   -0.99463   100.22278
56   0.09338   0.10065   -4.79312   -0.73427   0.09338   0.10065   -0.01700   -0.99478   100.21362
57   0.09340   0.10019   -4.17616   -0.73468   0.09340   0.10019   -0.01471   -0.99490   100.20447
58   0.09342   0.10038   -4.14306   -0.73460   0.09342   0.10038   -0.01462   -0.99490   100.20447
59   0.09346   0.09949   -4.40279   -0.73498   0.09346   0.09949   -0.01541   -0.99499   100.20447
60   0.09333   0.09873   -4.28920   -0.73540   0.09333   0.09873   -0.01489   -0.99512   100.19531
61   0.09327   0.09708   -4.40488   -0.73620   0.09327   0.09708   -0.01505   -0.99521   100.19531
62   0.09318   0.09641   -4.70910   -0.73646   0.09318   0.09641   -0.01599   -0.99530   100.19531
63   0.09317   0.09671   -4.46542   -0.73637   0.09317   0.09671   -0.01520   -0.99527   100.19531
64   0.09322   0.09705   -4.10666   -0.73629   0.09322   0.09705   -0.01401   -0.99518   100.20447
65   0.09312   0.09641   -4.21348   -0.73659   0.09312   0.09641   -0.01428   -0.99530   100.19531
66   0.09297   0.09607   -4.77837   -0.73661   0.09297   0.09607   -0.01617   -0.99530   100.19531
67   0.09304   0.09558   -5.05094   -0.73678   0.09304   0.09558   -0.01703   -0.99533   100.19531
68   0.09314   0.09641   -4.70910   -0.73646   0.09314   0.09641   -0.01599   -0.99533   100.19531
69   0.09298   0.09491   -4.69231   -0.73723   0.09298   0.09491   -0.01569   -0.99539   100.19531
70   0.09299   0.09592   -4.91867   -0.73665   0.09299   0.09592   -0.01663   -0.99527   100.19531
71   0.09302   0.09577   -5.01493   -0.73670   0.09302   0.09577   -0.01694   -0.99533   100.19531
72   0.09308   0.09555   -4.50980   -0.73695   0.09308   0.09555   -0.01517   -0.99539   100.19531
73   0.09316   0.09565   -4.50556   -0.73691   0.09316   0.09565   -0.01517   -0.99539   100.19531
74   0.09315   0.09595   -4.58919   -0.73673   0.09315   0.09595   -0.01550   -0.99533   100.19531
75   0.09331   0.09397   -4.45764   -0.73777   0.09331   0.09397   -0.01474   -0.99551   100.18616
76   0.09342   0.09421   -4.67245   -0.73759   0.09342   0.09421   -0.01550   -0.99551   100.18616
77   0.09334   0.09394   -4.35000   -0.73781   0.09334   0.09394   -0.01437   -0.99554   100.18616
78   0.09347   0.09348   -4.52617   -0.73800   0.09347   0.09348   -0.01489   -0.99554   100.18311
79   0.09335   0.09351   -4.60674   -0.73796   0.09335   0.09351   -0.01517   -0.99554   100.18616
80   0.09332   0.09247   -4.91495   -0.73841   0.09332   0.09247   -0.01602   -0.99561   100.18616
81   0.09333   0.09140   -4.74822   -0.73900   0.09333   0.09140   -0.01529   -0.99579   100.17395
82   0.09334   0.09177   -4.46968   -0.73888   0.09334   0.09177   -0.01444   -0.99570   100.18616
83   0.09323   0.09095   -4.90247   -0.73919   0.09323   0.09095   -0.01572   -0.99579   100.17395
84   0.09313   0.09128   -4.76377   -0.73906   0.09313   0.09128   -0.01532   -0.99576   100.18616
85   0.09309   0.09146   -4.48435   -0.73904   0.09309   0.09146   -0.01444   -0.99576   100.18616
