Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09307   0.08506   -39.55819   -0.55175   0.09307   0.08506   -0.44237   -0.89279   100.40283
2   0.09302   0.08698   -39.43147   -0.55186   0.09302   0.08698   -0.44182   -0.89291   100.45166
3   0.09296   0.08454   -39.58549   -0.55204   0.09296   0.08454   -0.44194   -0.89303   100.57068
4   0.09300   0.08411   -39.61802   -0.55183   0.09300   0.08411   -0.44243   -0.89288   100.46997
5   0.09318   0.08274   -39.70211   -0.55205   0.09318   0.08274   -0.44227   -0.89306   100.39063
6   0.09309   0.08350   -39.64499   -0.55240   0.09309   0.08350   -0.44148   -0.89337   100.54932
7   0.09293   0.08213   -39.71608   -0.55326   0.09293   0.08213   -0.44020   -0.89419   100.54016
8   0.09298   0.08039   -39.84584   -0.55245   0.09298   0.08039   -0.44197   -0.89343   100.43030
9   0.09298   0.08151   -39.77537   -0.55232   0.09298   0.08151   -0.44200   -0.89331   100.45166
10   0.09277   0.08194   -39.74576   -0.55240   0.09277   0.08194   -0.44176   -0.89334   100.52185
11   0.09271   0.08188   -39.74958   -0.55243   0.09271   0.08188   -0.44176   -0.89343   100.48218
12   0.09276   0.08350   -39.66085   -0.55167   0.09276   0.08350   -0.44282   -0.89276   100.44250
13   0.09273   0.08448   -39.59441   -0.55180   0.09273   0.08448   -0.44237   -0.89279   100.52185
14   0.09268   0.08451   -39.58338   -0.55223   0.09268   0.08451   -0.44160   -0.89322   100.56152
15   0.09273   0.08405   -39.62618   -0.55164   0.09273   0.08405   -0.44279   -0.89273   100.42419
16   0.09271   0.08689   -39.44803   -0.55139   0.09271   0.08689   -0.44270   -0.89254   100.51270
17   0.09262   0.08798   -39.38940   -0.55084   0.09262   0.08798   -0.44349   -0.89203   100.55237
18   0.09272   0.08783   -39.39249   -0.55112   0.09272   0.08783   -0.44298   -0.89221   100.45166
19   0.09279   0.08783   -39.41574   -0.55009   0.09279   0.08783   -0.44487   -0.89132   100.46082
20   0.09285   0.08979   -39.29250   -0.54999   0.09285   0.08979   -0.44469   -0.89129   100.56152
21   0.09289   0.08820   -39.37046   -0.55106   0.09289   0.08820   -0.44304   -0.89221   100.49133
22   0.09301   0.08957   -39.29581   -0.55044   0.09301   0.08957   -0.44389   -0.89166   100.39368
23   0.09300   0.08850   -39.35830   -0.55074   0.09300   0.08850   -0.44359   -0.89196   100.48218
24   0.09291   0.08863   -39.34996   -0.55073   0.09291   0.08863   -0.44353   -0.89187   100.61951
25   0.09294   0.08890   -39.34238   -0.55030   0.09294   0.08890   -0.44429   -0.89154   100.41199
26   0.09312   0.08780   -39.41166   -0.55034   0.09312   0.08780   -0.44438   -0.89148   100.43030
27   0.09321   0.08780   -39.40191   -0.55079   0.09321   0.08780   -0.44359   -0.89193   100.52795
28   0.09307   0.08695   -39.45206   -0.55101   0.09307   0.08695   -0.44334   -0.89212   100.60730
29   0.09304   0.08789   -39.39735   -0.55073   0.09304   0.08789   -0.44368   -0.89187   100.46997
30   0.09311   0.08600   -39.52272   -0.55060   0.09311   0.08600   -0.44432   -0.89184   100.46082
31   0.09284   0.08582   -39.52309   -0.55111   0.09284   0.08582   -0.44340   -0.89224   100.54932
32   0.09279   0.08637   -39.48963   -0.55102   0.09279   0.08637   -0.44346   -0.89215   100.48218
33   0.09271   0.08643   -39.49986   -0.55038   0.09271   0.08643   -0.44462   -0.89160   100.46387
34   0.09280   0.08597   -39.52132   -0.55075   0.09280   0.08597   -0.44404   -0.89193   100.52185
35   0.09267   0.08625   -39.50276   -0.55077   0.09267   0.08625   -0.44392   -0.89190   100.48218
36   0.09271   0.08679   -39.46749   -0.55076   0.09271   0.08679   -0.44383   -0.89190   100.42419
37   0.09271   0.08634   -39.49965   -0.55065   0.09271   0.08634   -0.44414   -0.89184   100.53101
38   0.09264   0.08704   -39.43852   -0.55135   0.09264   0.08704   -0.44270   -0.89239   100.54321
39   0.09271   0.08701   -39.44602   -0.55111   0.09271   0.08701   -0.44316   -0.89221   100.43335
40   0.09275   0.08850   -39.35754   -0.55078   0.09275   0.08850   -0.44353   -0.89203   100.45166
41   0.09273   0.08988   -39.27190   -0.55061   0.09273   0.08988   -0.44349   -0.89178   100.49133
42   0.09280   0.08896   -39.32607   -0.55086   0.09280   0.08896   -0.44328   -0.89209   100.53101
43   0.09294   0.08994   -39.27464   -0.55032   0.09294   0.08994   -0.44401   -0.89151   100.40283
44   0.09300   0.08988   -39.27650   -0.55041   0.09300   0.08988   -0.44386   -0.89160   100.46997
45   0.09300   0.08936   -39.31134   -0.55036   0.09300   0.08936   -0.44407   -0.89157   100.61035
46   0.09302   0.08933   -39.31362   -0.55035   0.09302   0.08933   -0.44411   -0.89157   100.45166
47   0.09308   0.09073   -39.22702   -0.55017   0.09308   0.09073   -0.44414   -0.89138   100.40283
48   0.09300   0.09214   -39.13270   -0.55032   0.09300   0.09214   -0.44356   -0.89148   100.53101
49   0.09300   0.09561   -38.91479   -0.55005   0.09300   0.09561   -0.44334   -0.89132   100.54932
50   0.09313   0.09235   -39.12105   -0.55025   0.09313   0.09235   -0.44368   -0.89151   100.46082
51   0.09306   0.09238   -39.12976   -0.54978   0.09306   0.09238   -0.44450   -0.89105   100.49133
52   0.09281   0.09207   -39.14705   -0.54989   0.09281   0.09207   -0.44438   -0.89114   100.51270
53   0.09275   0.09027   -39.24073   -0.55085   0.09275   0.09027   -0.44298   -0.89200   100.48218
54   0.09282   0.09198   -39.14998   -0.55001   0.09282   0.09198   -0.44417   -0.89126   100.48218
55   0.09270   0.09214   -39.12130   -0.55079   0.09270   0.09214   -0.44267   -0.89187   100.52185
56   0.09274   0.09290   -39.07716   -0.55058   0.09274   0.09290   -0.44292   -0.89172   100.52185
57   0.09273   0.09223   -39.11956   -0.55065   0.09273   0.09223   -0.44298   -0.89187   100.41199
58   0.09267   0.09180   -39.14997   -0.55053   0.09267   0.09180   -0.44328   -0.89175   100.49133
59   0.09268   0.09235   -39.11239   -0.55060   0.09268   0.09235   -0.44301   -0.89175   100.56152
60   0.09269   0.09186   -39.13559   -0.55097   0.09269   0.09186   -0.44246   -0.89212   100.42419
61   0.09272   0.09238   -39.10418   -0.55088   0.09272   0.09238   -0.44252   -0.89206   100.42419
62   0.09268   0.09272   -39.07780   -0.55106   0.09268   0.09272   -0.44209   -0.89218   100.52185
63   0.09280   0.09214   -39.11262   -0.55117   0.09280   0.09214   -0.44200   -0.89227   100.54016
64   0.09298   0.09275   -39.08226   -0.55081   0.09298   0.09275   -0.44258   -0.89203   100.39368
