Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
1   0.09382   -0.07669   0.14518   47.29507   0.09382   -0.07669   0.95526   0.28636   99.19739
2   0.09405   -0.07685   0.14590   47.30064   0.09405   -0.07685   0.95483   0.28773   99.15161
3   0.09414   -0.07926   0.14550   47.37265   0.09414   -0.07926   0.95477   0.28694   99.20044
4   0.09399   -0.07849   0.14476   47.34864   0.09399   -0.07849   0.95529   0.28553   99.21875
5   0.09404   -0.07895   0.14484   47.36250   0.09404   -0.07895   0.95520   0.28568   99.18213
6   0.09418   -0.07956   0.14459   47.38046   0.09418   -0.07956   0.95529   0.28520   99.18213
7   0.09414   -0.08213   0.14399   47.45640   0.09414   -0.08213   0.95544   0.28407   99.17297
8   0.09412   -0.08075   0.14369   47.41483   0.09412   -0.08075   0.95572   0.28349   99.26758
9   0.09418   -0.08386   0.14449   47.50944   0.09418   -0.08386   0.95495   0.28501   99.23096
10   0.09420   -0.08490   0.14476   47.54081   0.09420   -0.08490   0.95477   0.28553   99.25842
11   0.09415   -0.08585   0.14431   47.56873   0.09415   -0.08585   0.95486   0.28465   99.25842
12   0.09408   -0.08667   0.14451   47.59391   0.09408   -0.08667   0.95462   0.28501   99.25842
13   0.09399   -0.08780   0.14481   47.62810   0.09399   -0.08780   0.95441   0.28562   99.12109
14   0.09386   -0.08701   0.14545   47.60523   0.09386   -0.08701   0.95413   0.28684   99.24622
15   0.09380   -0.08808   0.14499   47.63653   0.09380   -0.08808   0.95431   0.28596   99.23706
16   0.09380   -0.08579   0.14507   47.56814   0.09380   -0.08579   0.95441   0.28611   99.28589
17   0.09386   -0.08496   0.14366   47.54094   0.09386   -0.08496   0.95541   0.28343   99.13940
18   0.09386   -0.08313   0.14327   47.48574   0.09386   -0.08313   0.95569   0.28266   99.21875
19   0.09374   -0.08231   0.14400   47.46201   0.09374   -0.08231   0.95538   0.28407   99.32556
20   0.09369   -0.08148   0.14404   47.43732   0.09369   -0.08148   0.95544   0.28416   99.25537
21   0.09368   -0.08087   0.14351   47.41830   0.09368   -0.08087   0.95578   0.28312   99.29504
22   0.09384   -0.07978   0.14380   47.38568   0.09384   -0.07978   0.95575   0.28370   99.20959
23   0.09395   -0.07886   0.14507   47.35985   0.09395   -0.07886   0.95517   0.28614   99.29810
24   0.09411   -0.07901   0.14435   47.36365   0.09411   -0.07901   0.95547   0.28474   99.12415
25   0.09401   -0.07501   0.14410   47.24362   0.09401   -0.07501   0.95587   0.28425   99.24011
26   0.09409   -0.07605   0.14511   47.27590   0.09409   -0.07605   0.95529   0.28620   99.23096
27   0.09413   -0.07453   0.14433   47.22908   0.09413   -0.07453   0.95587   0.28471   99.18213
28   0.09410   -0.07315   0.14378   47.18726   0.09410   -0.07315   0.95627   0.28364   99.14246
29   0.09405   -0.07392   0.14433   47.21090   0.09405   -0.07392   0.95587   0.28471   99.24011
30   0.09418   -0.07688   0.14539   47.30090   0.09418   -0.07688   0.95511   0.28675   99.18213
31   0.09424   -0.07697   0.14475   47.30289   0.09424   -0.07697   0.95541   0.28550   99.18213
32   0.09407   -0.07627   0.14498   47.28227   0.09407   -0.07627   0.95529   0.28593   99.21875
33   0.09404   -0.07901   0.14486   47.36447   0.09404   -0.07901   0.95514   0.28571   99.22791
34   0.09396   -0.07947   0.14503   47.37811   0.09396   -0.07947   0.95514   0.28608   99.21875
35   0.09393   -0.08106   0.14481   47.42561   0.09393   -0.08106   0.95505   0.28562   99.20044
36   0.09379   -0.08155   0.14528   47.44085   0.09379   -0.08155   0.95477   0.28654   99.23706
37   0.09379   -0.08216   0.14510   47.45879   0.09379   -0.08216   0.95486   0.28620   99.20654
38   0.09379   -0.08295   0.14503   47.48274   0.09379   -0.08295   0.95474   0.28605   99.26758
39   0.09381   -0.08142   0.14479   47.43651   0.09381   -0.08142   0.95505   0.28559   99.24622
40   0.09375   -0.08170   0.14439   47.44438   0.09375   -0.08170   0.95517   0.28480   99.21570
41   0.09371   -0.08036   0.14490   47.40462   0.09371   -0.08036   0.95508   0.28581   99.20654
42   0.09370   -0.08029   0.14431   47.40219   0.09370   -0.08029   0.95532   0.28465   99.21570
43   0.09377   -0.07974   0.14484   47.38629   0.09377   -0.07974   0.95514   0.28568   99.26758
44   0.09387   -0.07917   0.14470   47.36879   0.09387   -0.07917   0.95523   0.28541   99.19739
45   0.09406   -0.07855   0.14484   47.35076   0.09406   -0.07855   0.95517   0.28565   99.18213
46   0.09400   -0.07746   0.14474   47.31751   0.09400   -0.07746   0.95538   0.28550   99.21875
47   0.09412   -0.07614   0.14551   47.27921   0.09412   -0.07614   0.95505   0.28697   99.21875
48   0.09408   -0.07746   0.14522   47.31818   0.09408   -0.07746   0.95511   0.28642   99.27979
49   0.09408   -0.07447   0.14446   47.22768   0.09408   -0.07447   0.95569   0.28492   99.19128
50   0.09403   -0.07602   0.14484   47.27463   0.09403   -0.07602   0.95544   0.28568   99.29810
51   0.09414   -0.07602   0.14479   47.27449   0.09414   -0.07602   0.95550   0.28559   99.20959
52   0.09412   -0.07691   0.14476   47.30100   0.09412   -0.07691   0.95544   0.28553   99.20044
53   0.09401   -0.07447   0.14414   47.22697   0.09401   -0.07447   0.95599   0.28434   99.24011
54   0.09399   -0.07572   0.14417   47.26453   0.09399   -0.07572   0.95587   0.28440   99.21875
55   0.09399   -0.07706   0.14481   47.30577   0.09399   -0.07706   0.95535   0.28562   99.16077
56   0.09379   -0.07785   0.14463   47.32918   0.09379   -0.07785   0.95544   0.28529   99.23706
57   0.09377   -0.07804   0.14453   47.33479   0.09377   -0.07804   0.95538   0.28507   99.26758
58   0.09383   -0.07984   0.14452   47.38856   0.09383   -0.07984   0.95532   0.28507   99.16077
59   0.09376   -0.08026   0.14439   47.40121   0.09376   -0.08026   0.95535   0.28483   99.23706
60   0.09382   -0.08078   0.14516   47.41789   0.09382   -0.08078   0.95486   0.28629   99.21875
61   0.09382   -0.07990   0.14452   47.39038   0.09382   -0.07990   0.95532   0.28507   99.22791
62   0.09375   -0.07981   0.14349   47.38621   0.09375   -0.07981   0.95590   0.28309   99.15771
63   0.09376   -0.07978   0.14374   47.38560   0.09376   -0.07978   0.95578   0.28358   99.21875
64   0.09378   -0.08078   0.14400   47.41627   0.09378   -0.08078   0.95550   0.28407   99.21875
65   0.09389   -0.07938   0.14360   47.37365   0.09389   -0.07938   0.95584   0.28330   99.16992
66   0.09404   -0.07993   0.14394   47.39061   0.09404   -0.07993   0.95560   0.28394   99.16992
67   0.09409   -0.07974   0.14449   47.38584   0.09409   -0.07974   0.95532   0.28501   99.18213
68   0.09419   -0.07971   0.14392   47.38417   0.09419   -0.07971   0.95563   0.28391   99.19128
69   0.09429   -0.07907   0.14461   47.36591   0.09429   -0.07907   0.95529   0.28523   99.14246
70   0.09419   -0.07849   0.14425   47.34797   0.09419   -0.07849   0.95557   0.28455   99.24927
71   0.09408   -0.07816   0.14467   47.33849   0.09408   -0.07816   0.95535   0.28535   99.30725
72   0.09422   -0.07846   0.14462   47.34751   0.09422   -0.07846   0.95538   0.28526   99.21265
73   0.09415   -0.07736   0.14441   47.31427   0.09415   -0.07736   0.95560   0.28486   99.20959
74   0.09409   -0.07648   0.14411   47.28732   0.09409   -0.07648   0.95584   0.28428   99.21875
75   0.09418   -0.07718   0.14425   47.30859   0.09418   -0.07718   0.95569   0.28455   99.22180
76   0.09407   -0.07846   0.14506   47.34811   0.09407   -0.07846   0.95514   0.28611   99.15161
77   0.09383   -0.07816   0.14446   47.33827   0.09383   -0.07816   0.95544   0.28495   99.27673
78   0.09376   -0.07999   0.14463   47.39333   0.09376   -0.07999   0.95523   0.28529   99.28589
79   0.09383   -0.08106   0.14537   47.42630   0.09383   -0.08106   0.95477   0.28672   99.22791
80   0.09384   -0.08203   0.14487   47.45500   0.09384   -0.08203   0.95492   0.28574   99.12109
81   0.09363   -0.08451   0.14482   47.52900   0.09363   -0.08451   0.95477   0.28565   99.27368
82   0.09376   -0.08716   0.14537   47.60969   0.09376   -0.08716   0.95416   0.28669   99.21875
83   0.09377   -0.08637   0.14549   47.58598   0.09377   -0.08637   0.95419   0.28694   99.19739
84   0.09376   -0.08878   0.14595   47.65911   0.09376   -0.08878   0.95370   0.28782   99.21875
85   0.09373   -0.08805   0.14528   47.63629   0.09373   -0.08805   0.95407   0.28651   99.24622
86   0.09382   -0.08881   0.14549   47.65943   0.09382   -0.08881   0.95392   0.28690   99.25537
87   0.09392   -0.08899   0.14513   47.66403   0.09392   -0.08899   0.95422   0.28626   99.20959
88   0.09400   -0.08957   0.14503   47.68138   0.09400   -0.08957   0.95419   0.28605   99.10278
89   0.09404   -0.08994   0.14606   47.69399   0.09404   -0.08994   0.95358   0.28803   99.20044
90   0.09408   -0.08930   0.14617   47.67516   0.09408   -0.08930   0.95349   0.28822   99.14246
91   0.09404   -0.08747   0.14586   47.61961   0.09404   -0.08747   0.95386   0.28764   99.21875
92   0.09399   -0.08621   0.14633   47.58267   0.09399   -0.08621   0.95373   0.28855   99.24011
93   0.09417   -0.08536   0.14633   47.55721   0.09417   -0.08536   0.95373   0.28852   99.12415
94   0.09414   -0.08451   0.14598   47.53069   0.09414   -0.08451   0.95413   0.28788   99.20959
95   0.09411   -0.08683   0.14656   47.60160   0.09411   -0.08683   0.95346   0.28895   99.20959
96   0.09421   -0.08509   0.14660   47.54926   0.09421   -0.08509   0.95364   0.28904   99.18213
97   0.09418   -0.08533   0.14717   47.55744   0.09418   -0.08533   0.95331   0.29014   99.09363
98   0.09393   -0.08652   0.14753   47.59374   0.09393   -0.08652   0.95300   0.29084   99.17908
99   0.09385   -0.08649   0.14783   47.59324   0.09385   -0.08649   0.95285   0.29142   99.18823
100   0.09381   -0.08560   0.14769   47.56669   0.09381   -0.08560   0.95291   0.29112   99.25537
101   0.09390   -0.08582   0.14731   47.57240   0.09390   -0.08582   0.95315   0.29041   99.16992
102   0.09378   -0.08698   0.14731   47.60714   0.09378   -0.08698   0.95309   0.29041   99.27673
103   0.09376   -0.08634   0.14756   47.58853   0.09376   -0.08634   0.95291   0.29087   99.24622
104   0.09383   -0.08594   0.14744   47.57604   0.09383   -0.08594   0.95315   0.29069   99.12109
105   0.09381   -0.08441   0.14683   47.52942   0.09381   -0.08441   0.95358   0.28950   99.17908
106   0.09381   -0.08249   0.14711   47.47225   0.09381   -0.08249   0.95352   0.29002   99.22791
107   0.09381   -0.08390   0.14731   47.51451   0.09381   -0.08390   0.95337   0.29041   99.27673
108   0.09386   -0.08280   0.14766   47.48198   0.09386   -0.08280   0.95328   0.29109   99.19739
109   0.09399   -0.08063   0.14797   47.41757   0.09399   -0.08063   0.95318   0.29167   99.16992
110   0.09401   -0.08304   0.14834   47.49038   0.09401   -0.08304   0.95285   0.29240   99.16992
111   0.09407   -0.08432   0.14656   47.52620   0.09407   -0.08432   0.95376   0.28898   99.13330
112   0.09403   -0.08377   0.14494   47.50735   0.09403   -0.08377   0.95471   0.28587   99.24011
113   0.09404   -0.08417   0.14536   47.51981   0.09404   -0.08417   0.95447   0.28669   99.20959
