Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:33:52 4/19/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09273   -0.03934   -46.16949   0.13481   0.09273   -0.03934   -0.96310   0.26637   100.61035
2   0.09271   -0.03751   -46.11461   0.13426   0.09271   -0.03751   -0.96353   0.26533   100.47302
3   0.09267   -0.03583   -46.06468   0.13411   0.09267   -0.03583   -0.96362   0.26502   100.59204
4   0.09255   -0.03534   -46.04988   0.13362   0.09255   -0.03534   -0.96390   0.26408   100.57373
5   0.09242   -0.03568   -46.06021   0.13425   0.09242   -0.03568   -0.96356   0.26530   100.51270
6   0.09241   -0.03507   -46.04179   0.13382   0.09241   -0.03507   -0.96384   0.26447   100.55237
7   0.09235   -0.03723   -46.10604   0.13348   0.09235   -0.03723   -0.96390   0.26380   100.61340
8   0.09239   -0.03787   -46.12573   0.13452   0.09239   -0.03787   -0.96332   0.26582   100.51270
9   0.09238   -0.04038   -46.20053   0.13518   0.09238   -0.04038   -0.96292   0.26710   100.48523
10   0.09233   -0.04248   -46.26310   0.13495   0.09233   -0.04248   -0.96289   0.26664   100.57373
11   0.09214   -0.04389   -46.30519   0.13548   0.09214   -0.04389   -0.96258   0.26768   100.63477
12   0.09233   -0.04364   -46.29889   0.13675   0.09233   -0.04364   -0.96188   0.27012   100.48523
13   0.09231   -0.04505   -46.34040   0.13646   0.09231   -0.04505   -0.96204   0.26957   100.51575
14   0.09232   -0.04654   -46.38562   0.13729   0.09232   -0.04654   -0.96149   0.27116   100.62256
15   0.09247   -0.04743   -46.41193   0.13724   0.09247   -0.04743   -0.96149   0.27107   100.53406
16   0.09268   -0.04541   -46.35175   0.13697   0.09268   -0.04541   -0.96170   0.27055   100.50354
17   0.09262   -0.04669   -46.38950   0.13634   0.09262   -0.04669   -0.96194   0.26933   100.54321
18   0.09254   -0.04431   -46.31868   0.13645   0.09254   -0.04431   -0.96200   0.26954   100.57373
19   0.09260   -0.04346   -46.29300   0.13624   0.09260   -0.04346   -0.96222   0.26914   100.52185
20   0.09262   -0.04147   -46.23358   0.13569   0.09262   -0.04147   -0.96258   0.26807   100.55237
21   0.09257   -0.03842   -46.14222   0.13486   0.09257   -0.03842   -0.96316   0.26649   100.60120
22   0.09258   -0.03668   -46.09074   0.13518   0.09258   -0.03668   -0.96301   0.26710   100.54321
23   0.09267   -0.03619   -46.07616   0.13511   0.09267   -0.03619   -0.96307   0.26695   100.53101
24   0.09254   -0.03571   -46.06129   0.13461   0.09254   -0.03571   -0.96341   0.26600   100.59204
25   0.09260   -0.03906   -46.16026   0.13315   0.09260   -0.03906   -0.96399   0.26316   100.58289
26   0.09254   -0.03772   -46.12088   0.13403   0.09254   -0.03772   -0.96359   0.26487   100.49438
27   0.09250   -0.03824   -46.13654   0.13442   0.09250   -0.03824   -0.96338   0.26563   100.54321
28   0.09230   -0.03882   -46.15342   0.13390   0.09230   -0.03882   -0.96365   0.26463   100.63477
29   0.09239   -0.03781   -46.12371   0.13420   0.09239   -0.03781   -0.96350   0.26521   100.49438
30   0.09236   -0.03671   -46.09137   0.13462   0.09236   -0.03671   -0.96326   0.26600   100.51270
31   0.09226   -0.03610   -46.07320   0.13470   0.09226   -0.03610   -0.96329   0.26615   100.62256
32   0.09230   -0.03729   -46.10841   0.13448   0.09230   -0.03729   -0.96341   0.26576   100.61340
33   0.09246   -0.03708   -46.10203   0.13438   0.09246   -0.03708   -0.96344   0.26554   100.49438
34   0.09231   -0.03723   -46.10667   0.13450   0.09231   -0.03723   -0.96335   0.26579   100.54321
35   0.09229   -0.03763   -46.11905   0.13545   0.09229   -0.03763   -0.96283   0.26762   100.58289
36   0.09246   -0.03778   -46.12358   0.13544   0.09246   -0.03778   -0.96283   0.26759   100.47302
37   0.09256   -0.03809   -46.13330   0.13653   0.09256   -0.03809   -0.96228   0.26969   100.49438
38   0.09260   -0.03748   -46.11572   0.13733   0.09260   -0.03748   -0.96179   0.27122   100.56152
39   0.09256   -0.03769   -46.12218   0.13756   0.09256   -0.03769   -0.96170   0.27168   100.57373
