Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
1   0.09316   0.07447   -40.40808   -0.54270   0.09316   0.07447   -0.46059   -0.88452   100.54016
2   0.09301   0.07428   -40.38915   -0.54444   0.09301   0.07428   -0.45753   -0.88620   100.63782
3   0.09313   0.07559   -40.30790   -0.54437   0.09313   0.07559   -0.45741   -0.88607   100.51880
4   0.09319   0.07544   -40.30767   -0.54492   0.09319   0.07544   -0.45647   -0.88662   100.48828
5   0.09310   0.07575   -40.27787   -0.54548   0.09310   0.07575   -0.45537   -0.88705   100.59814
6   0.09298   0.07691   -40.19996   -0.54576   0.09298   0.07691   -0.45470   -0.88736   100.52185
7   0.09289   0.07669   -40.21619   -0.54561   0.09289   0.07669   -0.45500   -0.88720   100.49133
8   0.09281   0.07877   -40.08342   -0.54574   0.09281   0.07877   -0.45445   -0.88742   100.55237
9   0.09282   0.07721   -40.17968   -0.54580   0.09282   0.07721   -0.45454   -0.88733   100.55237
10   0.09290   0.07962   -40.03865   -0.54525   0.09290   0.07962   -0.45515   -0.88690   100.45166
11   0.09279   0.07746   -40.18028   -0.54496   0.09279   0.07746   -0.45604   -0.88659   100.56152
12   0.09277   0.07730   -40.18327   -0.54530   0.09277   0.07730   -0.45543   -0.88687   100.61035
13   0.09274   0.07706   -40.21394   -0.54448   0.09274   0.07706   -0.45695   -0.88614   100.51270
14   0.09278   0.07602   -40.30799   -0.54290   0.09278   0.07602   -0.46001   -0.88476   100.44250
15   0.09268   0.07550   -40.36393   -0.54155   0.09268   0.07550   -0.46248   -0.88342   100.60120
16   0.09272   0.07382   -40.48138   -0.54078   0.09272   0.07382   -0.46416   -0.88275   100.63171
17   0.09299   0.07199   -40.62509   -0.53890   0.09299   0.07199   -0.46776   -0.88092   100.48218
18   0.09312   0.07266   -40.58635   -0.53876   0.09312   0.07266   -0.46791   -0.88079   100.55847
19   0.09299   0.07102   -40.68409   -0.53898   0.09299   0.07102   -0.46782   -0.88110   100.65918
