Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 15:40:20 5/3/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.08490   0.99631   -0.05338   0.06906   0.08490   0.99631   -0.05338   0.06906   100.71106
2   0.08497   0.99631   -0.05325   0.06949   0.08497   0.99631   -0.05325   0.06949   100.69885
3   0.08498   0.99634   -0.05298   0.06906   0.08498   0.99634   -0.05298   0.06906   100.68665
4   0.08490   0.99631   -0.05338   0.06894   0.08490   0.99631   -0.05338   0.06894   100.71106
5   0.08493   0.99631   -0.05310   0.06900   0.08493   0.99631   -0.05310   0.06900   100.71106
6   0.08497   0.99628   -0.05286   0.06946   0.08497   0.99628   -0.05286   0.06946   100.68665
7   0.08491   0.99634   -0.05322   0.06839   0.08491   0.99634   -0.05322   0.06839   100.69885
8   0.08488   0.99637   -0.05329   0.06867   0.08488   0.99637   -0.05329   0.06867   100.69885
9   0.08484   0.99631   -0.05298   0.06943   0.08484   0.99631   -0.05298   0.06943   100.64697
10   0.08496   0.99634   -0.05304   0.06928   0.08496   0.99634   -0.05304   0.06928   100.64392
11   0.08492   0.99631   -0.05325   0.06873   0.08492   0.99631   -0.05325   0.06873   100.71106
12   0.08490   0.99631   -0.05350   0.06922   0.08490   0.99631   -0.05350   0.06922   100.71106
13   0.08498   0.99634   -0.05258   0.06940   0.08498   0.99634   -0.05258   0.06940   100.63477
14   0.08492   0.99634   -0.05283   0.06943   0.08492   0.99634   -0.05283   0.06943   100.65613
15   0.08485   0.99643   -0.05301   0.06845   0.08485   0.99643   -0.05301   0.06845   100.69885
16   0.08468   0.99637   -0.05258   0.06906   0.08468   0.99637   -0.05258   0.06906   100.68970
17   0.08483   0.99631   -0.05267   0.06949   0.08483   0.99631   -0.05267   0.06949   100.64697
18   0.08498   0.99637   -0.05298   0.06891   0.08498   0.99637   -0.05298   0.06891   100.68665
19   0.08491   0.99637   -0.05362   0.06894   0.08491   0.99637   -0.05362   0.06894   100.71106
20   0.08484   0.99628   -0.05271   0.06891   0.08484   0.99628   -0.05271   0.06891   100.69885
21   0.08492   0.99637   -0.05295   0.06928   0.08492   0.99637   -0.05295   0.06928   100.65613
22   0.08491   0.99628   -0.05356   0.06900   0.08491   0.99628   -0.05356   0.06900   100.71106
23   0.08487   0.99631   -0.05322   0.06830   0.08487   0.99631   -0.05322   0.06830   100.71106
24   0.08480   0.99634   -0.05277   0.06943   0.08480   0.99634   -0.05277   0.06943   100.65613
25   0.08485   0.99631   -0.05292   0.06928   0.08485   0.99631   -0.05292   0.06928   100.67749
26   0.08489   0.99634   -0.05313   0.06906   0.08489   0.99634   -0.05313   0.06906   100.69885
27   0.08486   0.99628   -0.05286   0.06885   0.08486   0.99628   -0.05286   0.06885   100.68970
28   0.08493   0.99628   -0.05310   0.06894   0.08493   0.99628   -0.05310   0.06894   100.67749
29   0.08491   0.99628   -0.05301   0.06842   0.08491   0.99628   -0.05301   0.06842   100.71106
30   0.08486   0.99637   -0.05292   0.06922   0.08486   0.99637   -0.05292   0.06922   100.69885
31   0.08498   0.99628   -0.05313   0.06900   0.08498   0.99628   -0.05313   0.06900   100.63477
32   0.08501   0.99637   -0.05313   0.06885   0.08501   0.99637   -0.05313   0.06885   100.67749
33   0.08506   0.99634   -0.05335   0.06851   0.08506   0.99634   -0.05335   0.06851   100.70801
34   0.08493   0.99631   -0.05310   0.06912   0.08493   0.99631   -0.05310   0.06912   100.71106
35   0.08496   0.99631   -0.05335   0.06900   0.08496   0.99631   -0.05335   0.06900   100.62256
36   0.08498   0.99637   -0.05322   0.06824   0.08498   0.99637   -0.05322   0.06824   100.70801
37   0.08498   0.99637   -0.05374   0.06882   0.08498   0.99637   -0.05374   0.06882   100.70801
38   0.08500   0.99628   -0.05347   0.06955   0.08500   0.99628   -0.05347   0.06955   100.65613
39   0.08488   0.99631   -0.05350   0.06903   0.08488   0.99631   -0.05350   0.06903   100.61340
40   0.08486   0.99634   -0.05280   0.06879   0.08486   0.99634   -0.05280   0.06879   100.69885
41   0.08497   0.99628   -0.05322   0.06891   0.08497   0.99628   -0.05322   0.06891   100.71106
42   0.08497   0.99634   -0.05322   0.06906   0.08497   0.99634   -0.05322   0.06906   100.63477
43   0.08498   0.99631   -0.05332   0.06851   0.08498   0.99631   -0.05332   0.06851   100.64392
44   0.08491   0.99628   -0.05329   0.06873   0.08491   0.99628   -0.05329   0.06873   100.71106
45   0.08495   0.99637   -0.05353   0.06851   0.08495   0.99637   -0.05353   0.06851   100.71106
46   0.08500   0.99631   -0.05301   0.06894   0.08500   0.99631   -0.05301   0.06894   100.64392
47   0.08495   0.99634   -0.05338   0.06867   0.08495   0.99634   -0.05338   0.06867   100.65613
48   0.08495   0.99637   -0.05341   0.06839   0.08495   0.99637   -0.05341   0.06839   100.71106
49   0.08497   0.99634   -0.05301   0.06891   0.08497   0.99634   -0.05301   0.06891   100.68665
50   0.08497   0.99628   -0.05325   0.06922   0.08497   0.99628   -0.05325   0.06922   100.63477
51   0.08497   0.99634   -0.05325   0.06934   0.08497   0.99634   -0.05325   0.06934   100.69885
52   0.08491   0.99634   -0.05289   0.06885   0.08491   0.99634   -0.05289   0.06885   100.69885
53   0.08493   0.99628   -0.05274   0.06961   0.08493   0.99628   -0.05274   0.06961   100.65613
54   0.08483   0.99631   -0.05277   0.06900   0.08483   0.99631   -0.05277   0.06900   100.69885
55   0.08482   0.99628   -0.05313   0.06879   0.08482   0.99628   -0.05313   0.06879   100.71106
