Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:40:11 5/17/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.11175   0.92862   0.33827   -0.15320   0.11175   0.92862   0.33827   -0.15320   95.73669
2   0.11184   0.92840   0.33900   -0.15256   0.11184   0.92840   0.33900   -0.15256   95.67566
3   0.11171   0.92856   0.33851   -0.15293   0.11171   0.92856   0.33851   -0.15293   95.79468
4   0.11166   0.92840   0.33854   -0.15387   0.11166   0.92840   0.33854   -0.15387   95.79163
5   0.11171   0.92859   0.33821   -0.15366   0.11171   0.92859   0.33821   -0.15366   95.75195
6   0.11158   0.92819   0.33940   -0.15326   0.11158   0.92819   0.33940   -0.15326   95.68176
7   0.11162   0.92819   0.33943   -0.15314   0.11162   0.92819   0.33943   -0.15314   95.77332
8   0.11170   0.92804   0.33961   -0.15329   0.11170   0.92804   0.33961   -0.15329   95.77026
9   0.11181   0.92788   0.34040   -0.15271   0.11181   0.92788   0.34040   -0.15271   95.69092
10   0.11157   0.92761   0.34068   -0.15384   0.11157   0.92761   0.34068   -0.15384   95.68176
11   0.11148   0.92813   0.33946   -0.15345   0.11148   0.92813   0.33946   -0.15345   95.77026
12   0.11169   0.92795   0.33982   -0.15409   0.11169   0.92795   0.33982   -0.15409   95.76721
13   0.11184   0.92779   0.34053   -0.15366   0.11184   0.92779   0.34053   -0.15366   95.66650
14   0.11176   0.92788   0.33995   -0.15378   0.11176   0.92788   0.33995   -0.15378   95.70618
15   0.11168   0.92804   0.33912   -0.15500   0.11168   0.92804   0.33912   -0.15500   95.78552
16   0.11167   0.92804   0.33992   -0.15281   0.11167   0.92804   0.33992   -0.15281   95.75195
17   0.11171   0.92782   0.34056   -0.15275   0.11171   0.92782   0.34056   -0.15275   95.68787
18   0.11171   0.92792   0.34037   -0.15275   0.11171   0.92792   0.34037   -0.15275   95.67871
19   0.11156   0.92776   0.34019   -0.15436   0.11156   0.92776   0.34019   -0.15436   95.78857
20   0.11169   0.92792   0.34053   -0.15259   0.11169   0.92792   0.34053   -0.15259   95.74280
21   0.11174   0.92785   0.34065   -0.15229   0.11174   0.92785   0.34065   -0.15229   95.69702
22   0.11166   0.92758   0.34144   -0.15281   0.11166   0.92758   0.34144   -0.15281   95.69397
23   0.11158   0.92761   0.34089   -0.15290   0.11158   0.92761   0.34089   -0.15290   95.76416
24   0.11169   0.92758   0.34135   -0.15275   0.11169   0.92758   0.34135   -0.15275   95.70313
25   0.11171   0.92764   0.34056   -0.15433   0.11171   0.92764   0.34056   -0.15433   95.72754
26   0.11170   0.92746   0.34114   -0.15390   0.11170   0.92746   0.34114   -0.15390   95.72754
27   0.11168   0.92737   0.34141   -0.15363   0.11168   0.92737   0.34141   -0.15363   95.74280
28   0.11170   0.92727   0.34184   -0.15354   0.11170   0.92727   0.34184   -0.15354   95.69397
29   0.11171   0.92743   0.34175   -0.15287   0.11171   0.92743   0.34175   -0.15287   95.66345
30   0.11163   0.92788   0.34013   -0.15326   0.11163   0.92788   0.34013   -0.15326   95.74280
31   0.11156   0.92730   0.34156   -0.15409   0.11156   0.92730   0.34156   -0.15409   95.73059
32   0.11155   0.92770   0.34123   -0.15217   0.11155   0.92770   0.34123   -0.15217   95.70618
33   0.11164   0.92761   0.34117   -0.15241   0.11164   0.92761   0.34117   -0.15241   95.71838
34   0.11156   0.92737   0.34208   -0.15229   0.11156   0.92737   0.34208   -0.15229   95.72144
35   0.11162   0.92764   0.34135   -0.15238   0.11162   0.92764   0.34135   -0.15238   95.72449
36   0.11167   0.92740   0.34178   -0.15275   0.11167   0.92740   0.34178   -0.15275   95.69397
37   0.11164   0.92724   0.34193   -0.15329   0.11164   0.92724   0.34193   -0.15329   95.73364
38   0.11164   0.92721   0.34153   -0.15409   0.11164   0.92721   0.34153   -0.15409   95.74890
39   0.11171   0.92724   0.34178   -0.15357   0.11171   0.92724   0.34178   -0.15357   95.69702
40   0.11172   0.92767   0.34098   -0.15302   0.11172   0.92767   0.34098   -0.15302   95.67261
41   0.11175   0.92740   0.34159   -0.15320   0.11175   0.92740   0.34159   -0.15320   95.73669
42   0.11165   0.92730   0.34144   -0.15412   0.11165   0.92730   0.34144   -0.15412   95.75195
43   0.11170   0.92727   0.34190   -0.15314   0.11170   0.92727   0.34190   -0.15314   95.67871
44   0.11163   0.92740   0.34159   -0.15363   0.11163   0.92740   0.34159   -0.15363   95.67566
45   0.11155   0.92694   0.34220   -0.15418   0.11155   0.92694   0.34220   -0.15418   95.77026
46   0.11164   0.92721   0.34205   -0.15308   0.11164   0.92721   0.34205   -0.15308   95.73364
47   0.11168   0.92740   0.34178   -0.15287   0.11168   0.92740   0.34178   -0.15287   95.66040
48   0.11170   0.92724   0.34196   -0.15314   0.11170   0.92724   0.34196   -0.15314   95.72754
49   0.11164   0.92770   0.34089   -0.15299   0.11164   0.92770   0.34089   -0.15299   95.74890
50   0.11169   0.92773   0.34074   -0.15287   0.11169   0.92773   0.34074   -0.15287   95.71228
51   0.11176   0.92743   0.34220   -0.15143   0.11176   0.92743   0.34220   -0.15143   95.66345
