Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:41:41 5/17/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.10475   0.56847   -0.70241   -0.42839   0.10475   0.56847   -0.70241   -0.42839   107.41882
2   0.10469   0.57009   -0.70125   -0.42821   0.10469   0.57009   -0.70125   -0.42821   107.51953
3   0.10464   0.57039   -0.70165   -0.42717   0.10464   0.57039   -0.70165   -0.42717   107.46155
4   0.10453   0.56929   -0.70238   -0.42729   0.10453   0.56929   -0.70238   -0.42729   107.42493
5   0.10476   0.57329   -0.69964   -0.42659   0.10476   0.57329   -0.69964   -0.42659   107.44324
6   0.10474   0.56835   -0.70388   -0.42625   0.10474   0.56835   -0.70388   -0.42625   107.52563
7   0.10469   0.56453   -0.70519   -0.42912   0.10469   0.56453   -0.70519   -0.42912   107.48596
8   0.10463   0.56810   -0.69970   -0.43315   0.10463   0.56810   -0.69970   -0.43315   107.35779
9   0.10462   0.56725   -0.70034   -0.43348   0.10462   0.56725   -0.70034   -0.43348   107.40356
10   0.10449   0.56459   -0.70281   -0.43275   0.10449   0.56459   -0.70281   -0.43275   107.47986
11   0.10457   0.56078   -0.70629   -0.43229   0.10457   0.56078   -0.70629   -0.43229   107.42188
12   0.10463   0.56075   -0.70425   -0.43556   0.10463   0.56075   -0.70425   -0.43556   107.37610
13   0.10473   0.56722   -0.70327   -0.42866   0.10473   0.56722   -0.70327   -0.42866   107.48291
14   0.10471   0.56636   -0.70357   -0.42933   0.10471   0.56636   -0.70357   -0.42933   107.47375
15   0.10479   0.57064   -0.69933   -0.43068   0.10479   0.57064   -0.69933   -0.43068   107.36389
16   0.10478   0.56737   -0.70125   -0.43199   0.10478   0.56737   -0.70125   -0.43199   107.39136
17   0.10479   0.57030   -0.70443   -0.42286   0.10479   0.57030   -0.70443   -0.42286   107.50427
18   0.10465   0.56316   -0.70547   -0.43052   0.10465   0.56316   -0.70547   -0.43052   107.47070
19   0.10467   0.56673   -0.70000   -0.43455   0.10467   0.56673   -0.70000   -0.43455   107.36389
20   0.10463   0.56865   -0.70040   -0.43159   0.10463   0.56865   -0.70040   -0.43159   107.43713
21   0.10462   0.56896   -0.70013   -0.43141   0.10462   0.56896   -0.70013   -0.43141   107.47375
22   0.10478   0.56813   -0.70043   -0.43217   0.10478   0.56813   -0.70043   -0.43217   107.39136
23   0.10480   0.57982   -0.69863   -0.41929   0.10480   0.57982   -0.69863   -0.41929   107.44934
24   0.10447   0.56752   -0.70025   -0.43318   0.10447   0.56752   -0.70025   -0.43318   107.42188
25   0.10467   0.57064   -0.70089   -0.42814   0.10467   0.57064   -0.70089   -0.42814   107.48596
26   0.10495   0.57112   -0.70092   -0.42738   0.10495   0.57112   -0.70092   -0.42738   107.39746
