Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 16:25:24 5/18/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.07942   0.89410   -0.40712   0.18702   0.07942   0.89410   -0.40712   0.18702   102.16675
2   0.07936   0.89404   -0.40696   0.18787   0.07936   0.89404   -0.40696   0.18787   102.23694
3   0.07935   0.89395   -0.40742   0.18693   0.07935   0.89395   -0.40742   0.18693   102.26135
4   0.07941   0.89462   -0.40553   0.18781   0.07941   0.89462   -0.40553   0.18781   102.15454
5   0.07937   0.89450   -0.40660   0.18635   0.07937   0.89450   -0.40660   0.18635   102.17896
6   0.07924   0.89499   -0.40577   0.18607   0.07924   0.89499   -0.40577   0.18607   102.25220
7   0.07929   0.89474   -0.40635   0.18595   0.07929   0.89474   -0.40635   0.18595   102.23999
8   0.07935   0.89434   -0.40660   0.18766   0.07935   0.89434   -0.40660   0.18766   102.13318
9   0.07936   0.89462   -0.40660   0.18574   0.07936   0.89462   -0.40660   0.18574   102.21252
10   0.07929   0.89459   -0.40645   0.18644   0.07929   0.89459   -0.40645   0.18644   102.26135
11   0.07935   0.89441   -0.40706   0.18622   0.07935   0.89441   -0.40706   0.18622   102.16675
12   0.07938   0.89441   -0.40669   0.18690   0.07938   0.89441   -0.40669   0.18690   102.13318
13   0.07914   0.89441   -0.40654   0.18729   0.07914   0.89441   -0.40654   0.18729   102.20947
14   0.07922   0.89477   -0.40580   0.18683   0.07922   0.89477   -0.40580   0.18683   102.28577
15   0.07945   0.89471   -0.40571   0.18732   0.07945   0.89471   -0.40571   0.18732   102.15454
16   0.07951   0.89404   -0.40761   0.18647   0.07951   0.89404   -0.40761   0.18647   102.15149
17   0.07936   0.89496   -0.40605   0.18549   0.07936   0.89496   -0.40605   0.18549   102.21252
18   0.07926   0.89462   -0.40623   0.18702   0.07926   0.89462   -0.40623   0.18702   102.28577
19   0.07938   0.89471   -0.40544   0.18769   0.07938   0.89471   -0.40544   0.18769   102.17896
20   0.07938   0.89474   -0.40602   0.18659   0.07938   0.89474   -0.40602   0.18659   102.12097
21   0.07935   0.89450   -0.40629   0.18726   0.07935   0.89450   -0.40629   0.18726   102.26135
22   0.07929   0.89502   -0.40553   0.18628   0.07929   0.89502   -0.40553   0.18628   102.23999
23   0.07942   0.89523   -0.40492   0.18671   0.07942   0.89523   -0.40492   0.18671   102.10876
24   0.07942   0.89465   -0.40672   0.18555   0.07942   0.89465   -0.40672   0.18555   102.17590
25   0.07936   0.89459   -0.40635   0.18653   0.07936   0.89459   -0.40635   0.18653   102.25830
26   0.07934   0.89483   -0.40565   0.18665   0.07934   0.89483   -0.40565   0.18665   102.23694
27   0.07945   0.89547   -0.40443   0.18647   0.07945   0.89547   -0.40443   0.18647   102.14233
28   0.07947   0.89465   -0.40626   0.18696   0.07947   0.89465   -0.40626   0.18696   102.14233
29   0.07938   0.89486   -0.40608   0.18616   0.07938   0.89486   -0.40608   0.18616   102.24609
30   0.07940   0.89483   -0.40593   0.18668   0.07940   0.89483   -0.40593   0.18668   102.21252
31   0.07944   0.89465   -0.40580   0.18726   0.07944   0.89465   -0.40580   0.18726   102.16675
32   0.07951   0.89428   -0.40764   0.18546   0.07951   0.89428   -0.40764   0.18546   102.20947
33   0.07937   0.89456   -0.40641   0.18641   0.07937   0.89456   -0.40641   0.18641   102.23694
34   0.07921   0.89496   -0.40556   0.18632   0.07921   0.89496   -0.40556   0.18632   102.19421
35   0.07930   0.89459   -0.40638   0.18650   0.07930   0.89459   -0.40638   0.18650   102.18201
36   0.07936   0.89474   -0.40568   0.18683   0.07936   0.89474   -0.40568   0.18683   102.24915
37   0.07945   0.89471   -0.40614   0.18647   0.07945   0.89471   -0.40614   0.18647   102.22168
38   0.07943   0.89468   -0.40593   0.18735   0.07943   0.89468   -0.40593   0.18735   102.16675
39   0.07933   0.89499   -0.40587   0.18613   0.07933   0.89499   -0.40587   0.18613   102.21558
40   0.07933   0.89471   -0.40629   0.18601   0.07933   0.89471   -0.40629   0.18601   102.26135
41   0.07939   0.89468   -0.40648   0.18613   0.07939   0.89468   -0.40648   0.18613   102.20032
42   0.07946   0.89492   -0.40587   0.18610   0.07946   0.89492   -0.40587   0.18610   102.14233
43   0.07939   0.89480   -0.40599   0.18601   0.07939   0.89480   -0.40599   0.18601   102.22473
44   0.07938   0.89508   -0.40568   0.18580   0.07938   0.89508   -0.40568   0.18580   102.24609
45   0.07941   0.89465   -0.40623   0.18662   0.07941   0.89465   -0.40623   0.18662   102.14233
46   0.07945   0.89456   -0.40596   0.18763   0.07945   0.89456   -0.40596   0.18763   102.09656
47   0.07928   0.89477   -0.40580   0.18671   0.07928   0.89477   -0.40580   0.18671   102.21558
48   0.07936   0.89505   -0.40532   0.18683   0.07936   0.89505   -0.40532   0.18683   102.25830
49   0.07948   0.89496   -0.40544   0.18702   0.07948   0.89496   -0.40544   0.18702   102.13013
50   0.07921   0.89465   -0.40562   0.18741   0.07921   0.89465   -0.40562   0.18741   102.13623
51   0.07922   0.89468   -0.40596   0.18683   0.07922   0.89468   -0.40596   0.18683   102.25220
52   0.07939   0.89450   -0.40681   0.18641   0.07939   0.89450   -0.40681   0.18641   102.22473
53   0.07943   0.89459   -0.40657   0.18650   0.07943   0.89459   -0.40657   0.18650   102.15454
54   0.07929   0.89496   -0.40513   0.18738   0.07929   0.89496   -0.40513   0.18738   102.18201
55   0.07927   0.89526   -0.40541   0.18574   0.07927   0.89526   -0.40541   0.18574   102.25220
56   0.07937   0.89511   -0.40458   0.18787   0.07937   0.89511   -0.40458   0.18787   102.22473
57   0.07943   0.89511   -0.40468   0.18793   0.07943   0.89511   -0.40468   0.18793   102.10876
58   0.07937   0.89477   -0.40611   0.18665   0.07937   0.89477   -0.40611   0.18665   102.15454
59   0.07928   0.89465   -0.40608   0.18680   0.07928   0.89465   -0.40608   0.18680   102.24915
60   0.07931   0.89477   -0.40590   0.18708   0.07931   0.89477   -0.40590   0.18708   102.24915
61   0.07933   0.89496   -0.40550   0.18622   0.07933   0.89496   -0.40550   0.18622   102.13318
