Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:32:50 5/19/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.04749   0.09668   -0.97736   -0.18888   0.04749   0.09668   -0.97736   -0.18888   100.03662
2   0.04754   0.09711   -0.97717   -0.18952   0.04754   0.09711   -0.97717   -0.18952   100.08850
3   0.04750   0.09775   -0.97671   -0.19120   0.04750   0.09775   -0.97671   -0.19120   100.24414
4   0.04747   0.09561   -0.97708   -0.19047   0.04747   0.09561   -0.97708   -0.19047   100.20447
5   0.04750   0.09387   -0.97653   -0.19407   0.04750   0.09387   -0.97653   -0.19407   100.14648
6   0.04755   0.09644   -0.97665   -0.19233   0.04755   0.09644   -0.97665   -0.19233   100.23499
7   0.04753   0.09647   -0.97674   -0.19181   0.04753   0.09647   -0.97674   -0.19181   100.24414
8   0.04751   0.09604   -0.97702   -0.19089   0.04751   0.09604   -0.97702   -0.19089   100.18616
9   0.04757   0.10019   -0.97638   -0.19129   0.04757   0.10019   -0.97638   -0.19129   100.24414
10   0.04752   0.09561   -0.97671   -0.19248   0.04752   0.09561   -0.97671   -0.19248   100.22583
11   0.04750   0.09790   -0.97693   -0.18961   0.04750   0.09790   -0.97693   -0.18961   100.20447
12   0.04751   0.09619   -0.97696   -0.19062   0.04751   0.09619   -0.97696   -0.19062   100.11597
13   0.04744   0.09522   -0.97705   -0.19114   0.04744   0.09522   -0.97705   -0.19114   100.07629
14   0.04745   0.09577   -0.97720   -0.18961   0.04745   0.09577   -0.97720   -0.18961   100.18616
15   0.04748   0.09821   -0.97678   -0.19062   0.04748   0.09821   -0.97678   -0.19062   100.24414
16   0.04756   0.09836   -0.97693   -0.18979   0.04756   0.09836   -0.97693   -0.18979   100.06714
17   0.04754   0.09638   -0.97699   -0.19037   0.04754   0.09638   -0.97699   -0.19037   100.13733
