Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 14:52:56 5/19/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05132   0.06787   -0.99753   -0.01584   0.05132   0.06787   -0.99753   -0.01584   97.76306
2   0.05121   0.06641   -0.99765   -0.01700   0.05121   0.06641   -0.99765   -0.01700   97.90344
3   0.05112   0.06677   -0.99762   -0.01495   0.05112   0.06677   -0.99762   -0.01495   97.93701
4   0.05117   0.06693   -0.99768   -0.01621   0.05117   0.06693   -0.99768   -0.01621   97.83020
5   0.05121   0.06705   -0.99768   -0.01529   0.05121   0.06705   -0.99768   -0.01529   97.74780
6   0.05112   0.06735   -0.99765   -0.01636   0.05112   0.06735   -0.99765   -0.01636   97.96448
7   0.05108   0.06586   -0.99777   -0.01654   0.05108   0.06586   -0.99777   -0.01654   97.94312
8   0.05120   0.06717   -0.99765   -0.01611   0.05120   0.06717   -0.99765   -0.01611   97.72949
9   0.05120   0.06702   -0.99777   -0.01379   0.05120   0.06702   -0.99777   -0.01379   97.72949
10   0.05117   0.06861   -0.99759   -0.01569   0.05117   0.06861   -0.99759   -0.01569   97.98279
11   0.05114   0.06708   -0.99765   -0.01523   0.05114   0.06708   -0.99765   -0.01523   97.88208
12   0.05126   0.06656   -0.99768   -0.01648   0.05126   0.06656   -0.99768   -0.01648   97.74170
13   0.05123   0.06717   -0.99762   -0.01575   0.05123   0.06717   -0.99762   -0.01575   97.83936
14   0.05117   0.06540   -0.99777   -0.01715   0.05117   0.06540   -0.99777   -0.01715   97.91260
15   0.05117   0.06528   -0.99774   -0.01602   0.05117   0.06528   -0.99774   -0.01602   97.80884
16   0.05119   0.06677   -0.99765   -0.01642   0.05119   0.06677   -0.99765   -0.01642   97.78442
17   0.05107   0.06558   -0.99771   -0.01480   0.05107   0.06558   -0.99771   -0.01480   97.84241
18   0.05091   0.06598   -0.99774   -0.01675   0.05091   0.06598   -0.99774   -0.01675   97.92786
19   0.05111   0.06668   -0.99768   -0.01666   0.05111   0.06668   -0.99768   -0.01666   97.80884
20   0.05122   0.06693   -0.99762   -0.01648   0.05122   0.06693   -0.99762   -0.01648   97.83020
21   0.05116   0.06561   -0.99780   -0.01718   0.05116   0.06561   -0.99780   -0.01718   97.86377
22   0.05111   0.06406   -0.99783   -0.01590   0.05111   0.06406   -0.99783   -0.01590   97.80884
23   0.05114   0.06619   -0.99777   -0.01553   0.05114   0.06619   -0.99777   -0.01553   97.73560
24   0.05118   0.06653   -0.99765   -0.01627   0.05118   0.06653   -0.99765   -0.01627   97.83936
25   0.05117   0.06656   -0.99777   -0.01480   0.05117   0.06656   -0.99777   -0.01480   97.87598
26   0.05119   0.06439   -0.99783   -0.01431   0.05119   0.06439   -0.99783   -0.01431   97.73865
27   0.05119   0.06528   -0.99774   -0.01578   0.05119   0.06528   -0.99774   -0.01578   97.75696
28   0.05114   0.06458   -0.99789   -0.01773   0.05114   0.06458   -0.99789   -0.01773   97.88208
29   0.05111   0.06558   -0.99774   -0.01804   0.05111   0.06558   -0.99774   -0.01804   97.86377
30   0.05115   0.06503   -0.99777   -0.01712   0.05115   0.06503   -0.99777   -0.01712   97.72644
31   0.05118   0.06470   -0.99780   -0.01617   0.05118   0.06470   -0.99780   -0.01617   97.72949
32   0.05107   0.06436   -0.99783   -0.01721   0.05107   0.06436   -0.99783   -0.01721   97.91565
33   0.05114   0.06540   -0.99780   -0.01691   0.05114   0.06540   -0.99780   -0.01691   97.86377
34   0.05122   0.06406   -0.99789   -0.01682   0.05122   0.06406   -0.99789   -0.01682   97.69287
35   0.05124   0.06491   -0.99777   -0.01770   0.05124   0.06491   -0.99777   -0.01770   97.80579
36   0.05117   0.06232   -0.99799   -0.01953   0.05117   0.06232   -0.99799   -0.01953   97.89429
37   0.05118   0.06284   -0.99799   -0.01740   0.05118   0.06284   -0.99799   -0.01740   97.82104
38   0.05126   0.06311   -0.99783   -0.01852   0.05126   0.06311   -0.99783   -0.01852   97.68677
39   0.05127   0.06412   -0.99771   -0.01953   0.05127   0.06412   -0.99771   -0.01953   97.83325
40   0.05116   0.06406   -0.99780   -0.01816   0.05116   0.06406   -0.99780   -0.01816   98.01941
41   0.05119   0.06342   -0.99780   -0.01840   0.05119   0.06342   -0.99780   -0.01840   97.79358
42   0.05121   0.06296   -0.99796   -0.01755   0.05121   0.06296   -0.99796   -0.01755   97.67456
43   0.05113   0.06418   -0.99786   -0.01901   0.05113   0.06418   -0.99786   -0.01901   97.88208
44   0.05110   0.06330   -0.99783   -0.01868   0.05110   0.06330   -0.99783   -0.01868   97.92786
