	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
0.70000	0.23904	0.09378	-0.22138	-0.97073	99.92065	99.92065
1.50000	0.23922	0.09299	-0.22257	-0.97046	99.97559	99.97559
2.30000	0.23896	0.09229	-0.22309	-0.97049	99.95422	99.95422
3.10000	0.23881	0.09250	-0.22297	-0.97049	99.91150	99.91150
3.90000	0.23988	0.09290	-0.22364	-0.97031	99.97559	99.97559
0.50000	0.23902	0.09342	-0.22361	-0.97021	99.91150	99.91150
1.30000	0.23875	0.09189	-0.22578	-0.96991	99.95422	99.95422
2.10000	0.23841	0.09095	-0.22794	-0.96939	99.91150	99.91150
2.90000	0.23888	0.09088	-0.22748	-0.96957	99.94507	99.94507
3.70000	0.23886	0.09030	-0.22803	-0.96945	99.93286	99.93286
0.30000	0.23975	0.08933	-0.23014	-0.96918	99.92371	99.92371
1.10000	0.23909	0.08905	-0.23005	-0.96924	99.92065	99.92065
1.90000	0.23909	0.08918	-0.23191	-0.96863	99.92065	99.92065
2.70000	0.23922	0.08829	-0.23151	-0.96881	99.87793	99.87793
3.50000	0.23922	0.08829	-0.23301	-0.96850	99.94507	99.94507
0.10000	0.23896	0.08826	-0.23304	-0.96857	99.95422	99.95422
0.90000	0.23902	0.08860	-0.23319	-0.96838	99.89929	99.89929
1.70000	0.23946	0.08765	-0.23347	-0.96844	100.00000	100.00000
2.50000	0.23902	0.08658	-0.23276	-0.96875	99.89014	99.89014
3.30000	0.23917	0.08628	-0.23438	-0.96835	99.92065	99.92065
4.10000	0.23943	0.08625	-0.23350	-0.96860	99.94507	99.94507
0.70000	0.23967	0.08451	-0.23502	-0.96838	99.87793	99.87793
1.50000	0.23936	0.08472	-0.23432	-0.96860	99.92065	99.92065
2.30000	0.23936	0.08371	-0.23692	-0.96805	99.86877	99.86877
3.10000	0.23959	0.08356	-0.23679	-0.96802	99.82300	99.82300
3.90000	0.23904	0.08267	-0.23789	-0.96783	99.81384	99.81384
0.50000	0.23943	0.08310	-0.23743	-0.96786	99.86877	99.86877
1.30000	0.23928	0.08249	-0.23869	-0.96753	99.92065	99.92065
2.10000	0.23902	0.08164	-0.24030	-0.96735	99.94507	99.94507
2.90000	0.23909	0.08176	-0.24091	-0.96725	99.89014	99.89014
3.70000	0.23870	0.08179	-0.23984	-0.96735	99.83521	99.83521
0.30000	0.23907	0.08078	-0.24165	-0.96710	99.89929	99.89929
1.10000	0.23975	0.08005	-0.24149	-0.96719	99.86877	99.86877
1.90000	0.23899	0.07968	-0.24210	-0.96707	99.87793	99.87793
2.70000	0.23930	0.07965	-0.24198	-0.96701	99.89929	99.89929
3.50000	0.23930	0.07871	-0.24323	-0.96677	99.83521	99.83521
0.10000	0.23936	0.07859	-0.24308	-0.96689	99.86877	99.86877
0.90000	0.23904	0.07862	-0.24366	-0.96664	99.93286	99.93286
1.70000	0.23967	0.07849	-0.24351	-0.96670	99.85657	99.85657
2.50000	0.23933	0.07685	-0.24445	-0.96664	99.79248	99.79248
3.30000	0.23943	0.07724	-0.24439	-0.96670	99.87793	99.87793
4.10000	0.23946	0.07810	-0.24360	-0.96673	99.83521	99.83521
0.70000	0.23891	0.07761	-0.24445	-0.96658	99.89929	99.89929
1.50000	0.23938	0.07675	-0.24479	-0.96655	99.86877	99.86877
2.30000	0.23909	0.07636	-0.24567	-0.96646	99.83521	99.83521
3.10000	0.23938	0.07566	-0.24561	-0.96649	99.83521	99.83521
3.90000	0.23962	0.07630	-0.24561	-0.96637	99.84741	99.84741
0.50000	0.23943	0.07590	-0.24540	-0.96655	99.79248	99.79248
1.30000	0.23894	0.07462	-0.24668	-0.96631	99.85657	99.85657
2.10000	0.23975	0.07443	-0.24665	-0.96628	99.89014	99.89014
2.90000	0.23920	0.07395	-0.24769	-0.96609	99.83521	99.83521
3.70000	0.23954	0.07334	-0.24830	-0.96594	99.84741	99.84741
0.30000	0.24016	0.07297	-0.24778	-0.96612	99.89014	99.89014
1.10000	0.23959	0.07327	-0.24854	-0.96579	99.85657	99.85657
1.90000	0.23946	0.07334	-0.24998	-0.96548	99.84436	99.84436
2.70000	0.23956	0.07315	-0.24928	-0.96576	99.89014	99.89014
3.50000	0.23967	0.07257	-0.24897	-0.96588	99.84741	99.84741
0.10000	0.23936	0.07224	-0.25010	-0.96558	99.82300	99.82300
0.90000	0.24001	0.07175	-0.25040	-0.96554	99.81384	99.81384
1.70000	0.23839	0.07071	-0.24931	-0.96585	99.86572	99.86572
2.50000	0.23933	0.07093	-0.25147	-0.96530	99.86877	99.86877
3.30000	0.23982	0.07083	-0.25123	-0.96530	99.87793	99.87793
4.10000	0.24029	0.06983	-0.25220	-0.96521	99.87793	99.87793
0.70000	0.23909	0.07031	-0.25175	-0.96521	99.87793	99.87793
1.50000	0.23948	0.06925	-0.25260	-0.96515	99.80164	99.80164
2.30000	0.23936	0.07001	-0.25208	-0.96530	99.82300	99.82300
3.10000	0.23977	0.06903	-0.25269	-0.96512	99.80164	99.80164
3.90000	0.23948	0.06790	-0.25318	-0.96506	99.85657	99.85657
0.50000	0.24022	0.06735	-0.25257	-0.96524	99.83521	99.83521
1.30000	0.23959	0.06833	-0.25422	-0.96475	99.80164	99.80164
2.10000	0.24055	0.06821	-0.25391	-0.96487	99.85657	99.85657
2.90000	0.23938	0.06766	-0.25404	-0.96484	99.84436	99.84436
3.70000	0.23975	0.06793	-0.25431	-0.96475	99.89014	99.89014
0.30000	0.23938	0.06842	-0.25294	-0.96518	99.79248	99.79248
1.10000	0.24035	0.06769	-0.25401	-0.96487	99.82605	99.82605
1.90000	0.23938	0.06677	-0.25465	-0.96487	99.82300	99.82300
2.70000	0.23943	0.06607	-0.25523	-0.96469	99.81384	99.81384
3.50000	0.23980	0.06549	-0.25513	-0.96475	99.82300	99.82300
0.10000	0.23954	0.06412	-0.25517	-0.96487	99.80164	99.80164
0.90000	0.23951	0.06369	-0.25623	-0.96448	99.81384	99.81384
1.70000	0.23907	0.06467	-0.25486	-0.96493	99.81384	99.81384
2.50000	0.23951	0.06381	-0.25541	-0.96478	99.84436	99.84436
3.30000	0.23920	0.06363	-0.25623	-0.96457	99.76807	99.76807
4.10000	0.23969	0.06314	-0.25651	-0.96457	99.85657	99.85657
0.70000	0.23967	0.06235	-0.25669	-0.96454	99.80164	99.80164
1.50000	0.23896	0.06201	-0.25697	-0.96445	99.85657	99.85657
2.30000	0.24022	0.06122	-0.25867	-0.96405	99.80164	99.80164
3.10000	0.23925	0.05994	-0.25712	-0.96457	99.80164	99.80164
3.90000	0.23933	0.05972	-0.25736	-0.96445	99.83521	99.83521
0.50000	0.23967	0.05927	-0.25800	-0.96435	99.83521	99.83521
1.30000	0.23962	0.05945	-0.25880	-0.96411	99.82300	99.82300
2.10000	0.23975	0.05893	-0.25950	-0.96393	99.77112	99.77112
2.90000	0.23948	0.05914	-0.25849	-0.96429	99.78027	99.78027
3.70000	0.23933	0.05890	-0.25813	-0.96442	99.83521	99.83521
0.30000	0.23988	0.05792	-0.25913	-0.96414	99.84741	99.84741
1.10000	0.23943	0.05829	-0.25858	-0.96423	99.83521	99.83521
1.90000	0.24029	0.05808	-0.25816	-0.96442	99.83521	99.83521
2.70000	0.23946	0.05765	-0.25840	-0.96438	99.89014	99.89014
3.50000	0.23962	0.05744	-0.25944	-0.96411	99.81384	99.81384
0.10000	0.23925	0.05783	-0.25861	-0.96429	99.82300	99.82300
0.90000	0.23943	0.05686	-0.25910	-0.96426	99.80164	99.80164
1.70000	0.23920	0.05646	-0.25947	-0.96411	99.85657	99.85657
2.50000	0.23956	0.05622	-0.25901	-0.96426	99.82300	99.82300
3.30000	0.24019	0.05564	-0.25892	-0.96432	99.85657	99.85657
4.10000	0.23964	0.05484	-0.25941	-0.96426	99.78027	99.78027
0.70000	0.23975	0.05393	-0.25959	-0.96423	99.75891	99.75891
1.50000	0.24003	0.05451	-0.25974	-0.96411	99.83521	99.83521
2.30000	0.23951	0.05353	-0.25974	-0.96417	99.84436	99.84436
3.10000	0.23988	0.05216	-0.26041	-0.96411	99.77112	99.77112
3.90000	0.23946	0.05243	-0.26066	-0.96408	99.76807	99.76807
0.50000	0.24014	0.05191	-0.25974	-0.96432	99.74976	99.74976
1.30000	0.23995	0.05216	-0.25987	-0.96423	99.82300	99.82300
2.10000	0.23980	0.05145	-0.25929	-0.96445	99.80164	99.80164
2.90000	0.23962	0.05188	-0.25965	-0.96426	99.80164	99.80164
3.70000	0.23977	0.05036	-0.26157	-0.96393	99.79248	99.79248
0.30000	0.24003	0.04965	-0.26130	-0.96405	99.75891	99.75891
1.10000	0.24022	0.05008	-0.26072	-0.96414	99.79248	99.79248
1.90000	0.23962	0.05020	-0.26115	-0.96393	99.81384	99.81384
2.70000	0.24014	0.04971	-0.26081	-0.96411	99.81384	99.81384
3.50000	0.23946	0.04965	-0.26063	-0.96411	99.80164	99.80164
0.10000	0.23959	0.05029	-0.26130	-0.96399	99.84741	99.84741
0.90000	0.23915	0.05029	-0.25983	-0.96435	99.78027	99.78027
1.70000	0.23962	0.05097	-0.26002	-0.96432	99.81384	99.81384
2.50000	0.23980	0.05045	-0.26017	-0.96429	99.82300	99.82300
3.30000	0.24029	0.04947	-0.26026	-0.96432	99.83521	99.83521
4.10000	0.23954	0.05051	-0.26106	-0.96411	99.83521	99.83521
0.70000	0.24029	0.04962	-0.26173	-0.96399	99.77112	99.77112
1.50000	0.23972	0.04993	-0.25990	-0.96432	99.85657	99.85657
2.30000	0.23998	0.04898	-0.26096	-0.96411	99.79248	99.79248
3.10000	0.23988	0.04776	-0.26069	-0.96429	99.77112	99.77112
3.90000	0.24009	0.04871	-0.26048	-0.96435	99.77112	99.77112
0.50000	0.23977	0.04636	-0.26218	-0.96402	99.81384	99.81384
1.30000	0.23988	0.04578	-0.26087	-0.96429	99.79248	99.79248
2.10000	0.24016	0.04511	-0.26179	-0.96420	99.77112	99.77112
2.90000	0.23969	0.04480	-0.26145	-0.96423	99.82300	99.82300
3.70000	0.23982	0.04505	-0.26112	-0.96432	99.79248	99.79248
0.30000	0.24048	0.04428	-0.26054	-0.96451	99.77112	99.77112
1.10000	0.23985	0.04358	-0.26121	-0.96429	99.79248	99.79248
1.90000	0.23980	0.04456	-0.26121	-0.96432	99.78027	99.78027
2.70000	0.23993	0.04309	-0.26267	-0.96399	99.81384	99.81384
3.50000	0.24019	0.04352	-0.26112	-0.96435	99.83521	99.83521
0.10000	0.24058	0.04306	-0.26154	-0.96426	99.81384	99.81384
0.90000	0.23980	0.04312	-0.26127	-0.96432	99.80164	99.80164
1.70000	0.24003	0.04218	-0.26234	-0.96408	99.83521	99.83521
2.50000	0.23985	0.04166	-0.26234	-0.96405	99.74670	99.74670
3.30000	0.24097	0.04147	-0.26203	-0.96420	99.75891	99.75891
4.10000	0.23993	0.04065	-0.26237	-0.96411	99.74670	99.74670
0.70000	0.23988	0.04065	-0.26313	-0.96396	99.70398	99.70398
1.50000	0.23954	0.04047	-0.26295	-0.96408	99.71619	99.71619
2.30000	0.23954	0.03992	-0.26255	-0.96417	99.81384	99.81384
3.10000	0.24011	0.03937	-0.26252	-0.96414	99.75891	99.75891
3.90000	0.23972	0.03946	-0.26148	-0.96442	99.80164	99.80164
0.50000	0.23954	0.03922	-0.26179	-0.96432	99.74670	99.74670
1.30000	0.23990	0.03937	-0.26164	-0.96438	99.78027	99.78027
2.10000	0.23985	0.03821	-0.26301	-0.96408	99.80164	99.80164
2.90000	0.23972	0.03864	-0.26185	-0.96442	99.80164	99.80164
3.70000	0.23980	0.03735	-0.26243	-0.96429	99.72534	99.72534
0.30000	0.23896	0.03775	-0.26298	-0.96408	99.80164	99.80164
1.10000	0.23990	0.03711	-0.26203	-0.96445	99.72534	99.72534
1.90000	0.24019	0.03681	-0.26218	-0.96438	99.75891	99.75891
2.70000	0.24022	0.03726	-0.26176	-0.96445	99.82605	99.82605
3.50000	0.24019	0.03735	-0.26258	-0.96417	99.81384	99.81384
0.10000	0.24058	0.03635	-0.26179	-0.96451	99.71619	99.71619
0.90000	0.23975	0.03665	-0.26222	-0.96432	99.75891	99.75891
1.70000	0.23975	0.03534	-0.26234	-0.96438	99.75891	99.75891
2.50000	0.23988	0.03540	-0.26273	-0.96429	99.72534	99.72534
3.30000	0.24022	0.03586	-0.26173	-0.96451	99.75891	99.75891
4.10000	0.24019	0.03507	-0.26099	-0.96466	99.78027	99.78027
0.70000	0.23943	0.03516	-0.26164	-0.96457	99.74670	99.74670
1.50000	0.24037	0.03403	-0.26145	-0.96466	99.70398	99.70398
2.30000	0.23959	0.03381	-0.26194	-0.96454	99.74670	99.74670
3.10000	0.24019	0.03397	-0.26209	-0.96451	99.75891	99.75891
3.90000	0.24029	0.03378	-0.26072	-0.96493	99.74976	99.74976
0.50000	0.23928	0.03351	-0.26112	-0.96478	99.78027	99.78027
1.30000	0.23962	0.03323	-0.26279	-0.96429	99.74670	99.74670
2.10000	0.24076	0.03391	-0.26154	-0.96463	99.75891	99.75891
2.90000	0.24009	0.03348	-0.26127	-0.96469	99.77112	99.77112
3.70000	0.24032	0.03333	-0.26157	-0.96466	99.74976	99.74976
0.30000	0.23975	0.03293	-0.26106	-0.96481	99.75891	99.75891
1.10000	0.23980	0.03311	-0.26048	-0.96493	99.80164	99.80164
1.90000	0.24016	0.03259	-0.26087	-0.96490	99.79248	99.79248
2.70000	0.23933	0.03174	-0.26157	-0.96466	99.80164	99.80164
3.50000	0.23993	0.03217	-0.26127	-0.96472	99.79248	99.79248
0.10000	0.24035	0.03030	-0.26170	-0.96472	99.69482	99.69482
0.90000	0.24050	0.03009	-0.26170	-0.96469	99.77112	99.77112
1.70000	0.23972	0.03034	-0.26069	-0.96506	99.71619	99.71619
2.50000	0.24027	0.02805	-0.26206	-0.96469	99.75891	99.75891
3.30000	0.24053	0.02872	-0.26255	-0.96451	99.75891	99.75891
4.10000	0.24053	0.02747	-0.26167	-0.96481	99.75891	99.75891
0.70000	0.23962	0.02716	-0.26194	-0.96469	99.73755	99.73755
1.50000	0.23990	0.02750	-0.26197	-0.96475	99.68262	99.68262
2.30000	0.24029	0.02637	-0.26142	-0.96493	99.73755	99.73755
3.10000	0.24079	0.02795	-0.26093	-0.96493	99.70703	99.70703
3.90000	0.24006	0.02704	-0.26197	-0.96475	99.68262	99.68262
0.50000	0.23972	0.02612	-0.26182	-0.96484	99.69482	99.69482
1.30000	0.24032	0.02722	-0.26124	-0.96496	99.72839	99.72839
2.10000	0.24040	0.02741	-0.26203	-0.96472	99.67346	99.67346
2.90000	0.23951	0.02744	-0.26041	-0.96515	99.79248	99.79248
3.70000	0.24014	0.02652	-0.26176	-0.96475	99.75891	99.75891
0.30000	0.24009	0.02664	-0.26078	-0.96509	99.69482	99.69482
1.10000	0.24014	0.02771	-0.25953	-0.96533	99.78027	99.78027
1.90000	0.24035	0.02573	-0.26209	-0.96466	99.68262	99.68262
2.70000	0.24001	0.02564	-0.26084	-0.96515	99.75891	99.75891
3.50000	0.24103	0.02368	-0.26255	-0.96469	99.69482	99.69482
0.10000	0.23993	0.02475	-0.25999	-0.96530	99.73755	99.73755
0.90000	0.24019	0.02332	-0.26118	-0.96503	99.75891	99.75891
1.70000	0.23988	0.02484	-0.26005	-0.96533	99.75891	99.75891
2.50000	0.24032	0.02481	-0.26185	-0.96481	99.72839	99.72839
3.30000	0.24071	0.02499	-0.26102	-0.96503	99.71619	99.71619
4.10000	0.24074	0.02472	-0.25959	-0.96539	99.72839	99.72839
0.70000	0.24027	0.02463	-0.25919	-0.96558	99.75891	99.75891
1.50000	0.23982	0.02286	-0.26002	-0.96545	99.78027	99.78027
2.30000	0.24032	0.02274	-0.26051	-0.96521	99.69482	99.69482
3.10000	0.23917	0.02390	-0.25858	-0.96579	99.74670	99.74670
3.90000	0.24029	0.02365	-0.25944	-0.96548	99.73755	99.73755
0.50000	0.24014	0.02475	-0.25843	-0.96579	99.71619	99.71619
1.30000	0.24027	0.02405	-0.25971	-0.96548	99.78027	99.78027
2.10000	0.24053	0.02472	-0.25843	-0.96573	99.79248	99.79248
2.90000	0.23975	0.02506	-0.25776	-0.96591	99.71619	99.71619
3.70000	0.24014	0.02472	-0.25877	-0.96561	99.72534	99.72534
0.30000	0.23998	0.02451	-0.25819	-0.96585	99.77112	99.77112
1.10000	0.23959	0.02393	-0.25849	-0.96582	99.69482	99.69482
1.90000	0.23969	0.02274	-0.25864	-0.96564	99.69482	99.69482
2.70000	0.23972	0.02197	-0.25849	-0.96579	99.77112	99.77112
3.50000	0.24084	0.02295	-0.25761	-0.96600	99.72839	99.72839
0.10000	0.23941	0.02182	-0.25797	-0.96585	99.71619	99.71619
0.90000	0.24066	0.02115	-0.25822	-0.96594	99.70703	99.70703
1.70000	0.24053	0.02078	-0.25867	-0.96585	99.74976	99.74976
2.50000	0.24037	0.01959	-0.25797	-0.96600	99.69482	99.69482
3.30000	0.23998	0.01956	-0.25758	-0.96603	99.75891	99.75891
4.10000	0.24050	0.01962	-0.25767	-0.96600	99.70398	99.70398
0.70000	0.23998	0.02017	-0.25800	-0.96591	99.73755	99.73755
1.50000	0.23977	0.02023	-0.25709	-0.96622	99.74670	99.74670
2.30000	0.24024	0.01941	-0.25687	-0.96634	99.73755	99.73755
3.10000	0.24009	0.01959	-0.25608	-0.96655	99.68262	99.68262
3.90000	0.24022	0.01895	-0.25730	-0.96619	99.71619	99.71619
0.50000	0.24045	0.01892	-0.25632	-0.96649	99.74976	99.74976
1.30000	0.24016	0.01727	-0.25675	-0.96634	99.78027	99.78027
2.10000	0.24121	0.01697	-0.25849	-0.96591	99.71619	99.71619
2.90000	0.24040	0.01727	-0.25834	-0.96591	99.81384	99.81384
3.70000	0.24029	0.01822	-0.25614	-0.96649	99.80164	99.80164
0.30000	0.24069	0.01660	-0.25742	-0.96628	99.69482	99.69482
1.10000	0.24053	0.01733	-0.25758	-0.96615	99.73755	99.73755
1.90000	0.24016	0.01718	-0.25639	-0.96640	99.74976	99.74976
2.70000	0.24076	0.01654	-0.25657	-0.96640	99.73755	99.73755
3.50000	0.24032	0.01679	-0.25715	-0.96625	99.77112	99.77112
0.10000	0.24050	0.01727	-0.25575	-0.96658	99.79248	99.79248
0.90000	0.24006	0.01733	-0.25437	-0.96692	99.71619	99.71619
1.70000	0.24029	0.01776	-0.25532	-0.96664	99.79248	99.79248
2.50000	0.24069	0.01575	-0.25623	-0.96646	99.73755	99.73755
3.30000	0.23977	0.01743	-0.25401	-0.96704	99.75891	99.75891
4.10000	0.24097	0.01596	-0.25495	-0.96686	99.74976	99.74976
0.70000	0.24043	0.01621	-0.25498	-0.96695	99.75891	99.75891
1.50000	0.23990	0.01502	-0.25471	-0.96695	99.75891	99.75891
2.30000	0.23993	0.01639	-0.25465	-0.96692	99.74670	99.74670
